season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,is_rookie,draft_round,snap_share,target_share,carry_share
2026,NYJ-QB1-GenoSmith,Geno Smith,NYJ,QB,17,2990.655,155.57414339458478,0.0,0.0,27.079579098355246,1.2798,0.0,0.7219,8.894,False,2,0.55,0.0,0.0558
2026,SF-RB1-ChristianMcCaffrey,Christian McCaffrey,SF,RB,17,0.0,1475.1653678857858,422.45532882502107,51.51894253963672,0.0,11.6792,5.302633057222909,0.9999,0.0,False,1,0.55,0.0731,0.5623
2026,GB-RB1-JoshJacobs,Josh Jacobs,GB,RB,17,0.0,1430.49374565903,358.7159070095104,43.745842318232974,0.0,11.366,4.6433621038967265,0.9999,0.0,False,1,0.55,0.0731,0.5453
2026,PHI-RB1-SaquonBarkley,Saquon Barkley,PHI,RB,17,0.0,1446.9815809231472,316.30453008663073,38.57372318129644,0.0,11.6201,4.205939861130234,0.9999,0.0,False,1,0.55,0.0731,0.5515
2026,ATL-RB1-BijanRobinson,Bijan Robinson,ATL,RB,17,0.0,1450.0106811429011,349.47576839342236,42.61899614553931,0.0,11.366,4.516563305303213,0.9999,0.0,False,1,0.55,0.0731,0.5527
2026,HOU-RB1-DavidMontgomery,David Montgomery,HOU,RB,17,0.0,1397.3156751784713,364.5387374888767,44.45594359620448,0.0,11.0225,4.628343132048239,0.9999,0.0,False,3,0.55,0.063,0.5331
2026,CHI-RB1-D'AndreSwift,D'Andre Swift,CHI,RB,17,0.0,1447.1795836733666,342.1475851156874,41.72531525801066,0.0,11.0317,4.305423275233381,0.9999,0.0,False,2,0.55,0.063,0.5516
2026,BUF-RB1-JamesCookIII,James Cook III,BUF,RB,17,0.0,1461.4779707701407,331.94433018370574,40.48101587606168,0.0,11.0317,4.282526030164358,0.9999,0.0,False,2,0.55,0.063,0.5571
2026,BAL-RB1-DerrickHenry,Derrick Henry,BAL,RB,17,0.0,1502.408615931431,310.7930488160882,37.90159131903515,0.0,11.4433,4.837561872296261,0.9999,0.0,False,2,0.55,0.063,0.5727
2026,SEA-RB1-ZachCharbonnet,Zach Charbonnet,SEA,RB,17,0.0,1393.2375383827255,379.53389822751103,46.28462173506232,0.0,10.4491,5.048768914430326,0.9999,0.0,False,2,0.55,0.063,0.5311
2026,CIN-WR1-Ja'MarrChase,Ja'Marr Chase,CIN,WR,17,0.0,0.0,1699.7013377254382,144.0424862479185,0.0,0.0,11.61050738751991,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,JAX-RB1-BhayshulTuten,Bhayshul Tuten,JAX,RB,17,0.0,1415.761734369882,291.8685469573037,35.593725238695576,0.0,9.8667,3.6951161860252797,0.9999,0.0,False,4,0.55,0.0506,0.5396
2026,TB-RB1-BuckyIrving,Bucky Irving,TB,RB,17,0.0,1395.4391537247207,283.67323862487353,34.594297393277266,0.0,9.8667,3.7113472898629216,0.9999,0.0,False,4,0.55,0.0506,0.5319
2026,IND-RB1-JonathanTaylor,Jonathan Taylor,IND,RB,17,0.0,1287.550486127796,367.7325092330726,44.84542795525276,0.0,9.0873,4.5999256188772195,0.9999,0.0,False,2,0.55,0.063,0.406
2026,NYG-RB1-CamSkattebo,Cam Skattebo,NYG,RB,17,0.0,1419.8769269917648,281.10338326174315,34.28090039777356,0.0,9.4765,3.7840738539303187,0.9999,0.0,False,4,0.55,0.0506,0.5412
2026,DAL-WR1-CeeDeeLamb,CeeDee Lamb,DAL,WR,17,0.0,0.0,1630.627903031325,138.18880534163773,0.0,0.0,11.856785502873839,0.9999,0.0,False,1,0.55,0.2372,0.0085
2026,NE-RB1-RhamondreStevenson,Rhamondre Stevenson,NE,RB,17,0.0,1400.4091543478419,264.8606771475723,32.30008257897223,0.0,9.4204,3.4251914532802465,0.9999,0.0,False,4,0.55,0.0506,0.5338
2026,WAS-RB1-JacoryCroskey-Merritt,Jacory Croskey-Merritt,WAS,RB,17,0.0,1379.2296799864769,228.6665918306752,27.8861697354482,0.0,9.2315,3.2160434982946966,0.9999,0.0,False,7,0.55,0.0506,0.5257
2026,DAL-RB1-JavonteWilliams,Javonte Williams,DAL,RB,17,0.0,1063.3271869435116,433.1355367426957,52.821406919840946,0.0,7.6063,5.7262884530924785,0.9999,0.0,False,2,0.55,0.063,0.406
