season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,SEA,421.07,359.66,61.41,10.0988,3932.4,1806.3,11.47,37.89,11.47,24.769,21.156
2026,BUF,409.44,364.13,45.32,9.7018,3840.0,1858.9,10.8,36.21,10.8,24.085,21.419
2026,DEN,396.73,354.51,42.22,9.6544,3894.6,1775.9,11.29,37.24,11.29,23.337,20.853
2026,LA,415.48,374.3,41.18,9.5735,3974.9,1894.4,11.19,36.62,11.19,24.44,22.018
2026,BAL,406.42,366.5,39.91,9.5636,4058.1,1809.7,11.27,35.71,11.27,23.907,21.559
2026,DET,393.81,356.25,37.56,9.5324,3696.9,1871.9,10.51,36.44,10.51,23.165,20.956
2026,CHI,397.18,369.98,27.2,9.2394,3769.3,1930.6,10.42,35.72,10.42,23.364,21.764
2026,HOU,376.94,353.08,23.86,9.1838,3745.6,1813.1,11.14,38.34,11.14,22.173,20.769
2026,JAX,383.45,363.19,20.26,9.0721,3869.9,1842.2,11.08,36.95,11.08,22.556,21.364
2026,KC,386.94,367.09,19.84,9.0556,4032.1,1814.8,11.34,36.36,11.34,22.761,21.594
2026,IND,383.34,364.95,18.38,9.0204,3915.4,1835.0,10.9,35.69,10.9,22.549,21.468
2026,DAL,411.65,396.69,14.96,8.8982,3953.4,2050.0,10.2,33.64,10.2,24.215,23.335
2026,GB,383.7,375.79,7.91,8.7349,3953.3,1920.2,10.85,35.49,10.85,22.571,22.105
2026,NE,370.74,363.09,7.64,8.7349,3822.4,1865.3,10.86,36.58,10.86,21.808,21.358
2026,TB,377.3,370.67,6.63,8.7036,3994.3,1858.0,11.09,35.77,11.09,22.194,21.804
2026,NO,359.29,353.31,5.98,8.6942,3776.3,1810.2,10.85,36.79,10.85,21.135,20.783
2026,LAC,371.29,365.74,5.56,8.6768,3965.7,1822.2,11.35,37.0,11.35,21.841,21.514
2026,CIN,378.67,375.2,3.47,8.6174,3893.6,1902.7,10.38,34.16,10.38,22.275,22.071
2026,SF,386.68,383.28,3.4,8.6138,4156.7,1883.5,11.15,34.83,11.15,22.746,22.546
2026,ATL,365.95,364.91,1.04,8.5532,3883.4,1851.6,10.91,36.15,10.91,21.526,21.465
2026,PHI,359.87,367.06,-7.19,8.3248,3892.8,1878.9,11.17,37.31,11.17,21.169,21.592
2026,NYG,373.61,385.77,-12.16,8.2012,4064.8,1934.5,10.87,34.86,10.87,21.977,22.693
2026,CLE,330.66,348.79,-18.13,7.9861,3795.3,1761.6,11.19,37.61,11.19,19.451,20.517
2026,PIT,344.62,369.74,-25.12,7.8154,3941.6,1861.2,10.96,35.74,10.96,20.272,21.75
2026,WAS,357.61,391.86,-34.25,7.6042,4181.2,1944.6,10.99,34.22,10.99,21.036,23.05
2026,CAR,342.34,378.39,-36.06,7.5177,3978.4,1915.6,10.86,35.21,10.86,20.137,22.258
2026,MIN,323.42,362.83,-39.41,7.3701,3694.1,1917.1,10.68,37.59,10.68,19.025,21.343
2026,MIA,341.31,385.28,-43.98,7.3086,4039.0,1947.3,10.71,34.5,10.71,20.077,22.664
2026,TEN,333.22,378.98,-45.76,7.2345,3971.1,1918.0,10.67,34.75,10.67,19.601,22.293
2026,NYJ,327.46,379.68,-52.22,7.0451,4014.8,1903.3,10.61,34.13,10.61,19.263,22.334
2026,ARI,338.61,393.57,-54.96,7.0209,4175.9,1957.8,11.13,34.8,11.13,19.918,23.151
2026,LV,310.41,374.91,-64.5,6.6486,4120.9,1843.8,11.39,35.7,11.39,18.259,22.053
