season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total
2026,CIN-QB1-JoeBurrow,Joe Burrow,CIN,QB,17,4813.147,105.897,0.0,0.0,35.729,0.884,0.0,0.587,13.254
2026,LA-QB1-MatthewStafford,Matthew Stafford,LA,QB,17,4540.29,134.727,0.0,0.0,35.491,1.225,0.0,0.706,11.984
2026,DAL-QB1-DakPrescott,Dak Prescott,DAL,QB,17,4516.307,134.491,0.0,0.0,35.779,1.174,0.0,0.691,12.168
2026,KC-QB1-PatrickMahomes,Patrick Mahomes,KC,QB,17,4376.376,135.336,0.0,0.0,35.546,1.137,0.0,0.679,12.045
2026,DEN-QB1-BoNix,Bo Nix,DEN,QB,17,4220.114,136.698,0.0,0.0,35.113,1.163,0.0,0.687,11.477
2026,DET-QB1-JaredGoff,Jared Goff,DET,QB,17,4114.351,130.029,0.0,0.0,34.909,1.139,0.0,0.68,11.184
2026,ARI-QB1-JacobyBrissett,Jacoby Brissett,ARI,QB,17,4082.622,112.573,0.0,0.0,31.796,0.883,0.0,0.586,11.486
2026,SEA-QB1-SamDarnold,Sam Darnold,SEA,QB,17,3974.642,158.186,0.0,0.0,35.467,1.372,0.0,0.746,10.891
2026,LAC-QB1-JustinHerbert,Justin Herbert,LAC,QB,17,3902.387,125.441,0.0,0.0,33.088,0.987,0.0,0.627,11.105
2026,IND-QB1-DanielJones,Daniel Jones,IND,QB,17,3864.554,138.053,0.0,0.0,33.032,1.199,0.0,0.698,10.379
2026,SF-QB1-BrockPurdy,Brock Purdy,SF,QB,17,3775.342,142.964,0.0,0.0,32.341,1.231,0.0,0.708,10.184
2026,CHI-QB1-CalebWilliams,Caleb Williams,CHI,QB,17,3768.249,148.659,0.0,0.0,32.077,1.24,0.0,0.711,10.328
2026,HOU-QB1-C.J.Stroud,C.J. Stroud,HOU,QB,17,3742.838,132.91,0.0,0.0,32.389,1.078,0.0,0.66,10.571
2026,NO-QB1-TylerShough,Tyler Shough,NO,QB,17,3744.762,120.868,0.0,0.0,32.386,0.945,0.0,0.611,10.781
2026,JAX-QB1-TrevorLawrence,Trevor Lawrence,JAX,QB,17,3701.363,138.213,0.0,0.0,32.051,1.161,0.0,0.687,10.193
2026,TB-QB1-BakerMayfield,Baker Mayfield,TB,QB,17,3669.029,135.981,0.0,0.0,31.891,1.119,0.0,0.673,10.199
2026,TEN-QB1-CamWard,Cam Ward,TEN,QB,17,3694.502,109.215,0.0,0.0,32.039,0.833,0.0,0.565,10.701
2026,BUF-QB1-JoshAllen,Josh Allen,BUF,QB,17,3573.501,159.673,0.0,0.0,31.505,1.406,0.0,0.755,9.54
2026,PIT-QB1-AaronRodgers,Aaron Rodgers,PIT,QB,17,3575.763,115.422,0.0,0.0,30.918,0.94,0.0,0.609,9.952
2026,GB-QB1-JordanLove,Jordan Love,GB,QB,17,3464.85,145.2,0.0,0.0,30.641,1.273,0.0,0.72,9.261
2026,ATL-QB1-TuaTagovailoa,Tua Tagovailoa,ATL,QB,17,3406.535,136.705,0.0,0.0,30.444,1.136,0.0,0.679,9.527
2026,BAL-QB1-LamarJackson,Lamar Jackson,BAL,QB,17,3344.597,150.277,0.0,0.0,35.258,1.369,0.0,0.746,9.245
2026,NYG-QB1-JaxsonDart,Jaxson Dart,NYG,QB,17,3321.303,145.85,0.0,0.0,30.019,1.18,0.0,0.693,9.338
2026,LV-QB1-KirkCousins,Kirk Cousins,LV,QB,17,3357.787,99.949,0.0,0.0,29.526,0.738,0.0,0.522,9.9
2026,NE-QB1-DrakeMaye,Drake Maye,NE,QB,17,3314.419,143.145,0.0,0.0,29.493,1.229,0.0,0.707,9.063
2026,MIA-QB1-MalikWillis,Malik Willis,MIA,QB,17,3325.165,120.057,0.0,0.0,30.304,0.964,0.0,0.619,9.4
2026,CAR-QB1-BryceYoung,Bryce Young,CAR,QB,17,3265.483,127.42,0.0,0.0,28.982,1.01,0.0,0.636,9.271
2026,MIN-QB1-KylerMurray,Kyler Murray,MIN,QB,17,3261.677,115.684,0.0,0.0,29.783,0.878,0.0,0.584,9.549
