season,team,super_bowl_win_prob
2026,DET,0.04746
2026,LV,0.04736
2026,MIN,0.0465
2026,SEA,0.04582
2026,BAL,0.0439
2026,CIN,0.03974
2026,KC,0.03972
2026,CLE,0.03688
2026,NYG,0.0365
2026,LAC,0.03546
2026,NO,0.034
2026,HOU,0.03384
2026,CHI,0.03258
2026,PHI,0.0323
2026,WAS,0.03144
2026,DAL,0.03138
2026,IND,0.03106
2026,PIT,0.0307
2026,TB,0.03042
2026,BUF,0.03032
2026,JAX,0.02978
2026,LA,0.02888
2026,ATL,0.0282
2026,MIA,0.02518
2026,GB,0.02454
2026,SF,0.02252
2026,DEN,0.0217
2026,ARI,0.01954
2026,NYJ,0.018
2026,CAR,0.01608
2026,NE,0.0155
2026,TEN,0.0127
