season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LV,AFC,AFC West,8.12,6,15,0.5602,0.3232,0.0474
2026,DET,NFC,NFC North,8.164,6,15,0.5476,0.3054,0.0475
2026,MIN,NFC,NFC North,8.155,6,15,0.5466,0.3079,0.0465
2026,SEA,NFC,NFC West,8.085,6,15,0.5461,0.3606,0.0458
2026,BAL,AFC,AFC North,7.913,5,16,0.5104,0.2788,0.0439
2026,KC,AFC,AFC West,7.86,5,15,0.5034,0.2641,0.0397
2026,HOU,AFC,AFC South,7.701,5,15,0.491,0.3164,0.0338
2026,CIN,AFC,AFC North,7.803,5,15,0.4887,0.2575,0.0397
2026,CLE,AFC,AFC North,7.788,5,15,0.4881,0.2508,0.0369
2026,NYG,NFC,NFC East,7.809,5,15,0.4772,0.2728,0.0365
2026,NO,NFC,NFC South,7.718,5,15,0.4713,0.3006,0.034
2026,LAC,AFC,AFC West,7.703,5,15,0.4707,0.2428,0.0355
2026,IND,AFC,AFC South,7.556,5,15,0.4599,0.2843,0.0311
2026,BUF,AFC,AFC East,7.476,5,15,0.4565,0.31,0.0303
2026,CHI,NFC,NFC North,7.684,5,15,0.4449,0.2164,0.0326
2026,DAL,NFC,NFC East,7.645,5,14,0.4436,0.2422,0.0314
2026,TB,NFC,NFC South,7.571,5,15,0.4429,0.2794,0.0304
2026,PHI,NFC,NFC East,7.613,5,15,0.4395,0.2432,0.0323
2026,PIT,AFC,AFC North,7.54,5,15,0.4367,0.213,0.0307
2026,LA,NFC,NFC West,7.581,5,15,0.4363,0.2587,0.0289
2026,JAX,AFC,AFC South,7.46,5,15,0.4363,0.2662,0.0298
2026,WAS,NFC,NFC East,7.593,5,14,0.4357,0.2418,0.0314
2026,ATL,NFC,NFC South,7.465,5,15,0.4172,0.2564,0.0282
2026,MIA,AFC,AFC East,7.266,5,15,0.4128,0.2682,0.0252
2026,GB,NFC,NFC North,7.306,5,15,0.3701,0.1703,0.0245
2026,DEN,AFC,AFC West,7.169,5,14,0.3622,0.1699,0.0217
2026,SF,NFC,NFC West,7.154,5,15,0.3534,0.1979,0.0225
2026,NYJ,AFC,AFC East,6.959,5,15,0.3524,0.2228,0.018
2026,ARI,NFC,NFC West,7.053,5,14,0.3331,0.1828,0.0195
2026,NE,AFC,AFC East,6.806,4,14,0.3194,0.199,0.0155
2026,CAR,NFC,NFC South,6.81,4,15,0.2943,0.1637,0.0161
2026,TEN,AFC,AFC South,6.477,4,14,0.2513,0.1332,0.0127
