season,team,super_bowl_win_prob
2026,MIN,0.04848
2026,LV,0.04706
2026,DET,0.04548
2026,SEA,0.04254
2026,KC,0.0411
2026,CLE,0.04008
2026,HOU,0.03796
2026,NYG,0.0365
2026,LAC,0.03642
2026,NO,0.03402
2026,CHI,0.03272
2026,DAL,0.03196
2026,WAS,0.03188
2026,IND,0.03132
2026,BAL,0.03088
2026,TB,0.03054
2026,JAX,0.03036
2026,PIT,0.03036
2026,PHI,0.03028
2026,BUF,0.03
2026,LA,0.02984
2026,ATL,0.0283
2026,GB,0.02706
2026,MIA,0.02658
2026,CIN,0.02568
2026,DEN,0.02538
2026,SF,0.02384
2026,ARI,0.02152
2026,NYJ,0.02054
2026,NE,0.01954
2026,CAR,0.01806
2026,TEN,0.01372
