season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,ATL,447.09,329.5,117.59,11.6953,3962.1,1944.6,6.93,47.87,6.93,26.299,19.382
2026,BAL,447.09,329.5,117.59,11.6953,3892.5,2119.2,15.34,25.4,15.34,26.299,19.382
2026,BUF,447.09,329.5,117.59,11.6953,3980.9,2018.2,6.93,47.87,6.93,26.299,19.382
2026,CHI,447.09,329.5,117.59,11.6953,3936.2,2018.2,6.93,25.4,6.93,26.299,19.382
2026,DEN,447.09,329.5,117.59,11.6953,3940.8,2149.0,15.34,47.87,15.34,26.299,19.382
2026,HOU,447.09,329.5,117.59,11.6953,3868.1,1767.7,15.34,47.87,15.34,26.299,19.382
2026,IND,447.09,329.5,117.59,11.6953,3952.8,2161.2,6.93,25.4,6.93,26.299,19.382
2026,JAX,447.09,329.5,117.59,11.6953,3945.8,1841.3,15.34,47.87,15.34,26.299,19.382
2026,NE,447.09,329.5,117.59,11.6953,4034.0,2022.0,6.93,47.87,6.93,26.299,19.382
2026,PHI,447.09,329.5,117.59,11.6953,3949.9,1990.3,15.34,47.87,15.34,26.299,19.382
2026,SEA,447.09,329.5,117.59,11.6953,3815.0,2063.9,15.34,47.87,15.34,26.299,19.382
2026,DET,421.15,329.5,91.65,11.1415,3865.4,1841.3,6.93,47.87,6.93,24.774,19.382
2026,TB,447.09,378.03,69.06,10.389,3844.5,2119.2,15.34,25.4,15.34,26.299,22.237
2026,DAL,447.09,426.94,20.15,9.1588,3867.9,1914.8,6.93,25.4,6.93,26.299,25.114
2026,GB,447.09,426.94,20.15,9.1588,3913.0,2149.0,6.93,25.4,6.93,26.299,25.114
2026,LA,447.09,426.94,20.15,9.1588,3903.5,1829.0,15.34,47.87,15.34,26.299,25.114
2026,NYG,447.09,426.94,20.15,9.1588,3979.4,1990.3,6.93,25.4,6.93,26.299,25.114
2026,SF,447.09,426.94,20.15,9.1588,4005.6,1871.0,15.34,25.4,15.34,26.299,25.114
2026,WAS,447.09,426.94,20.15,9.1588,3911.7,2045.6,15.34,25.4,15.34,26.299,25.114
2026,CLE,260.8,329.5,-68.69,6.3382,3919.9,2091.8,15.34,47.87,15.34,15.341,19.382
2026,KC,260.8,329.5,-68.69,6.3382,3997.3,2161.2,15.34,47.87,15.34,15.341,19.382
2026,LAC,260.8,329.5,-68.69,6.3382,3983.9,2121.8,15.34,47.87,15.34,15.341,19.382
2026,MIN,260.8,329.5,-68.69,6.3382,3961.2,1959.6,6.93,47.87,6.93,15.341,19.382
2026,NO,260.8,329.5,-68.69,6.3382,3996.0,1959.6,6.93,47.87,6.93,15.341,19.382
2026,PIT,260.8,329.5,-68.69,6.3382,4043.7,1944.6,9.31,25.4,9.31,15.341,19.382
2026,ARI,260.8,426.94,-166.14,4.1199,3823.0,1908.6,15.34,25.4,15.34,15.341,25.114
2026,CAR,260.8,426.94,-166.14,4.1199,3886.5,2045.6,6.93,25.4,6.93,15.341,25.114
2026,CIN,260.8,426.94,-166.14,4.1199,3823.9,1988.4,6.93,25.4,6.93,15.341,25.114
2026,LV,260.8,426.94,-166.14,4.1199,3939.1,1974.5,15.34,25.4,15.34,15.341,25.114
2026,MIA,260.8,426.94,-166.14,4.1199,4004.9,2134.1,6.93,25.4,6.93,15.341,25.114
2026,NYJ,260.8,426.94,-166.14,4.1199,4079.5,1909.9,6.93,25.4,6.93,15.341,25.114
2026,TEN,260.8,426.94,-166.14,4.1199,3970.3,1944.6,6.93,25.4,6.93,15.341,25.114
