season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LA,NFC,NFC West,11.1057,8,14,0.84358,0.543662,0.153709
2026,SEA,NFC,NFC West,10.815,7,14,0.8144,0.406518,0.114934
2026,DET,NFC,NFC North,10.5676,7,14,0.78424,0.650783,0.089744
2026,DEN,AFC,AFC West,10.5428,7,14,0.79516,0.684449,0.087546
2026,PHI,NFC,NFC East,10.3663,7,14,0.763,0.91709,0.073381
2026,BUF,AFC,AFC East,10.2678,7,13,0.75888,0.557345,0.066497
2026,HOU,AFC,AFC South,10.1674,7,13,0.74282,0.369128,0.060145
2026,IND,AFC,AFC South,10.1664,7,13,0.74664,0.368759,0.060085
2026,NE,AFC,AFC East,10.0109,7,13,0.73462,0.431076,0.051432
2026,JAX,AFC,AFC South,9.8046,6,13,0.69034,0.256812,0.041845
2026,GB,NFC,NFC North,9.4386,6,13,0.6445,0.210435,0.029019
2026,KC,AFC,AFC West,9.389,6,13,0.63878,0.2159,0.027615
2026,BAL,AFC,AFC North,9.0069,6,12,0.58128,0.424231,0.018845
2026,ATL,NFC,NFC South,8.8605,5,12,0.55792,0.36356,0.016279
2026,NO,NFC,NFC South,8.846,5,12,0.55488,0.358327,0.016044
2026,CLE,AFC,AFC North,8.6905,5,12,0.5318,0.309166,0.013734
2026,SF,NFC,NFC West,8.6106,5,12,0.5212,0.044846,0.012679
2026,LAC,AFC,AFC West,8.5488,5,12,0.51294,0.093188,0.011919
2026,TB,NFC,NFC South,8.454,5,12,0.4978,0.242123,0.010841
2026,CHI,NFC,NFC North,8.4351,5,12,0.4958,0.077144,0.010638
2026,PIT,AFC,AFC North,8.2314,5,12,0.46502,0.195347,0.008678
2026,MIN,NFC,NFC North,8.2107,5,12,0.45924,0.061638,0.0085
2026,CIN,AFC,AFC North,7.2229,4,11,0.32128,0.071256,0.003165
2026,NYG,NFC,NFC East,7.0688,3,11,0.311,0.03391,0.002713
2026,DAL,NFC,NFC East,6.8943,3,11,0.2883,0.02848,0.002279
2026,WAS,NFC,NFC East,6.5665,3,10,0.24706,0.02052,0.001642
2026,CAR,NFC,NFC South,6.5478,3,10,0.23566,0.03599,0.001611
2026,ARI,NFC,NFC West,6.4116,3,10,0.209,0.004974,0.001406
2026,MIA,AFC,AFC East,6.1733,3,10,0.1839,0.009288,0.001108
2026,TEN,AFC,AFC South,5.9243,3,9,0.16944,0.005302,0.000864
2026,LV,AFC,AFC West,5.8804,3,9,0.1531,0.006464,0.000827
2026,NYJ,AFC,AFC East,4.7735,2,8,0.07116,0.002291,0.000273
