season,team,conference,division,expected_wins,sim_expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob,points_for,points_against,point_diff,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,HOU,AFC,AFC South,12.6034,11.6953,10,16,0.992344,0.340859,0.073887,413.03,327.98,85.05,3868.1,1767.7,15.12,47.38,15.12,24.296,19.293
2026,JAX,AFC,AFC South,12.6031,11.6953,10,16,0.992341,0.340768,0.073867,413.08,328.06,85.02,3945.8,1841.3,15.12,47.38,15.12,24.299,19.298
2026,SEA,NFC,NFC West,12.6007,11.6953,10,16,0.992316,0.630973,0.073685,413.24,328.54,84.7,3815.0,2063.9,15.12,47.38,15.12,24.308,19.326
2026,CHI,NFC,NFC North,12.5991,11.6953,10,16,0.9923,0.563604,0.073572,413.1,328.65,84.45,3936.2,2018.2,7.27,25.83,7.27,24.3,19.333
2026,ATL,NFC,NFC South,12.5976,11.6953,10,16,0.992284,0.991448,0.073459,412.39,328.31,84.08,3962.1,1944.6,7.27,47.38,7.27,24.258,19.312
2026,BUF,AFC,AFC East,12.5975,11.6953,10,16,0.992283,0.502037,0.073449,413.05,328.85,84.2,3980.9,2018.2,7.27,47.38,7.27,24.297,19.344
2026,BAL,AFC,AFC North,12.5934,11.6953,10,16,0.992241,0.957662,0.07315,413.18,329.53,83.65,3892.5,2119.2,15.12,25.83,15.12,24.305,19.384
2026,NE,AFC,AFC East,12.589,11.6953,10,16,0.992195,0.49782,0.072832,412.08,329.25,82.83,4034.0,2022.0,7.27,47.38,7.27,24.24,19.368
2026,PHI,NFC,NFC East,12.5673,11.6953,10,16,0.991964,0.654944,0.071265,407.67,328.5,79.17,3949.9,1990.3,15.12,47.38,15.12,23.981,19.323
2026,IND,AFC,AFC South,12.535,11.6953,10,16,0.99161,0.318325,0.069003,407.59,332.07,75.52,3952.8,2161.2,7.27,25.83,7.27,23.976,19.533
2026,DEN,AFC,AFC West,12.4903,11.6953,9,15,0.991093,0.506343,0.065989,401.33,331.2,70.13,3940.8,2149.0,15.12,47.38,15.12,23.608,19.483
2026,KC,AFC,AFC West,12.4646,6.3382,9,15,0.990781,0.493471,0.064311,400.96,333.04,67.93,3997.3,2161.2,15.12,47.38,15.12,23.586,19.59
2026,DET,NFC,NFC North,12.34,11.1415,9,15,0.98911,0.434949,0.056777,385.41,328.02,57.39,3865.4,1841.3,7.27,47.38,7.27,22.671,19.296
2026,LA,NFC,NFC West,12.0597,9.1588,9,15,0.984181,0.367335,0.042898,481.05,423.47,57.58,3903.5,1829.0,15.12,47.38,15.12,28.297,24.91
2026,DAL,NFC,NFC East,11.921,9.1588,9,15,0.980985,0.34319,0.037343,476.46,424.25,52.21,3867.9,1914.8,7.27,25.83,7.27,28.027,24.956
2026,CIN,AFC,AFC North,9.4657,4.1199,6,12,0.652202,0.041965,0.003205,437.66,424.48,13.18,3823.9,1988.4,7.27,25.83,7.27,25.745,24.969
2026,TB,NFC,NFC South,7.8046,10.389,5,11,0.166069,0.008217,0.000609,413.01,414.02,-1.01,3844.5,2119.2,15.12,25.83,15.12,24.295,24.354
2026,SF,NFC,NFC West,6.6249,9.1588,4,10,0.038924,0.001602,0.000187,413.14,424.38,-11.24,4005.6,1871.0,15.12,25.83,15.12,24.303,24.964
2026,GB,NFC,NFC North,6.5545,9.1588,4,10,0.035523,0.001336,0.000174,412.85,424.76,-11.91,3913.0,2149.0,7.27,25.83,7.27,24.285,24.986
2026,NYG,NFC,NFC East,6.4296,9.1588,3,9,0.030178,0.001415,0.000154,411.57,424.67,-13.1,3979.4,1990.3,7.27,25.83,7.27,24.21,24.98
2026,WAS,NFC,NFC East,5.2876,9.1588,2,8,0.006615,0.000452,4.9e-05,398.37,424.67,-26.3,3911.7,2045.6,15.12,25.83,15.12,23.434,24.981
