season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,HOU,413.03,327.98,85.05,12.6034,3868.1,1767.7,15.12,47.38,15.12,24.296,19.293
2026,JAX,413.08,328.06,85.02,12.6031,3945.8,1841.3,15.12,47.38,15.12,24.299,19.298
2026,SEA,413.24,328.54,84.7,12.6007,3815.0,2063.9,15.12,47.38,15.12,24.308,19.326
2026,CHI,413.1,328.65,84.45,12.5991,3936.2,2018.2,7.27,25.83,7.27,24.3,19.333
2026,ATL,412.39,328.31,84.08,12.5976,3962.1,1944.6,7.27,47.38,7.27,24.258,19.312
2026,BUF,413.05,328.85,84.2,12.5975,3980.9,2018.2,7.27,47.38,7.27,24.297,19.344
2026,BAL,413.18,329.53,83.65,12.5934,3892.5,2119.2,15.12,25.83,15.12,24.305,19.384
2026,NE,412.08,329.25,82.83,12.589,4034.0,2022.0,7.27,47.38,7.27,24.24,19.368
2026,PHI,407.67,328.5,79.17,12.5673,3949.9,1990.3,15.12,47.38,15.12,23.981,19.323
2026,IND,407.59,332.07,75.52,12.535,3952.8,2161.2,7.27,25.83,7.27,23.976,19.533
2026,DEN,401.33,331.2,70.13,12.4903,3940.8,2149.0,15.12,47.38,15.12,23.608,19.483
2026,KC,400.96,333.04,67.93,12.4646,3997.3,2161.2,15.12,47.38,15.12,23.586,19.59
2026,DET,385.41,328.02,57.39,12.34,3865.4,1841.3,7.27,47.38,7.27,22.671,19.296
2026,LA,481.05,423.47,57.58,12.0597,3903.5,1829.0,15.12,47.38,15.12,28.297,24.91
2026,DAL,476.46,424.25,52.21,11.921,3867.9,1914.8,7.27,25.83,7.27,28.027,24.956
2026,CIN,437.66,424.48,13.18,9.4657,3823.9,1988.4,7.27,25.83,7.27,25.745,24.969
2026,TB,413.01,414.02,-1.01,7.8046,3844.5,2119.2,15.12,25.83,15.12,24.295,24.354
2026,SF,413.14,424.38,-11.24,6.6249,4005.6,1871.0,15.12,25.83,15.12,24.303,24.964
2026,GB,412.85,424.76,-11.91,6.5545,3913.0,2149.0,7.27,25.83,7.27,24.285,24.986
2026,NYG,411.57,424.67,-13.1,6.4296,3979.4,1990.3,7.27,25.83,7.27,24.21,24.98
2026,WAS,398.37,424.67,-26.3,5.2876,3911.7,2045.6,15.12,25.83,15.12,23.434,24.981
2026,MIN,282.65,328.3,-45.64,4.0593,3961.2,1959.6,7.27,47.38,7.27,16.627,19.312
2026,NO,282.6,328.35,-45.75,4.0572,3996.0,1959.6,7.27,47.38,7.27,16.624,19.315
2026,PIT,282.61,328.37,-45.76,4.0571,4043.7,1944.6,7.23,25.83,7.23,16.624,19.316
2026,CLE,282.66,329.36,-46.7,4.041,3919.9,2091.8,15.12,47.38,15.12,16.627,19.374
2026,LAC,282.71,330.93,-48.23,4.0166,3983.9,2121.8,15.12,47.38,15.12,16.63,19.467
2026,ARI,282.6,424.04,-141.44,3.7403,3823.0,1908.6,15.12,25.83,15.12,16.623,24.943
2026,LV,282.65,424.57,-141.92,3.74,3939.1,1974.5,15.12,25.83,15.12,16.626,24.975
2026,NYJ,282.63,424.58,-141.94,3.74,4079.5,1909.9,7.27,25.83,7.27,16.625,24.975
2026,TEN,282.61,424.56,-141.96,3.74,3970.3,1944.6,7.27,25.83,7.27,16.624,24.974
2026,CAR,282.6,424.67,-142.07,3.7399,3886.5,2045.6,7.27,25.83,7.27,16.623,24.981
2026,MIA,282.64,424.76,-142.12,3.7399,4004.9,2134.1,7.27,25.83,7.27,16.626,24.986
