season,team,conference,division,expected_wins,sim_expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob,points_for,points_against,point_diff,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,LAR,NFC,NFC West,11.1073,11.084,9,13,0.8474,0.49815,0.11385,425.6,347.92,77.68,3946.6,1923.4,7.78,35.38,7.78,25.035,20.466
2026,SEA,NFC,NFC West,10.738,10.7907,8,13,0.7958,0.40015,0.0905,408.29,334.12,74.17,3792.8,2180.1,15.0,46.64,15.0,24.017,19.654
2026,DET,NFC,NFC North,10.6511,10.7175,8,13,0.78135,0.5158,0.0849,315.49,330.47,-14.99,3870.7,1932.0,7.8,46.64,7.8,18.558,19.44
2026,DEN,AFC,AFC West,10.5456,10.509,8,13,0.7785,0.55355,0.0823,409.5,332.74,76.77,3888.6,2077.8,15.0,46.64,15.0,24.088,19.573
2026,PHI,NFC,NFC East,10.3516,10.3346,8,13,0.80635,0.72945,0.07265,401.05,333.65,67.4,3920.5,2096.2,15.0,46.64,15.0,23.591,19.626
2026,BUF,AFC,AFC East,10.3394,10.2399,8,13,0.76445,0.53365,0.0688,407.44,331.06,76.37,3963.2,1936.9,7.8,46.64,7.8,23.967,19.474
2026,HOU,AFC,AFC South,10.3249,10.3485,8,13,0.7326,0.3656,0.06765,326.57,330.17,-3.61,3889.3,1857.4,15.0,46.64,15.0,19.21,19.422
2026,IND,AFC,AFC South,10.2933,10.2952,8,13,0.7285,0.35055,0.06375,321.49,333.15,-11.66,3916.4,2078.5,7.8,26.58,7.8,18.911,19.597
2026,NE,AFC,AFC East,9.9945,9.9751,7,12,0.7023,0.4437,0.0535,403.7,333.84,69.85,4029.3,2040.8,7.8,46.64,7.8,23.747,19.638
2026,JAX,AFC,AFC South,9.8954,9.7516,7,12,0.657,0.27795,0.04885,408.81,330.41,78.4,3955.6,1870.4,15.0,46.64,15.0,24.048,19.436
2026,KC,AFC,AFC West,9.3739,9.3133,7,12,0.5664,0.28265,0.03175,405.99,334.39,71.6,3988.4,2072.0,15.0,46.64,15.0,23.882,19.67
2026,ATL,NFC,NFC South,9.3471,9.0324,7,12,0.5903,0.4276,0.03075,402.57,330.44,72.14,3972.1,1857.8,7.8,46.64,7.8,23.681,19.437
2026,GB,NFC,NFC North,9.1483,9.326,7,12,0.51235,0.2074,0.0245,406.95,425.55,-18.6,3860.0,2076.2,7.8,26.58,7.8,23.938,25.032
2026,BAL,AFC,AFC North,9.1434,8.9715,7,12,0.54935,0.40095,0.0286,405.42,339.93,65.49,3857.3,2217.8,15.0,26.58,15.0,23.848,19.996
2026,NO,NFC,NFC South,8.8357,8.9605,6,11,0.48675,0.3201,0.02295,309.36,330.83,-21.47,4039.6,1891.3,7.8,46.64,7.8,18.197,19.461
2026,CHI,NFC,NFC North,8.7469,8.3422,6,11,0.43435,0.1591,0.01895,409.37,330.82,78.55,3905.8,1940.4,7.8,26.58,7.8,24.08,19.46
2026,SF,NFC,NFC West,8.3986,8.5274,6,11,0.3521,0.08415,0.0129,408.78,423.62,-14.84,4038.6,1775.0,15.0,26.58,15.0,24.046,24.919
2026,MIN,NFC,NFC North,8.29,8.3779,6,11,0.34765,0.1177,0.01285,307.16,331.24,-24.08,4014.2,1952.8,7.8,46.64,7.8,18.068,19.485
2026,LAC,AFC,AFC West,8.2896,8.497,6,11,0.3494,0.13935,0.01285,310.65,334.48,-23.83,3981.7,2077.4,15.0,46.64,15.0,18.273,19.675
2026,CLE,AFC,AFC North,8.1873,8.6105,6,11,0.3595,0.22245,0.0122,306.95,331.57,-24.62,3884.3,2019.3,15.0,46.64,15.0,18.056,19.504
2026,PIT,AFC,AFC North,8.1135,8.1662,6,11,0.3416,0.2097,0.01175,310.15,330.7,-20.55,4098.4,1845.5,7.8,26.58,7.8,18.244,19.453
2026,TB,NFC,NFC South,8.0808,8.3627,5,11,0.33655,0.19995,0.0105,405.19,425.83,-20.64,3799.7,2222.5,15.0,26.58,15.0,23.834,25.049
2026,CIN,AFC,AFC North,7.7527,7.2104,5,10,0.2816,0.1669,0.00735,439.8,425.43,14.37,3827.3,2088.6,7.8,26.58,7.8,25.87,25.025
2026,DAL,NFC,NFC East,7.4679,7.1059,5,10,0.2381,0.13135,0.00575,438.21,425.18,13.03,3883.9,2012.5,7.8,26.58,7.8,25.777,25.011
2026,NYG,NFC,NFC East,7.109,7.0117,5,10,0.187,0.1031,0.00395,406.49,425.56,-19.07,3962.3,2031.2,7.8,26.58,7.8,23.911,25.033
2026,ARI,NFC,NFC West,6.6964,6.56,4,9,0.1111,0.01755,0.00155,419.15,424.47,-5.33,3811.4,1942.2,15.0,26.58,15.0,24.656,24.969
2026,CAR,NFC,NFC South,6.3291,6.4647,4,9,0.10215,0.05235,0.00115,310.1,425.7,-115.6,3856.6,2149.0,7.8,26.58,7.8,18.241,25.041
2026,LV,AFC,AFC West,6.2345,6.0627,4,9,0.0794,0.02445,0.00125,311.32,425.19,-113.88,3976.1,1964.2,15.0,26.58,15.0,18.313,25.011
2026,WAS,NFC,NFC East,5.8856,6.3186,3,8,0.0707,0.0361,0.0009,395.04,425.74,-30.69,3903.4,2137.5,15.0,26.58,15.0,23.238,25.043
2026,TEN,AFC,AFC South,5.5195,5.8613,3,8,0.03895,0.0059,0.0003,307.83,424.55,-116.72,4017.7,1845.0,7.8,26.58,7.8,18.108,24.973
2026,MIA,AFC,AFC East,5.4397,6.1511,3,8,0.03695,0.01195,0.0002,306.16,425.75,-119.59,4003.8,2078.9,7.8,26.58,7.8,18.01,25.044
2026,NYJ,AFC,AFC East,5.3694,4.72,3,8,0.0335,0.0107,0.0003,308.64,424.68,-116.04,4138.7,1809.5,7.8,26.58,7.8,18.155,24.981
