season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LA,NFC,NFC West,11.173,9,14,0.8456,0.4356,0.1116
2026,SEA,NFC,NFC West,11.162,9,14,0.8393,0.4286,0.0985
2026,BAL,AFC,AFC North,11.122,9,14,0.8713,0.7247,0.0754
2026,BUF,AFC,AFC East,11.046,9,13,0.8617,0.5926,0.1021
2026,PHI,NFC,NFC East,10.645,8,13,0.7929,0.6585,0.0773
2026,DET,NFC,NFC North,10.407,8,13,0.7288,0.4548,0.0512
2026,NE,AFC,AFC East,10.308,8,13,0.7572,0.3941,0.0625
2026,KC,AFC,AFC West,9.896,7,12,0.6858,0.3882,0.0528
2026,DEN,AFC,AFC West,9.77,7,12,0.6635,0.3571,0.0478
2026,HOU,AFC,AFC South,9.717,7,12,0.6671,0.4495,0.0542
2026,GB,NFC,NFC North,9.696,7,12,0.597,0.3018,0.0332
2026,SF,NFC,NFC West,9.421,7,12,0.5357,0.1346,0.0341
2026,JAX,AFC,AFC South,9.242,7,12,0.5664,0.3348,0.0306
2026,LAC,AFC,AFC West,9.203,7,12,0.5501,0.2442,0.0394
2026,CHI,NFC,NFC North,8.901,6,11,0.4371,0.1735,0.0201
2026,CIN,AFC,AFC North,8.52,6,11,0.4151,0.1567,0.0122
2026,TB,NFC,NFC South,8.507,6,11,0.4566,0.3773,0.0199
2026,DAL,NFC,NFC East,8.432,6,11,0.3568,0.1793,0.0133
2026,IND,AFC,AFC South,8.43,6,11,0.4049,0.1986,0.017
2026,NO,NFC,NFC South,8.061,6,11,0.3606,0.2825,0.0093
2026,MIN,NFC,NFC North,7.723,5,10,0.2232,0.0699,0.0072
2026,NYG,NFC,NFC East,7.688,5,10,0.2273,0.1048,0.006
2026,PIT,AFC,AFC North,7.642,5,10,0.2579,0.085,0.0073
2026,ATL,NFC,NFC South,7.395,5,10,0.2476,0.1884,0.0068
2026,CAR,NFC,NFC South,7.032,4,10,0.1979,0.1518,0.0033
2026,WAS,NFC,NFC East,6.947,4,9,0.1381,0.0574,0.0029
2026,CLE,AFC,AFC North,6.601,4,9,0.1179,0.0336,0.0018
2026,MIA,AFC,AFC East,5.696,3,8,0.046,0.0067,0.0006
2026,TEN,AFC,AFC South,5.588,3,8,0.0497,0.0171,0.0004
2026,LV,AFC,AFC West,5.538,3,8,0.0444,0.0105,0.0007
2026,NYJ,AFC,AFC East,5.5,3,8,0.041,0.0066,0.0003
2026,ARI,NFC,NFC West,4.993,3,7,0.0155,0.0012,0.0002
