season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,MIA-WR3-TutuAtwell,Tutu Atwell,MIA,WR,17,0.0,0.0,267.407,25.137,0.0,0.0,1.605,0.7991
2026,CLE-TE3-JackStoll,Jack Stoll,CLE,TE,17,0.0,0.0,266.711,27.925,0.0,0.0,1.47,0.7701
2026,NYG-WR3-DarnellMooney,Darnell Mooney,NYG,WR,17,0.0,0.0,264.259,24.59,0.0,0.0,1.788,0.8327
2026,PIT-TE3-RobertTonyan,Robert Tonyan,PIT,TE,17,0.0,0.0,263.083,27.697,0.0,0.0,1.419,0.758
2026,BAL-TE3-MatthewHibner,Matthew Hibner,BAL,TE,17,0.0,0.0,256.983,27.048,0.0,0.0,1.325,0.7342
2026,MIN-WR3-JauanJennings,Jauan Jennings,MIN,WR,17,0.0,0.0,255.01,23.438,0.0,0.0,1.466,0.7692
2026,CAR-WR3-XavierLegette,Xavier Legette,CAR,WR,17,0.0,0.0,249.045,23.411,0.0,0.0,1.631,0.8043
2026,JAX-WR3-ParkerWashington,Parker Washington,JAX,WR,17,0.0,0.0,249.016,22.925,0.0,0.0,1.508,0.7786
2026,CIN-WR3-AndreiIosivas,Andrei Iosivas,CIN,WR,17,0.0,0.0,248.981,23.026,0.0,0.0,1.412,0.7563
2026,DAL-WR3-RyanFlournoy,Ryan Flournoy,DAL,WR,17,0.0,0.0,247.914,22.713,0.0,0.0,1.445,0.7643
2026,WAS-WR3-LukeMcCaffrey,Luke McCaffrey,WAS,WR,17,0.0,0.0,247.776,22.734,0.0,0.0,1.468,0.7696
2026,LV-WR3-JackBech,Jack Bech,LV,WR,17,0.0,0.0,247.325,23.237,0.0,0.0,1.618,0.8017
2026,IND-WR3-AshtonDulin,Ashton Dulin,IND,WR,17,0.0,0.0,247.281,22.935,0.0,0.0,1.536,0.7848
2026,KC-WR3-TyquanThornton,Tyquan Thornton,KC,WR,17,0.0,0.0,245.788,22.666,0.0,0.0,1.468,0.7696
2026,LA-WR3-JordanWhittington,Jordan Whittington,LA,WR,17,0.0,0.0,245.538,23.026,0.0,0.0,1.593,0.7967
2026,ARI-WR3-KendrickBourne,Kendrick Bourne,ARI,WR,17,0.0,0.0,245.216,23.173,0.0,0.0,1.674,0.8125
