season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,DET,NFC,NFC North,11.306,8,14,0.85994,0.785672,0.169713
2026,PHI,NFC,NFC East,11.2277,8,14,0.85668,0.862583,0.156931
2026,SF,NFC,NFC West,10.9904,8,14,0.83158,0.831168,0.12378
2026,KC,AFC,AFC West,10.8691,8,14,0.82932,0.757603,0.10964
2026,BAL,AFC,AFC North,10.642,7,14,0.80742,0.561894,0.087366
2026,BUF,AFC,AFC East,10.2354,7,14,0.74754,0.781819,0.058178
2026,HOU,AFC,AFC South,10.0135,7,13,0.71743,0.878604,0.0466
2026,CIN,AFC,AFC North,9.9876,7,13,0.72248,0.292047,0.045409
2026,GB,NFC,NFC North,9.3673,6,13,0.63208,0.113051,0.02442
2026,MIN,NFC,NFC North,9.1298,6,13,0.59977,0.089152,0.019258
2026,DEN,AFC,AFC West,9.095,6,12,0.59473,0.128517,0.018599
2026,DAL,NFC,NFC East,9.05,6,13,0.58428,0.097732,0.017781
2026,LAC,AFC,AFC West,8.923,5,12,0.56811,0.108208,0.01566
2026,SEA,NFC,NFC West,8.8898,5,12,0.56122,0.101721,0.015149
2026,PIT,AFC,AFC North,8.8384,5,12,0.55541,0.092547,0.01439
2026,TB,NFC,NFC South,8.82,5,12,0.5519,0.554478,0.014127
2026,MIA,AFC,AFC East,8.343,5,12,0.4785,0.117828,0.008768
2026,CLE,AFC,AFC North,8.2906,5,12,0.47035,0.053512,0.00832
2026,LA,NFC,NFC West,8.2861,5,12,0.47169,0.055619,0.008283
2026,NYJ,AFC,AFC East,8.0465,5,11,0.43316,0.087595,0.006518
2026,ATL,NFC,NFC South,8.0218,4,12,0.43484,0.249592,0.006359
2026,WAS,NFC,NFC East,7.974,4,12,0.42893,0.033322,0.006062
2026,NO,NFC,NFC South,7.7002,4,11,0.39112,0.180951,0.00461
2026,IND,AFC,AFC South,7.1915,4,11,0.31533,0.052265,0.002772
2026,JAX,AFC,AFC South,7.1691,4,11,0.31807,0.051108,0.002711
2026,CHI,NFC,NFC North,7.1348,4,11,0.31159,0.012126,0.002619
2026,ARI,NFC,NFC West,6.7092,3,10,0.24687,0.011492,0.001711
2026,NYG,NFC,NFC East,6.3182,3,10,0.21471,0.006363,0.001158
2026,TEN,AFC,AFC South,6.1268,3,10,0.19012,0.018023,0.000956
2026,NE,AFC,AFC East,6.12,3,10,0.17951,0.012759,0.000949
2026,LV,AFC,AFC West,5.9745,3,9,0.17025,0.005672,0.000821
2026,CAR,NFC,NFC South,5.2086,2,9,0.10687,0.014979,0.000382
