season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,SEA,421.07,327.89,93.19,10.8843,2999.6,1376.8,14.97,47.11,14.97,24.769,19.287
2026,BUF,409.44,327.89,81.56,10.6247,3291.5,1592.2,6.76,41.12,6.76,24.085,19.287
2026,BAL,406.42,327.89,78.53,10.5552,3682.2,1640.8,14.97,30.48,14.97,23.907,19.287
2026,DEN,396.73,327.89,68.84,10.3269,2547.0,1160.6,14.97,47.11,14.97,23.337,19.287
2026,DET,393.81,327.89,65.92,10.2566,2553.6,1292.1,6.76,46.0,6.76,23.165,19.287
2026,KC,386.94,327.89,59.05,10.0876,3708.9,1668.1,14.97,44.4,14.97,22.761,19.287
2026,JAX,383.45,327.89,55.56,10.0002,3240.8,1541.6,14.01,47.11,14.01,22.556,19.287
2026,IND,383.34,327.89,55.45,9.9973,3424.5,1603.7,9.22,30.16,9.22,22.549,19.287
2026,HOU,376.94,327.89,49.05,9.8339,2336.6,1130.2,14.97,47.11,14.97,22.173,19.287
2026,LAC,371.29,327.89,43.41,9.6863,3534.1,1622.6,14.97,47.11,14.97,21.841,19.287
2026,NE,370.74,327.89,42.85,9.6717,3193.0,1557.0,8.04,47.11,8.04,21.808,19.287
2026,ATL,365.95,327.89,38.06,9.5439,3393.1,1616.6,9.41,39.77,9.41,21.526,19.287
2026,CHI,397.18,361.75,35.43,9.3822,3697.0,1892.2,6.76,30.71,6.76,23.364,21.279
2026,PHI,359.87,327.89,31.99,9.3786,3577.9,1725.6,14.97,47.11,14.97,21.169,19.287
2026,NO,359.29,327.89,31.41,9.3627,2374.0,1137.2,8.03,47.11,8.03,21.135,19.287
2026,TB,377.3,371.49,5.81,8.6057,3976.0,1848.1,14.29,31.88,14.29,22.194,21.853
2026,CLE,330.66,327.89,2.77,8.5347,2023.7,938.6,14.97,47.11,14.97,19.451,19.287
2026,MIN,323.42,327.89,-4.47,8.313,3065.4,1589.7,6.76,47.11,6.76,19.025,19.287
2026,LA,415.48,423.17,-7.7,8.2665,4261.1,2029.2,14.97,47.11,14.97,24.44,24.893
2026,DAL,411.65,424.85,-13.2,8.1344,6107.9,3164.9,6.76,25.0,6.76,24.215,24.991
2026,PIT,344.62,358.38,-13.76,8.0587,3846.0,1814.7,10.8,31.12,10.8,20.272,21.081
2026,SF,386.68,424.85,-38.17,7.5116,5244.7,2374.7,14.97,25.0,14.97,22.746,24.991
2026,GB,383.7,424.85,-41.15,7.4352,4362.6,2117.4,7.78,25.87,7.78,22.571,24.991
2026,CIN,378.67,424.85,-46.18,7.3051,4248.2,2074.4,6.76,25.0,6.76,22.275,24.991
2026,NYG,373.61,424.85,-51.24,7.1733,5342.6,2540.7,8.53,25.0,8.53,21.977,24.991
2026,WAS,357.61,424.85,-67.25,6.7485,6032.9,2803.7,11.58,25.0,11.58,21.036,24.991
2026,CAR,342.34,424.85,-82.52,6.3339,4608.9,2217.5,8.08,25.0,8.08,20.137,24.991
2026,MIA,341.31,424.85,-83.55,6.3056,5266.9,2537.4,6.76,25.0,6.76,20.077,24.991
2026,ARI,338.61,424.85,-86.24,6.2315,6176.5,2893.7,14.97,25.0,14.97,19.918,24.991
2026,TEN,333.22,424.85,-91.64,6.0826,4649.8,2244.1,6.76,25.0,6.76,19.601,24.991
2026,NYJ,327.46,424.85,-97.39,5.9229,4760.3,2255.0,6.76,25.0,6.76,19.263,24.991
2026,LV,310.41,424.85,-114.45,5.4448,4470.5,1998.8,14.97,30.24,14.97,18.259,24.991
