season,team,super_bowl_win_prob
2026,SEA,0.0893
2026,LA,0.0747
2026,BAL,0.06832
2026,MIN,0.0667
2026,CLE,0.05792
2026,CIN,0.05688
2026,NYG,0.05554
2026,DET,0.04964
2026,LV,0.04926
2026,BUF,0.04278
2026,WAS,0.03532
2026,JAX,0.03016
2026,TB,0.02988
2026,NO,0.02888
2026,IND,0.02826
2026,HOU,0.02744
2026,GB,0.0271
2026,KC,0.02636
2026,PHI,0.0233
2026,DEN,0.01954
2026,CHI,0.019
2026,LAC,0.01784
2026,ATL,0.0122
2026,DAL,0.01068
2026,CAR,0.00886
2026,PIT,0.00826
2026,NE,0.0082
2026,ARI,0.008
2026,MIA,0.00798
2026,NYJ,0.00692
2026,TEN,0.00254
2026,SF,0.00224
