season,team,super_bowl_win_prob
2025,HOU,0.04814
2025,DEN,0.04714
2025,BAL,0.04398
2025,PHI,0.04298
2025,DET,0.04252
2025,JAX,0.04242
2025,KC,0.04034
2025,BUF,0.04022
2025,TB,0.03992
2025,LA,0.03932
2025,GB,0.03904
2025,NYJ,0.03836
2025,IND,0.0368
2025,CHI,0.03524
2025,NO,0.03524
2025,PIT,0.03506
2025,CAR,0.03364
2025,ARI,0.03226
2025,SF,0.0296
2025,SEA,0.0276
2025,MIN,0.02692
2025,DAL,0.0243
2025,WAS,0.0222
2025,CIN,0.02172
2025,MIA,0.02006
2025,ATL,0.01984
2025,TEN,0.01916
2025,NYG,0.01846
2025,NE,0.0178
2025,LAC,0.01622
2025,LV,0.0123
2025,CLE,0.0112
