season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,NE,AFC,AFC East,5.639,4,11,0.8262,0.6386,0.1416
2026,SEA,NFC,NFC West,5.133,3,10,0.7451,0.4301,0.1055
2026,HOU,AFC,AFC South,4.593,3,9,0.6483,0.4445,0.0602
2026,SF,NFC,NFC West,4.586,3,9,0.6348,0.2864,0.0644
2026,DEN,AFC,AFC West,4.498,3,9,0.6304,0.4496,0.0564
2026,CHI,NFC,NFC North,4.259,2,8,0.6068,0.4713,0.0442
2026,PIT,AFC,AFC North,4.214,2,8,0.5842,0.4446,0.0407
2026,LA,NFC,NFC West,4.32,2,9,0.5668,0.2097,0.0522
2026,PHI,NFC,NFC East,4.01,2,8,0.5157,0.3298,0.0342
2026,BUF,AFC,AFC East,4.114,2,8,0.5147,0.1973,0.0356
2026,JAX,AFC,AFC South,4.058,2,8,0.5113,0.2686,0.0348
2026,CAR,NFC,NFC South,3.832,2,8,0.4841,0.3418,0.0283
2026,LAC,AFC,AFC West,3.876,2,8,0.4623,0.2751,0.0283
2026,NYG,NFC,NFC East,3.68,2,7,0.425,0.2401,0.022
2026,NO,NFC,NFC South,3.552,2,7,0.4055,0.2568,0.0181
2026,WAS,NFC,NFC East,3.599,2,7,0.3996,0.242,0.0194
2026,CIN,AFC,AFC North,3.557,2,7,0.388,0.2378,0.018
2026,TB,NFC,NFC South,3.492,2,7,0.3853,0.2409,0.0174
2026,LV,AFC,AFC West,3.539,2,7,0.3677,0.176,0.017
2026,MIN,NFC,NFC North,3.405,2,7,0.3632,0.2282,0.0157
2026,DAL,NFC,NFC East,3.408,2,7,0.3467,0.1882,0.0154
2026,CLE,AFC,AFC North,3.368,2,7,0.3385,0.2041,0.0138
2026,NYJ,AFC,AFC East,3.498,2,7,0.3383,0.0879,0.0146
2026,TEN,AFC,AFC South,3.406,2,7,0.332,0.1486,0.0154
2026,ARI,NFC,NFC West,3.441,2,7,0.3281,0.0738,0.0166
2026,GB,NFC,NFC North,3.247,2,7,0.3203,0.1942,0.0132
2026,IND,AFC,AFC South,3.333,2,7,0.3086,0.1384,0.0139
2026,MIA,AFC,AFC East,3.334,2,7,0.2957,0.0762,0.0134
2026,ATL,NFC,NFC South,3.069,2,6,0.2654,0.1605,0.0084
2026,KC,AFC,AFC West,3.058,2,6,0.2319,0.0993,0.007
2026,BAL,AFC,AFC North,2.981,1,6,0.2219,0.1135,0.0072
2026,DET,NFC,NFC North,2.9,1,6,0.2077,0.1063,0.007
