season,team,super_bowl_win_prob
2026,NE,0.14164
2026,SEA,0.10554
2026,SF,0.06436
2026,HOU,0.06018
2026,DEN,0.05636
2026,LA,0.0522
2026,CHI,0.04418
2026,PIT,0.04066
2026,BUF,0.03562
2026,JAX,0.0348
2026,PHI,0.03418
2026,CAR,0.02834
2026,LAC,0.0283
2026,NYG,0.02202
2026,WAS,0.01944
2026,NO,0.0181
2026,CIN,0.018
2026,TB,0.01742
2026,LV,0.01696
2026,ARI,0.01662
2026,MIN,0.01572
2026,DAL,0.01542
2026,TEN,0.01542
2026,NYJ,0.01464
2026,IND,0.01392
2026,CLE,0.01384
2026,MIA,0.01338
2026,GB,0.01324
2026,ATL,0.0084
2026,BAL,0.00716
2026,KC,0.00698
2026,DET,0.00696
