season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2025,DEN,AFC,AFC West,8.845,6,16,0.5674,0.3754,0.0471
2025,HOU,AFC,AFC South,8.841,6,17,0.5491,0.311,0.0481
2025,BAL,AFC,AFC North,8.771,6,16,0.5475,0.3629,0.044
2025,PHI,NFC,NFC East,8.74,6,17,0.5245,0.3591,0.043
2025,BUF,AFC,AFC East,8.646,6,16,0.5205,0.3183,0.0402
2025,KC,AFC,AFC West,8.605,6,16,0.5184,0.3247,0.0403
2025,JAX,AFC,AFC South,8.648,6,16,0.5134,0.2815,0.0424
2025,NYJ,AFC,AFC East,8.546,6,16,0.5051,0.304,0.0384
2025,DET,NFC,NFC North,8.702,6,16,0.4995,0.2801,0.0425
2025,LA,NFC,NFC West,8.643,6,16,0.4947,0.2918,0.0393
2025,TB,NFC,NFC South,8.634,6,16,0.4925,0.2932,0.0399
2025,IND,AFC,AFC South,8.516,6,17,0.4857,0.2549,0.0368
2025,PIT,AFC,AFC North,8.451,6,16,0.4848,0.2981,0.0351
2025,GB,NFC,NFC North,8.584,6,17,0.4778,0.2648,0.039
2025,NO,NFC,NFC South,8.5,6,17,0.4665,0.2729,0.0352
2025,CHI,NFC,NFC North,8.513,6,16,0.4638,0.2522,0.0352
2025,CAR,NFC,NFC South,8.443,6,16,0.4556,0.2609,0.0336
2025,ARI,NFC,NFC West,8.385,6,16,0.4445,0.2524,0.0323
2025,SF,NFC,NFC West,8.278,6,17,0.4216,0.2354,0.0296
2025,SEA,NFC,NFC West,8.25,6,16,0.4161,0.2205,0.0276
2025,MIN,NFC,NFC North,8.19,6,17,0.4016,0.2029,0.0269
2025,DAL,NFC,NFC East,8.094,6,16,0.3964,0.2358,0.0243
2025,CIN,AFC,AFC North,7.879,5,16,0.3741,0.2095,0.0217
2025,MIA,AFC,AFC East,7.892,5,15,0.3734,0.1973,0.0201
2025,WAS,NFC,NFC East,7.907,5,16,0.3625,0.2078,0.0222
2025,NE,AFC,AFC East,7.809,5,15,0.3551,0.1803,0.0178
2025,NYG,NFC,NFC East,7.808,5,16,0.3445,0.1973,0.0185
2025,ATL,NFC,NFC South,7.848,5,15,0.338,0.173,0.0198
2025,TEN,AFC,AFC South,7.731,5,15,0.3365,0.1526,0.0192
2025,LAC,AFC,AFC West,7.653,5,15,0.3279,0.1636,0.0162
2025,LV,AFC,AFC West,7.314,5,15,0.2717,0.1362,0.0123
2025,CLE,AFC,AFC North,7.33,5,15,0.2692,0.1294,0.0112
