season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,carry_share
2026,TEN-WR2-Wan'DaleRobinson,Wan'Dale Robinson,TEN,WR,17,0.0,0.0,494.387,48.606,0.0,0.0,2.278049990020635,0.891,
2026,JAX-RB2-ChrisRodriguezJr.,Chris Rodriguez Jr.,JAX,RB,17,0.0,697.7270016,139.727,17.416,0.0,5.294717333333334,0.6344263671646778,0.969,0.3456
2026,PIT-WR2-MichaelPittmanJr.,Michael Pittman Jr.,PIT,WR,17,0.0,0.0,491.446,42.672,0.0,0.0,2.2713475275113595,0.8871,
2026,JAX-WR2-JakobiMeyers,Jakobi Meyers,JAX,WR,17,0.0,0.0,491.053,41.983,0.0,0.0,2.2296118207312583,0.8906,
2026,TB-WR2-ChrisGodwinJr.,Chris Godwin Jr.,TB,WR,17,0.0,0.0,489.933,43.372,0.0,0.0,2.2465594543450886,0.8844,
2026,TB-RB2-KennyGainwell,Kenny Gainwell,TB,RB,17,0.0,684.6042239999999,138.888,17.875,0.0,5.1290119999999995,0.6368628965492847,0.9638,0.3456
2026,SEA-TE2-ElijahArroyo,Elijah Arroyo,SEA,TE,17,0.0,0.0,384.67372849679873,38.662,0.0,0.0,1.937115898873016,0.7959,
2026,TB-TE2-PayneDurham,Payne Durham,TB,TE,17,0.0,0.0,482.831,48.867,0.0,0.0,2.213993643826592,0.768,
2026,NYG-WR2-DariusSlayton,Darius Slayton,NYG,WR,17,0.0,0.0,481.042,43.972,0.0,0.0,2.3911718866109326,0.9037,
2026,PIT-TE2-DarnellWashington,Darnell Washington,PIT,TE,17,0.0,0.0,480.173,47.501,0.0,0.0,2.2192463797196678,0.7839,
2026,CHI-WR2-LutherBurdenIII,Luther Burden III,CHI,WR,17,0.0,0.0,476.612,43.882,0.0,0.0,2.114502347202932,0.8702,
2026,TEN-TE2-DanielBellinger,Daniel Bellinger,TEN,TE,17,0.0,0.0,472.902,53.001,0.0,0.0,2.179050817235765,0.7769,
2026,CHI-TE2-ColeKmet,Cole Kmet,CHI,TE,17,0.0,0.0,469.07,49.355,0.0,0.0,2.0810420551779627,0.7626,
2026,NYG-TE2-TheoJohnson,Theo Johnson,NYG,TE,17,0.0,0.0,467.783,48.859,0.0,0.0,2.325263820278733,0.7948,
2026,ATL-WR2-JahanDotson,Jahan Dotson,ATL,WR,17,0.0,0.0,467.504,40.123,0.0,0.0,2.1969244333838645,0.8891,
2026,SEA-WR2-RashidShaheed,Rashid Shaheed,SEA,WR,17,0.0,0.0,370.3462466197132,32.757,0.0,0.0,1.8649664618855397,0.9162,
2026,GB-WR2-JaydenReed,Jayden Reed,GB,WR,17,0.0,0.0,465.617,37.941,0.0,0.0,2.2516986667339425,0.8916,
2026,ATL-TE2-AustinHooper,Austin Hooper,ATL,TE,17,0.0,0.0,465.008,45.568,0.0,0.0,2.1851950719543876,0.7614,
2026,LV-WR2-JalenNailor,Jalen Nailor,LV,WR,17,0.0,0.0,464.642,45.667,0.0,0.0,2.2518976294742927,0.8886,
2026,GB-TE2-LukeMusgrave,Luke Musgrave,GB,TE,17,0.0,0.0,462.031,42.982,0.0,0.0,2.2343569643929455,0.7758,
2026,BUF-TE2-DawsonKnox,Dawson Knox,BUF,TE,17,0.0,0.0,460.453,44.115,0.0,0.0,2.1677633846158444,0.7561,
2026,MIA-WR2-JalenTolbert,Jalen Tolbert,MIA,WR,17,0.0,0.0,454.393,41.837,0.0,0.0,2.3192863166564166,0.8983,
2026,HOU-RB2-WoodyMarks,Woody Marks,HOU,RB,17,0.0,641.393856,145.317,18.154,0.0,4.955453333333334,0.6236437858961766,0.9621,0.3456
2026,CAR-RB2-JonathonBrooks,Jonathon Brooks,CAR,RB,17,0.0,638.915904,121.538,16.681,0.0,4.725743333333334,0.5995505983582669,0.9516,0.3456
2026,BUF-WR2-KhalilShakir,Khalil Shakir,BUF,WR,17,0.0,0.0,452.589,37.959,0.0,0.0,2.1307405152749586,0.8771,
2026,CLE-WR2-KCConcepcion,KC Concepcion,CLE,WR,17,0.0,0.0,451.641,41.428,0.0,0.0,2.0451704286761467,0.8495,
