season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LAR,NFC,NFC West,11.0707,8,14,0.84535,0.4794,0.10945
2026,SEA,NFC,NFC West,10.8084,7,14,0.80445,0.418,0.09955
2026,DET,NFC,NFC North,10.6863,7,14,0.7892,0.52915,0.0884
2026,DEN,AFC,AFC West,10.5057,7,14,0.7784,0.5528,0.08345
2026,PHI,NFC,NFC East,10.348,7,14,0.81075,0.7426,0.07235
2026,HOU,AFC,AFC South,10.3443,7,14,0.73735,0.373,0.07025
2026,IND,AFC,AFC South,10.2897,7,13,0.7304,0.3586,0.06355
2026,BUF,AFC,AFC East,10.2555,7,13,0.75265,0.51915,0.0674
2026,NE,AFC,AFC East,9.9822,7,13,0.70055,0.4497,0.05155
2026,JAX,AFC,AFC South,9.7691,6,13,0.6325,0.25825,0.0451
2026,GB,NFC,NFC North,9.3253,6,13,0.5455,0.23415,0.03035
2026,KC,AFC,AFC West,9.3109,6,13,0.55755,0.27165,0.02965
2026,ATL,NFC,NFC South,9.0346,5,13,0.5286,0.36315,0.025
2026,BAL,AFC,AFC North,8.9755,5,12,0.5166,0.3638,0.0253
2026,NO,NFC,NFC South,8.9613,5,12,0.51075,0.34295,0.024
2026,CLE,AFC,AFC North,8.5915,5,12,0.43945,0.294,0.0164
2026,SF,NFC,NFC West,8.5253,5,12,0.384,0.0882,0.0152
2026,LAC,AFC,AFC West,8.4836,5,12,0.38285,0.1556,0.01335
2026,MIN,NFC,NFC North,8.3765,5,12,0.3647,0.11975,0.01395
2026,TB,NFC,NFC South,8.367,5,12,0.38725,0.23595,0.01295
2026,CHI,NFC,NFC North,8.3429,5,12,0.3493,0.11695,0.01275
2026,PIT,AFC,AFC North,8.1587,5,12,0.3547,0.22405,0.01265
2026,CIN,AFC,AFC North,7.2083,4,11,0.2032,0.11815,0.0037
2026,DAL,NFC,NFC East,7.1034,3,11,0.18465,0.10305,0.0029
2026,NYG,NFC,NFC East,7.032,3,11,0.182,0.10085,0.00335
2026,ARI,NFC,NFC West,6.5494,3,10,0.1,0.0144,0.0011
2026,CAR,NFC,NFC South,6.4619,3,10,0.1133,0.05795,0.0021
2026,WAS,NFC,NFC East,6.3099,3,10,0.1002,0.0535,0.0013
2026,MIA,AFC,AFC East,6.1448,3,10,0.07495,0.02535,0.00115
2026,LV,AFC,AFC West,6.0693,3,9,0.06735,0.01995,0.00115
2026,TEN,AFC,AFC South,5.8767,3,9,0.0547,0.01015,0.0006
2026,NYJ,AFC,AFC East,4.7312,2,8,0.0168,0.0058,5e-05
