season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LA,NFC,NFC West,11.161,9,14,0.8407,0.4432,0.10782
2026,BAL,AFC,AFC North,11.087,9,14,0.8689,0.7165,0.07214
2026,SEA,NFC,NFC West,11.066,9,13,0.826,0.4163,0.09518
2026,BUF,AFC,AFC East,11.002,9,13,0.8564,0.5822,0.0977
2026,PHI,NFC,NFC East,10.59,8,13,0.7861,0.651,0.07504
2026,DET,NFC,NFC North,10.336,8,13,0.7189,0.445,0.04982
2026,NE,AFC,AFC East,10.318,8,13,0.7626,0.3999,0.06616
2026,KC,AFC,AFC West,9.874,7,12,0.6808,0.3844,0.04964
2026,DEN,AFC,AFC West,9.73,7,12,0.6516,0.3513,0.04994
2026,GB,NFC,NFC North,9.674,7,12,0.5952,0.3001,0.03824
2026,HOU,AFC,AFC South,9.673,7,12,0.6587,0.4405,0.05198
2026,SF,NFC,NFC West,9.401,7,12,0.5341,0.1393,0.03348
2026,JAX,AFC,AFC South,9.239,7,12,0.5687,0.339,0.03426
2026,LAC,AFC,AFC West,9.227,7,12,0.5549,0.2531,0.03632
2026,CHI,NFC,NFC North,8.859,6,11,0.4286,0.1782,0.02076
2026,CIN,AFC,AFC North,8.517,6,11,0.4151,0.1601,0.0134
2026,TB,NFC,NFC South,8.515,6,11,0.456,0.3734,0.01958
2026,DAL,NFC,NFC East,8.419,6,11,0.3608,0.1805,0.01474
2026,IND,AFC,AFC South,8.419,6,11,0.4036,0.2014,0.01672
2026,NO,NFC,NFC South,8.079,6,11,0.3662,0.2866,0.01128
2026,MIN,NFC,NFC North,7.76,5,10,0.2365,0.0766,0.00934
2026,NYG,NFC,NFC East,7.747,5,10,0.2417,0.1103,0.00718
2026,PIT,AFC,AFC North,7.671,5,10,0.2637,0.0879,0.00848
2026,ATL,NFC,NFC South,7.427,5,10,0.2535,0.1903,0.0074
2026,CAR,NFC,NFC South,7.071,5,10,0.2017,0.1497,0.0045
2026,WAS,NFC,NFC East,6.94,4,9,0.1372,0.0581,0.00332
2026,CLE,AFC,AFC North,6.637,4,9,0.1241,0.0355,0.0026
2026,MIA,AFC,AFC East,5.761,3,8,0.0521,0.0094,0.00072
2026,TEN,AFC,AFC South,5.618,3,8,0.0507,0.0192,0.00068
2026,LV,AFC,AFC West,5.581,3,8,0.0453,0.0112,0.00088
2026,NYJ,AFC,AFC East,5.565,3,8,0.0427,0.0085,0.0004
2026,ARI,NFC,NFC West,5.035,3,7,0.0169,0.0012,0.0003
