season,team,super_bowl_win_prob
2026,LA,0.10782
2026,BUF,0.0977
2026,SEA,0.09518
2026,PHI,0.07504
2026,BAL,0.07214
2026,NE,0.06616
2026,HOU,0.05198
2026,DEN,0.04994
2026,DET,0.04982
2026,KC,0.04964
2026,GB,0.03824
2026,LAC,0.03632
2026,JAX,0.03426
2026,SF,0.03348
2026,CHI,0.02076
2026,TB,0.01958
2026,IND,0.01672
2026,DAL,0.01474
2026,CIN,0.0134
2026,NO,0.01128
2026,MIN,0.00934
2026,PIT,0.00848
2026,ATL,0.0074
2026,NYG,0.00718
2026,CAR,0.0045
2026,WAS,0.00332
2026,CLE,0.0026
2026,LV,0.00088
2026,MIA,0.00072
2026,TEN,0.00068
2026,NYJ,0.0004
2026,ARI,0.0003
