season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,snap_share,target_share,carry_share,is_rookie,draft_round
2026,TEN-TE1-GunnarHelm,Gunnar Helm,TEN,TE,17,0.0,0.0,574.4897083333333,48.68556850282486,0.0,0.0,5.784454993012431,0.9968743709614505,0.0,0.55,0.14,0.0,,
2026,TB-TE1-CadeOtton,Cade Otton,TB,TE,17,0.0,0.0,571.2417083333335,48.410314265536734,0.0,0.0,5.75956677737301,0.9968125503093799,0.0,0.55,0.14,0.0,,
2026,LAC-RB2-KimaniVidal,Kimani Vidal,LAC,RB,17,0.0,349.3314362830331,217.34296875,26.505240091463417,0.0,2.370610803619043,2.748067040454175,0.9938175258748736,0.0,0.3,0.05,0.24,,
2026,BUF-TE1-DaltonKincaid,Dalton Kincaid,BUF,TE,17,0.0,0.0,557.2860416666667,47.22763064971751,0.0,0.0,5.120695903918018,0.9941419853017986,0.0,0.55,0.14,0.0,,
2026,PIT-TE1-PatFreiermuth,Pat Freiermuth,PIT,TE,17,0.0,0.0,556.5179375,47.162537076271185,0.0,0.0,5.59354374017635,0.9961936407273989,0.0,0.55,0.14,0.0,,
2026,WAS-WR2-AntonioWilliams,Antonio Williams,WAS,WR,17,0.0,0.0,555.3678645833334,47.06507326977401,0.0,0.0,3.764702805417125,0.9795980718081884,0.0,0.3,0.17,0.0,,
2026,CAR-RB2-JonathonBrooks,Jonathon Brooks,CAR,RB,17,0.0,373.4113054386115,181.47958333333335,22.131656504065045,0.0,2.5182835733767632,2.3582198286118365,0.9924909980749331,0.0,0.3,0.05,0.24,,
2026,KC-RB2-EmmettJohnson,Emmett Johnson,KC,RB,17,0.0,300.88714498443875,243.6740104166667,29.716342733739843,0.0,2.175949283027663,3.0041633181070218,0.9938561037815997,0.0,0.3,0.05,0.24,,
2026,GB-TE1-TuckerKraft,Tucker Kraft,GB,TE,17,0.0,0.0,538.1058958333332,45.60219456214688,0.0,0.0,5.482098120896686,0.995951687306681,0.0,0.55,0.14,0.0,,
2026,KC-WR3-TyquanThornton,Tyquan Thornton,KC,WR,17,0.0,0.0,536.0828229166667,45.43074770480226,0.0,0.0,3.304579649917723,0.9595618479095641,0.0,0.15,0.11,0.0,,
2026,NYJ-WR2-AdonaiMitchell,Adonai Mitchell,NYJ,WR,17,0.0,0.0,536.0226895734596,45.42565165876776,0.0,0.0,3.685933712106256,0.9767533871368733,0.0,0.3,0.17,0.0,,
2026,LA-TE1-ColbyParkinson,Colby Parkinson,LA,TE,17,0.0,0.0,534.0215529848006,45.256063812271236,0.0,0.0,4.628482898278456,0.9879788660192778,0.0,0.55,0.1008,0.0,,
2026,NYG-TE1-IsaiahLikely,Isaiah Likely,NYG,TE,17,0.0,0.0,532.9846666666667,45.16819209039548,0.0,0.0,5.565101346433769,0.9964513993030625,0.0,0.55,0.14,0.0,,
2026,ATL-TE1-KylePittsSr.,Kyle Pitts Sr.,ATL,TE,17,0.0,0.0,531.5276458333333,45.044715748587564,0.0,0.0,4.924397846271251,0.9930546367380895,0.0,0.55,0.14,0.0,,
2026,LV-TE1-BrockBowers,Brock Bowers,LV,TE,17,0.0,0.0,524.1623333333332,44.42053672316383,0.0,0.0,5.321763334193513,0.9951859863215464,0.0,0.55,0.14,0.0,,
2026,NO-RB2-AlvinKamara,Alvin Kamara,NO,RB,17,0.0,300.8871449844387,223.0510999452815,27.2013536518636,0.0,2.028392869615005,2.8970851167647504,0.992657664449235,0.0,0.3,0.05,0.24,,
2026,NYJ-RB2-BraelonAllen,Braelon Allen,NYJ,RB,17,0.0,365.8207062178111,157.65373222748815,19.22606490579124,0.0,2.347125616806122,2.1681963012389738,0.9895361524420363,0.0,0.3,0.05,0.24,,
2026,DET-WR3-IsaacTeSlaa,Isaac TeSlaa,DET,WR,17,0.0,0.0,520.8297375344234,44.138113350374866,0.0,0.0,3.0241560220507377,0.9496654908985331,0.0,0.15,0.11,0.0,,
2026,DAL-WR3-RyanFlournoy,Ryan Flournoy,DAL,WR,17,0.0,0.0,520.0007727529771,44.06786209770992,0.0,0.0,2.98834847048107,0.9433429346355443,0.0,0.15,0.11,0.0,,
2026,DEN-WR3-TroyFranklin,Troy Franklin,DEN,WR,17,0.0,0.0,517.7171770833332,43.87433704096044,0.0,0.0,3.207981580966999,0.958148281092161,0.0,0.15,0.11,0.0,,
2026,NE-TE1-HunterHenry,Hunter Henry,NE,TE,17,0.0,0.0,517.388375,43.846472457627115,0.0,0.0,5.2907183892059635,0.9951566362856807,0.0,0.55,0.14,0.0,,
2026,MIA-TE1-GregDulcich,Greg Dulcich,MIA,TE,17,0.0,0.0,516.2049375,43.7461811440678,0.0,0.0,4.661756316125699,0.9912683559344928,0.0,0.55,0.14,0.0,,
2026,CAR-TE1-TommyTremble,Tommy Tremble,CAR,TE,17,0.0,0.0,508.14283333333344,43.062951977401134,0.0,0.0,5.188083622946041,0.9946003013140312,0.0,0.55,0.14,0.0,,
2026,CLE-TE1-HaroldFanninJr.,Harold Fannin Jr.,CLE,TE,17,0.0,0.0,506.06952083333334,42.88724752824859,0.0,0.0,5.2161675810273245,0.9949187345026607,0.0,0.55,0.14,0.0,,
2026,TEN-RB2-TyjaeSpears,Tyjae Spears,TEN,RB,17,0.0,300.88714498443886,205.17489583333335,25.021328760162607,0.0,1.9909730525203346,2.6292977240965594,0.9900764608703396,0.0,0.3,0.05,0.24,,
2026,PIT-RB2-RicoDowdle,Rico Dowdle,PIT,RB,17,0.0,300.88714498443875,198.75640625000005,24.23858612804879,0.0,2.1133073454593596,2.5425198818983406,0.9903964014249654,0.0,0.3,0.05,0.24,,
2026,ARI-RB2-TylerAllgeier,Tyler Allgeier,ARI,RB,17,0.0,300.8871449844387,190.50401763529388,23.232197272596817,0.0,2.0278092437652906,2.3486670697572576,0.9875443716918663,0.0,0.3,0.05,0.24,,
