season,team,points_for,points_against,point_diff,expected_wins,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,BUF,410.38,329.5,80.89,13.3763,3980.8,1970.0,7.62,46.59,7.62,24.14,19.382
2026,SEA,410.86,330.14,80.72,13.1059,3815.0,2129.1,14.72,46.59,14.72,24.168,19.42
2026,CHI,411.73,329.27,82.46,13.9282,3936.1,1971.7,7.62,26.52,7.62,24.22,19.369
2026,JAX,410.04,328.44,81.6,13.6542,3945.8,1864.2,14.72,46.59,14.72,24.12,19.32
2026,NE,407.46,330.15,77.31,12.2634,4033.9,1998.5,7.62,46.59,7.62,23.968,19.421
2026,ATL,408.05,328.7,79.35,12.8270,3962.1,1892.3,7.62,46.59,7.62,24.003,19.335
2026,PHI,404.44,329.96,74.48,11.9584,3949.8,2042.3,14.72,46.59,14.72,23.79,19.409
2026,KC,405.7,332.82,72.88,11.6584,3997.2,2088.2,14.72,46.59,14.72,23.865,19.578
2026,HOU,399.59,328.22,71.37,11.3838,3868.0,1843.4,14.72,46.59,14.72,23.505,19.307
2026,BAL,410.64,332.21,78.43,12.5383,3892.4,2176.8,14.72,26.52,14.72,24.155,19.542
2026,IND,372.77,332.18,40.59,11.6628,3952.7,2091.5,7.62,26.52,7.62,21.928,19.54
2026,LAR,440.85,421.89,18.96,9.6938,3903.5,1906.3,14.72,46.59,14.72,25.932,24.817
2026,DAL,437.53,422.66,14.86,9.3422,3867.9,1992.2,7.62,26.52,7.62,25.737,24.863
2026,CIN,432.89,422.97,9.92,8.8990,3823.8,2063.9,7.62,26.52,7.62,25.464,24.881
2026,DEN,338.53,331.61,6.91,8.7992,3940.7,2086.9,14.72,46.59,14.72,19.913,19.507
2026,DET,320.19,328.47,-8.28,7.0454,3865.3,1916.0,7.62,46.59,7.62,18.835,19.322
2026,SF,409.11,421.93,-12.82,8.0674,4005.6,1825.9,14.72,26.52,14.72,24.065,24.819
2026,TB,409.44,423.03,-13.59,7.2090,3844.5,2180.5,14.72,26.52,14.72,24.085,24.884
2026,GB,408.75,423.34,-14.6,6.3318,3912.9,2084.2,7.62,26.52,7.62,24.044,24.903
2026,NYG,407.95,423.1,-15.15,5.4881,3979.3,1990.1,7.62,26.52,7.62,23.997,24.888
2026,NO,311.27,328.74,-17.47,7.3692,3995.9,1908.3,7.62,46.59,7.62,18.31,19.338
2026,PIT,311.09,328.83,-17.74,6.7472,4043.6,1897.6,7.62,26.52,7.62,18.299,19.343
2026,MIN,309.53,328.91,-19.38,6.0157,3961.2,1962.8,7.62,46.59,7.62,18.208,19.348
2026,CLE,309.28,330.1,-20.82,5.3116,3919.9,2041.8,14.72,46.59,14.72,18.193,19.417
2026,LAC,310.66,332.15,-21.49,4.6722,3983.8,2097.9,14.72,46.59,14.72,18.274,19.538
2026,WAS,390.01,423.28,-33.27,5.5667,3911.6,2099.3,14.72,26.52,14.72,22.942,24.899
2026,CAR,312.57,423.31,-110.74,5.7120,3886.5,2111.4,7.62,26.52,7.62,18.386,24.901
2026,ARI,310.09,422.13,-112.04,5.2335,3823.0,1933.1,14.72,26.52,14.72,18.241,24.831
2026,NYJ,310.28,422.47,-112.19,4.7536,4079.4,1857.7,7.62,26.52,7.62,18.252,24.851
2026,LV,309.76,422.78,-113.02,4.2744,3939.1,1981.8,14.72,26.52,14.72,18.221,24.869
2026,TEN,308.73,422.44,-113.71,3.7952,3970.2,1894.0,7.62,26.52,7.62,18.161,24.85
2026,MIA,309.02,423.45,-114.43,3.3157,4004.9,2100.4,7.62,26.52,7.62,18.178,24.909
