season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2025,PHI,NFC,NFC East,10.313,7,18,0.7347,0.4647,0.1032
2025,KC,AFC,AFC West,10.171,7,19,0.7165,0.4578,0.0949
2025,BUF,AFC,AFC East,9.61,7,17,0.6431,0.4589,0.0664
2025,HOU,AFC,AFC South,9.398,7,18,0.6192,0.4488,0.0553
2025,BAL,AFC,AFC North,9.29,7,17,0.6031,0.4367,0.0484
2025,DEN,AFC,AFC West,9.298,7,16,0.5799,0.2812,0.0503
2025,WAS,NFC,NFC East,9.332,6,18,0.5703,0.2703,0.0566
2025,LA,NFC,NFC West,9.11,6,16,0.5654,0.4039,0.0447
2025,DET,NFC,NFC North,9.154,6,17,0.5563,0.3389,0.0448
2025,TB,NFC,NFC South,8.596,6,16,0.475,0.334,0.029
2025,MIN,NFC,NFC North,8.737,6,17,0.4744,0.2659,0.0339
2025,LAC,AFC,AFC West,8.635,6,16,0.4518,0.1766,0.0297
2025,GB,NFC,NFC North,8.59,6,17,0.4486,0.2348,0.0289
2025,DAL,NFC,NFC East,8.609,6,17,0.443,0.1663,0.0307
2025,PIT,AFC,AFC North,8.458,6,17,0.4426,0.2682,0.0264
2025,NE,AFC,AFC East,8.371,6,16,0.4142,0.2191,0.0216
2025,SEA,NFC,NFC West,8.291,6,15,0.4047,0.2451,0.0205
2025,JAX,AFC,AFC South,8.153,6,16,0.377,0.2092,0.0178
2025,NO,NFC,NFC South,8.032,5,16,0.3661,0.2384,0.0157
2025,IND,AFC,AFC South,8.022,6,16,0.3498,0.1834,0.017
2025,CAR,NFC,NFC South,7.946,5,16,0.349,0.2199,0.0142
2025,NYJ,AFC,AFC East,8.022,5,15,0.3444,0.1668,0.0158
2025,CHI,NFC,NFC North,8.036,5,15,0.3437,0.1604,0.0176
2025,ARI,NFC,NFC West,7.916,5,15,0.3316,0.1839,0.0135
2025,ATL,NFC,NFC South,7.839,5,15,0.3295,0.2077,0.0133
2025,MIA,AFC,AFC East,7.906,5,16,0.3285,0.1552,0.0152
2025,CLE,AFC,AFC North,7.849,5,15,0.3232,0.1754,0.0142
2025,NYG,NFC,NFC East,7.894,5,15,0.3069,0.0987,0.0158
2025,SF,NFC,NFC West,7.75,5,15,0.301,0.1671,0.0126
2025,TEN,AFC,AFC South,7.72,5,16,0.3007,0.1587,0.0127
2025,LV,AFC,AFC West,7.649,5,15,0.2717,0.0844,0.0116
2025,CIN,AFC,AFC North,7.303,5,15,0.2344,0.1197,0.0078
