season,team,super_bowl_win_prob
2025,PHI,0.10322
2025,KC,0.0949
2025,BUF,0.06642
2025,WAS,0.05656
2025,HOU,0.05528
2025,DEN,0.05034
2025,BAL,0.04836
2025,DET,0.04476
2025,LA,0.04468
2025,MIN,0.03392
2025,DAL,0.03074
2025,LAC,0.02966
2025,TB,0.02902
2025,GB,0.02892
2025,PIT,0.02642
2025,NE,0.0216
2025,SEA,0.02054
2025,JAX,0.0178
2025,CHI,0.01762
2025,IND,0.01704
2025,NYG,0.0158
2025,NYJ,0.01576
2025,NO,0.01566
2025,MIA,0.01522
2025,CAR,0.01418
2025,CLE,0.01416
2025,ARI,0.01352
2025,ATL,0.01326
2025,TEN,0.01272
2025,SF,0.01258
2025,LV,0.01158
2025,CIN,0.00776
