season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2025,c18b2fe3-1746-464c-9604-91eca99e8c5c,D.Maye,NE,QB,4,493.681,28.003,0.0,0.0,3.251,0.102,0.0,0.10980000000000001
2025,7fc98b95-d8a9-461b-895c-675c835c87a6,M.Stafford,LA,QB,3,363.707,14.908,0.0,0.0,2.308,0.013,0.0,0.022500000000000003
2025,3a4bd5d6-8b01-4324-8449-d0f7c2059e36,S.Darnold,SEA,QB,3,336.503,15.034,0.0,0.0,2.107,0.0,0.0,0.015
2025,32369b37-6bce-4910-acfa-f658676697d3,J.Allen,BUF,QB,2,265.839,18.966,0.0,0.0,1.857,0.143,0.0,0.1368
2025,d3372f7c-27eb-47ac-9d90-facef898a40f,C.Williams,CHI,QB,2,250.397,12.431,0.0,0.0,1.589,0.011,0.0,0.0161
2025,fb4669d0-c27f-4ea4-bd37-8d3bad299f07,B.Purdy,SF,QB,2,242.545,15.095,0.0,0.0,1.519,0.0,0.0,0.01
2025,5580f3af-a69b-4d18-aa9e-f9f360bb7daf,C.Stroud,HOU,QB,2,241.363,10.294,0.0,0.0,1.512,0.0,0.0,0.01
2025,593d9bcd-2ae1-41ca-bf16-2d3c62d5b196,K.Walker,SEA,RB,3,0.0,161.57,18.022,2.826,0.0,2.991,0.108,1.8828999999999998
2025,64641499-cd80-4cac-adcf-0272f37d57cc,R.Stevenson,NE,RB,4,0.0,153.274,23.646,3.718,0.0,1.556,0.066,1.1935
2025,40159058-8f61-4120-8323-ec81eaeff8ce,B.Nix,DEN,QB,1,141.535,11.339,0.0,0.0,1.017,0.107,0.0,0.1012
2025,d499f341-a8ae-4bc2-a2d0-09cbdcbc82c8,K.Williams,LA,RB,3,0.0,130.481,14.013,2.249,0.0,2.053,0.067,1.4158
2025,86721778-e183-4522-8ddc-55e00f17fbe7,J.Herbert,LAC,QB,1,132.232,10.311,0.0,0.0,0.966,0.116,0.0,0.1097
2025,537f0d83-5256-42bf-bc75-f956be1f26c5,J.Love,GB,QB,1,127.3,5.014,0.0,0.0,0.797,0.0,0.0,0.005
2025,c28c1088-1b0f-497f-bfdb-1a7a9cde1e89,B.Young,CAR,QB,1,124.835,5.674,0.0,0.0,0.811,0.013,0.0,0.0134
2025,d0738d0d-7cc8-49b9-882e-a1fb536c47e7,T.Lawrence,JAX,QB,1,120.916,7.953,0.0,0.0,0.847,0.06,0.0,0.0581
2025,c415d118-a039-407a-a350-3e89d8042e25,J.Hurts,PHI,QB,1,119.295,6.288,0.0,0.0,0.747,0.0,0.0,0.005
2025,71c87791-cb96-4ae5-81b7-b34f7074c8fe,J.Stidham,DEN,QB,1,118.052,6.402,0.0,0.0,0.805,0.037,0.0,0.0366
2025,9cd40a7b-735b-4670-bf0e-4d357c5b3e10,A.Rodgers,PIT,QB,1,115.264,4.114,0.0,0.0,0.722,0.0,0.0,0.005
2025,8c7fdfc1-da82-46bd-8059-d38dfc782a85,T.Henderson,NE,RB,4,0.0,97.566,14.871,2.421,0.0,0.287,0.011,0.2728
2025,61da158c-dacb-4567-8ec7-9521d0868e5f,J.Cook,BUF,RB,2,0.0,101.575,9.163,1.473,0.0,0.95,0.026,0.7572
2025,51bc9571-a821-4045-a21b-20447caa002a,M.Rudolph,PIT,QB,1,101.262,4.319,0.0,0.0,0.634,0.0,0.0,0.005
2025,074db5dc-6d97-4108-a542-20e6cb42f4a6,M.Jones,SF,QB,1,100.834,4.739,0.0,0.0,0.631,0.0,0.0,0.005
