season,week,game_id,team,player_id,player_uid,player_name,position,model_version,pass_yards_mean,rush_yards_mean,receiving_yards_mean,receptions_mean,pass_tds_mean,rush_tds_mean,rec_tds_mean,anytime_td_prob
2025,1,2025_01_BAL_BUF,BUF,00-0035689,83978a45-a7da-408d-a462-426f5444a908,D.Knox,TE,nfl-player-v1,0,0,7.383,0.863,0,0,0,0.005
2025,1,2025_01_BAL_BUF,BUF,00-0036980,b00bd3b2-8fb1-4c61-b575-87a93b457caf,E.Moore,,nfl-player-v1,0,0.294,6.073,0.713,0,0,0,0.005
2025,1,2025_01_BAL_BUF,BUF,00-0034857,32369b37-6bce-4910-acfa-f658676697d3,J.Allen,QB,nfl-player-v1,140.39,9.913,0,0,0.968,0.064,0,0.0616
2025,1,2025_01_BAL_BUF,BUF,00-0037248,61da158c-dacb-4567-8ec7-9521d0868e5f,J.Cook,RB,nfl-player-v1,0,41.461,5.568,0.886,0,0.31,0.013,0.2762
2025,1,2025_01_BAL_BUF,BUF,00-0040194,5a7670a6-35d4-43bb-a12b-9b1580498b35,J.Hawes,TE,nfl-player-v1,0,0,6.043,0.713,0,0,0,0.005
2025,1,2025_01_BAL_BUF,BUF,00-0036988,df43fb4f-7e20-4384-83d0-fc24bbea7428,J.Palmer,WR,nfl-player-v1,0,0,17.521,1.946,0,0,0.025,0.0245
2025,1,2025_01_BAL_BUF,BUF,00-0039901,15497e04-abce-413c-b84b-6928c1f96d77,K.Coleman,WR,nfl-player-v1,0,0,25.994,2.798,0,0,0.071,0.0688
2025,1,2025_01_BAL_BUF,BUF,00-0037261,a182f320-892e-4344-8c39-d03ec8d397c4,K.Shakir,WR,nfl-player-v1,0,0,18.197,2.016,0,0,0.026,0.0253
2025,1,2025_01_BAL_BUF,BUF,00-0039875,51239dbe-c985-42a4-bdb6-e31bea991d12,R.Davis,RB,nfl-player-v1,0,8.752,3.042,0.502,0,0.017,0.002,0.0187
2025,1,2025_01_BAL_BUF,BUF,00-0035537,7927f661-8fb2-47a7-988d-d39a7c8038be,Ty.Johnson,RB,nfl-player-v1,0,11.366,3.598,0.588,0,0.022,0.002,0.024
