season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LA,NFC,NFC West,11.173,9,14,0.8457,0.4356,0.1064
2026,SEA,NFC,NFC West,11.162,9,14,0.8397,0.4286,0.1025
2026,BAL,AFC,AFC North,11.095,9,14,0.8669,0.7187,0.0755
2026,BUF,AFC,AFC East,11.046,9,13,0.8621,0.5926,0.1048
2026,PHI,NFC,NFC East,10.645,8,13,0.7931,0.659,0.076
2026,DET,NFC,NFC North,10.407,8,13,0.7292,0.4548,0.0529
2026,NE,AFC,AFC East,10.308,8,13,0.7568,0.3941,0.0621
2026,KC,AFC,AFC West,9.896,7,12,0.6855,0.3883,0.0511
2026,DEN,AFC,AFC West,9.77,7,12,0.6633,0.3571,0.0482
2026,HOU,AFC,AFC South,9.701,7,12,0.6646,0.4495,0.0597
2026,GB,NFC,NFC North,9.696,7,12,0.5977,0.3018,0.0321
2026,SF,NFC,NFC West,9.421,7,12,0.5365,0.1346,0.0338
2026,JAX,AFC,AFC South,9.234,7,12,0.5652,0.3363,0.0287
2026,LAC,AFC,AFC West,9.203,7,12,0.5504,0.2442,0.0386
2026,CHI,NFC,NFC North,8.901,6,11,0.4375,0.1735,0.0212
2026,CIN,AFC,AFC North,8.508,6,11,0.4128,0.1564,0.0112
2026,TB,NFC,NFC South,8.499,6,11,0.4564,0.3778,0.0185
2026,DAL,NFC,NFC East,8.432,6,11,0.3572,0.1795,0.014
2026,IND,AFC,AFC South,8.416,6,11,0.4014,0.1971,0.0162
2026,NO,NFC,NFC South,8.051,6,11,0.3592,0.2826,0.0097
2026,MIN,NFC,NFC North,7.723,5,10,0.2234,0.0699,0.0063
2026,NYG,NFC,NFC East,7.675,5,10,0.2264,0.1041,0.0062
2026,PIT,AFC,AFC North,7.612,5,10,0.2538,0.0834,0.007
2026,ATL,NFC,NFC South,7.385,5,10,0.2468,0.1878,0.0063
2026,CAR,NFC,NFC South,7.021,4,10,0.1971,0.1518,0.0032
2026,WAS,NFC,NFC East,6.947,4,9,0.1385,0.0574,0.0032
2026,CLE,AFC,AFC North,6.793,4,9,0.1367,0.0415,0.0025
2026,MIA,AFC,AFC East,5.696,3,8,0.0466,0.0067,0.0005
2026,TEN,AFC,AFC South,5.575,3,8,0.0492,0.0171,0.0004
2026,LV,AFC,AFC West,5.527,3,8,0.0444,0.0104,0.0008
2026,NYJ,AFC,AFC East,5.491,3,8,0.0403,0.0066,0.0002
2026,ARI,NFC,NFC West,4.993,3,7,0.0156,0.0012,0.0002
