season,team,conference,division,expected_wins,sim_expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob,points_for,points_against,point_diff,pass_yards_allowed,rush_yards_allowed,ints_forced,sacks,takeaways,ppg,pa_pg
2026,ATL,NFC,NFC South,11.6953,9.5439,9,15,0.974386,0.783676,0.080957,447.09,329.5,117.59,3962.1,1944.6,6.93,47.87,6.93,26.299,19.382
2026,BAL,AFC,AFC North,11.6953,10.5552,9,15,0.974386,0.990156,0.080957,447.09,329.5,117.59,3892.5,2119.2,15.34,25.4,15.34,26.299,19.382
2026,BUF,AFC,AFC East,11.6953,10.6247,9,15,0.974386,0.499744,0.080957,447.09,329.5,117.59,3980.9,2018.2,6.93,47.87,6.93,26.299,19.382
2026,CHI,NFC,NFC North,11.6953,9.3822,9,15,0.974386,0.602928,0.080957,447.09,329.5,117.59,3936.2,2018.2,6.93,25.4,6.93,26.299,19.382
2026,DEN,AFC,AFC West,11.6953,10.3269,9,15,0.974386,0.990156,0.080957,447.09,329.5,117.59,3940.8,2149.0,15.34,47.87,15.34,26.299,19.382
2026,HOU,AFC,AFC South,11.6953,9.8339,9,15,0.974386,0.333276,0.080957,447.09,329.5,117.59,3868.1,1767.7,15.34,47.87,15.34,26.299,19.382
2026,IND,AFC,AFC South,11.6953,9.9973,9,15,0.974386,0.333276,0.080957,447.09,329.5,117.59,3952.8,2161.2,6.93,25.4,6.93,26.299,19.382
2026,JAX,AFC,AFC South,11.6953,10.0002,9,15,0.974386,0.333276,0.080957,447.09,329.5,117.59,3945.8,1841.3,15.34,47.87,15.34,26.299,19.382
2026,NE,AFC,AFC East,11.6953,9.6717,9,15,0.974386,0.499744,0.080957,447.09,329.5,117.59,4034.0,2022.0,6.93,47.87,6.93,26.299,19.382
2026,PHI,NFC,NFC East,11.6953,9.3786,9,15,0.974386,0.808138,0.080957,447.09,329.5,117.59,3949.9,1990.3,15.34,47.87,15.34,26.299,19.382
2026,SEA,NFC,NFC West,11.6953,10.8843,9,15,0.974386,0.86297,0.080957,447.09,329.5,117.59,3815.0,2063.9,15.34,47.87,15.34,26.299,19.382
2026,DET,NFC,NFC North,11.1415,10.2566,8,14,0.947398,0.346516,0.046528,421.15,329.5,91.65,3865.4,1841.3,6.93,47.87,6.93,24.774,19.382
2026,TB,NFC,NFC South,10.389,8.6057,7,13,0.867051,0.212227,0.021924,447.09,378.03,69.06,3844.5,2119.2,15.34,25.4,15.34,26.299,22.237
2026,DAL,NFC,NFC East,9.1588,8.1344,6,12,0.553376,0.063954,0.006407,447.09,426.94,20.15,3867.9,1914.8,6.93,25.4,6.93,26.299,25.114
2026,GB,NFC,NFC North,9.1588,7.4352,6,12,0.553376,0.047714,0.006407,447.09,426.94,20.15,3913.0,2149.0,6.93,25.4,6.93,26.299,25.114
2026,LA,NFC,NFC West,9.1588,8.2665,6,12,0.553376,0.068293,0.006407,447.09,426.94,20.15,3903.5,1829.0,15.34,47.87,15.34,26.299,25.114
2026,NYG,NFC,NFC East,9.1588,7.1733,6,12,0.553376,0.063954,0.006407,447.09,426.94,20.15,3979.4,1990.3,6.93,25.4,6.93,26.299,25.114
2026,SF,NFC,NFC West,9.1588,7.5116,6,12,0.553376,0.068293,0.006407,447.09,426.94,20.15,4005.6,1871.0,15.34,25.4,15.34,26.299,25.114
2026,WAS,NFC,NFC East,9.1588,6.7485,6,12,0.553376,0.063954,0.006407,447.09,426.94,20.15,3911.7,2045.6,15.34,25.4,15.34,26.299,25.114
2026,CLE,AFC,AFC North,6.3382,8.5347,3,9,0.026768,0.004668,0.000382,260.8,329.5,-68.69,3919.9,2091.8,15.34,47.87,15.34,15.341,19.382
2026,KC,AFC,AFC West,6.3382,10.0876,3,9,0.026768,0.004668,0.000382,260.8,329.5,-68.69,3997.3,2161.2,15.34,47.87,15.34,15.341,19.382
2026,LAC,AFC,AFC West,6.3382,9.6863,3,9,0.026768,0.004668,0.000382,260.8,329.5,-68.69,3983.9,2121.8,15.34,47.87,15.34,15.341,19.382
2026,MIN,NFC,NFC North,6.3382,8.313,3,9,0.026768,0.002843,0.000382,260.8,329.5,-68.69,3961.2,1959.6,6.93,47.87,6.93,15.341,19.382
