Date,Visitor,PTS,Home,PTS_2
2022-11-07,UNC Wilmington,56,North Carolina,69
2022-11-07,N Colorado,36,Houston,83
2022-11-07,Howard,63,Kentucky,95
2022-11-07,Miss Valley St,53,Baylor,117
2022-11-07,Omaha,64,Kansas,89
2022-11-07,Jacksonville,44,Duke,71
2022-11-07,Sacramento St,50,UCLA,76
2022-11-07,St Thomas (MN),60,Creighton,72
2022-11-07,N Dakota St,58,Arkansas,76
2022-11-07,Tennessee Tech,43,Tennessee,75
2022-11-07,UTEP,57,Texas,72
2022-11-07,Morehead St,53,Indiana,88
2022-11-07,AR-Pine Bluff,72,TCU,73
2022-11-07,George Mason,52,Auburn,70
2022-11-07,La Salle,68,Villanova,81
2022-11-07,Nicholls,75,Arizona,117
2022-11-07,NC Central,61,Virginia,73
2022-11-07,Fullerton,57,San Diego St,80
2022-11-07,Longwood,54,Alabama,75
2022-11-07,Purdue FW,56,Michigan,75
2022-11-07,E Illinois,57,Illinois,87
2022-11-07,Lindenwood,46,Dayton,73
2022-11-07,N'Western St,49,Texas Tech,73
2022-11-08,UAlbany,74,Immaculata,47
2022-11-08,Rider,65,Providence,66
2022-11-08,Milwaukee,53,Purdue,84
2022-11-08,Rchster Chrstn,65,Detroit Mercy,93
2022-11-08,Sacred Heart,77,Hartford,70
2022-11-08,Mercer,75,East Carolina,77
2022-11-08,Montana,63,Duquesne,91
2022-11-08,SC State,77,South Carolina,80
2022-11-08,Coppin St,89,Georgetown,99
2022-11-08,GA Southern,48,San José St,63
2022-11-09,Rockford,56,W Illinois,113
2022-11-09,Dist Columbia,74,Howard,87
2022-11-09,N American,68,Prairie View,95
2022-11-09,Pit Greensburg,49,Robert Morris,84
2022-11-09,Davidson,102,Wright St,97
2022-11-09,Piedmont,56,Winthrop,78
2022-11-09,American,69,Marist,73
2022-11-09,Hampton,58,James Madison,106
2022-11-09,UT Martin,72,Youngstown St,90
2022-11-09,Mercy,66,FDU,106
2022-11-09,Cairn,59,Norfolk St,87
2022-11-09,Mobile,59,South Alabama,97
2022-11-09,Champ Chrstn,55,AR-Pine Bluff,87
2022-11-09,Missouri S&T,47,Missouri St,82
2022-11-09,IU Indy,48,Drake,80
2022-11-09,W Colorado,64,Utah Valley,91
2022-11-09,Kansas City,63,LSU,74
2022-11-09,Lipscomb,77,South Dakota,85
2022-11-09,Monmouth,52,Seton Hall,79
2022-11-09,S Dakota St,68,Boise St,66
2022-11-09,S Diego Christ,50,Grand Canyon,101
2022-11-09,Cal Maritime,67,UC Davis,90
2022-11-09,Bellarmine,67,Louisville,66
2022-11-09,Puget Sound,55,Seattle U,106
2022-11-09,FGCU,73,San Diego,79
2022-11-09,Florida A&M,54,Portland,91
2022-11-10,N Dakota St,59,Kansas,82
2022-11-10,North Dakota,61,Creighton,96
2022-11-10,Bethune,49,Indiana,101
2022-11-10,Texas Southern,54,Texas Tech,78
2022-11-11,Charleston,86,North Carolina,102
2022-11-11,Duquesne,52,Kentucky,77
2022-11-11,Norfolk St,70,Baylor,87
2022-11-11,SC Upstate,38,Duke,84
2022-11-11,Long Beach St,69,UCLA,93
2022-11-11,Fordham,48,Arkansas,74
2022-11-11,Lamar,66,TCU,77
2022-11-11,South Florida,59,Auburn,67
2022-11-11,Villanova,64,Temple,68
2022-11-11,Monmouth,42,Virginia,89
2022-11-11,BYU,75,San Diego St,82
2022-11-11,Liberty,59,Alabama,95
2022-11-11,UC Irvine,69,Oregon,56
2022-11-11,E Michigan,83,Michigan,88
2022-11-11,Kansas City,48,Illinois,86
2022-11-11,SMU,62,Dayton,74
2022-11-12,Green Bay,58,Georgetown,92
2022-11-12,SC State,61,Tennessee St,80
2022-11-12,Saint Peter's,44,Seton Hall,80
2022-11-12,Goshen,44,Miami OH,87
2022-11-12,SIUE,76,Purdue FW,81
2022-11-12,Stonehill,82,Army,77
2022-11-12,James Madison,97,Buffalo,62
2022-11-12,Cleveland St,70,Ohio,81
2022-11-12,Wright St,73,Louisville,72
2022-11-12,CINCYCLER,49,N Kentucky,89
2022-11-12,Ball State,71,Indiana St,83
2022-11-12,UMass Lowell,65,Rutgers,73
2022-11-12,Belhaven,38,Samford,90
2022-11-12,Jackson St,79,Tulsa,85
2022-11-12,Brevard,46,UNC Asheville,94
2022-11-12,Champ Chrstn,65,UT Martin,124
2022-11-12,Wagner,69,La Salle,77
2022-11-12,Bethesda,68,San José St,90
2022-11-12,Col Of Nj,50,Rider,87
2022-11-12,BRYN ATHYN,43,MD Eastern,90
2022-11-12,Niagara,50,Bucknell,68
2022-11-12,Alcorn St,66,Wichita St,57
2022-11-12,MTSU,68,Winthrop,76
2022-11-12,Wofford,80,High Point,91
2022-11-12,Presbyterian,57,East Carolina,77
2022-11-12,N Arizona,69,Utah Valley,73
2022-11-12,Texas St,70,Rhode Island,66
2022-11-12,Grand Canyon,46,Nevada,59
2022-11-12,Lyon,46,SE Missouri,83
2022-11-12,St. Francis IL,63,New Orleans,65
2022-11-12,Camp-Harrod,54,Lipscomb,107
2022-11-12,Dakota St,64,South Dakota,82
2022-11-12,Incarnate Word,63,UNLV,88
2022-11-12,Arkansas St,52,LSU,61
2022-11-12,Lafayette,68,St John's,83
2022-11-12,Hartford,53,Saint Francis,77
2022-11-12,Card Stritch,38,Milwaukee,112
2022-11-12,Washington St,61,Boise St,71
2022-11-12,Kentucky St,61,Western KY,127
2022-11-12,Binghamton,78,Marist,75
2022-11-12,Trinity Co Jax,32,GA Southern,53
2022-11-12,Morgan St,54,VCU,69
2022-11-12,St Bonaventure,80,Canisius,84
2022-11-12,Evansville,65,Saint Louis,83
2022-11-12,MA Col LA,52,Dartmouth,107
2022-11-12,Georgia Tech,59,Georgia St,57
2022-11-12,UAlbany,62,Siena,75
2022-11-12,Lindsey Wilson,53,Murray St,90
2022-11-12,Regent,60,Hampton,89
2022-11-12,Illinois St,69,N'Western St,67
2022-11-12,SW Adventist,33,UT Rio Grande,115
2022-11-12,Bellarmine,55,Morehead St,62
2022-11-12,Northeastern,65,Providence,89
2022-11-12,SW Univ TX,61,UT Arlington,103
2022-11-12,St Kath,48,Southern Utah,91
2022-11-12,CSU Northridge,63,Utah Tech,69
2022-11-12,New Mexico St,64,UTEP,67
2022-11-12,UC Davis,75,LMU,85
2022-11-12,Sacramento St,65,UC San Diego,55
2022-11-13,Colorado,78,Tennessee,66
2022-11-14,N Colorado,62,Baylor,95
2022-11-14,Norfolk St,56,UCLA,86
2022-11-14,Holy Cross,65,Creighton,94
2022-11-14,N'Western St,64,TCU,63
2022-11-14,Monmouth,65,Illinois,103
2022-11-14,Louisiana Tech,55,Texas Tech,64
2022-11-15,Gardner-Webb,66,North Carolina,72
2022-11-15,Winthrop,65,Auburn,89
2022-11-15,San Diego St,74,Stanford,62
2022-11-15,Alabama,65,South Alabama,55
2022-11-15,Dayton,52,UNLV,60
2022-11-15,Buffalo,64,UConn,84
2022-11-16,Gonzaga,74,Texas,93
2022-11-16,S Dakota St,56,Arkansas,71
2022-11-16,FGCU,50,Tennessee,81
2022-11-17,SC State,63,Kentucky,106
2022-11-17,UC Riverside,51,Creighton,80
2022-11-17,Utah Tech,77,Arizona,104
2022-11-18,Southern Utah,76,Kansas,82
2022-11-18,Delaware,58,Duke,92
2022-11-18,Texas Southern,56,Auburn,72
2022-11-18,Jax State,62,Alabama,104
2022-11-18,UNC Wilmington,50,UConn,86
2022-11-19,Robert Morris,51,Dayton,60
2022-11-20,James Madison,64,North Carolina,80
2022-11-20,Kentucky,72,Gonzaga,88
2022-11-20,Houston,66,Oregon,56
2022-11-20,Ohio,66,Michigan,70
2022-11-20,Delaware St,60,UConn,95
2022-11-21,Bellarmine,57,Duke,74
2022-11-22,East Carolina,86,Toledo,75
2022-11-22,Illinois St,66,Western KY,78
2022-11-22,Northern Iowa,67,Grand Canyon,69
2022-11-22,Austin Peay,65,Bucknell,79
2022-11-22,Sam Houston,88,N Illinois,54
2022-11-22,Purdue FW,74,E Michigan,67
2022-11-22,NJIT,85,Sacred Heart,75
2022-11-22,N Kentucky,56,UT Arlington,60
2022-11-22,LSU,73,Akron,58
2022-11-22,San Francisco,67,Wichita St,63
2022-11-22,Texas Tech,70,Louisville,38
2022-11-22,South Dakota,68,Long Island,58
2022-11-22,North Alabama,75,Hampton,74
2022-11-22,Southern Miss,77,Winthrop,52
2022-11-22,Holy Cross,66,UIC,89
2022-11-22,Georgia,73,UAB,87
2022-11-22,Canisius,70,Cornell,79
