Date,Visitor,PTS,Home,PTS_2
2021-11-09,Utah Tech,63,Gonzaga,97
2021-11-09,Bakersfield,58,UCLA,95
2021-11-09,Mount St Marys,51,Villanova,91
2021-11-09,Hou Christian,48,Texas,92
2021-11-09,Bellarmine,67,Purdue,96
2021-11-09,Jackson St,47,Illinois,71
2021-11-09,Tennessee Tech,65,Memphis,89
2021-11-09,Texas Southern,66,Oregon,83
2021-11-09,Louisiana Tech,64,Alabama,93
2021-11-09,Hofstra,75,Houston,83
2021-11-09,Mercer,61,Arkansas,74
2021-11-09,Akron,66,Ohio State,67
2021-11-09,UT Martin,62,Tennessee,90
2021-11-09,Loyola MD,67,North Carolina,83
2021-11-09,Quinnipiac,69,Maryland,83
2021-11-09,Morehead St,54,Auburn,77
2021-11-09,Siena,47,St Bonaventure,75
2021-11-09,C Connecticut,48,UConn,99
2021-11-09,Navy,66,Virginia,58
2021-11-10,Buffalo,76,Michigan,88
2021-11-10,Penn,70,Florida St,105
2021-11-11,G Washington,64,Maryland,71
2021-11-12,Villanova,77,UCLA,86
2021-11-12,Tarleton St,62,Kansas,88
2021-11-12,Indiana St,67,Purdue,92
2021-11-12,Incarnate Word,60,Baylor,87
2021-11-12,Arkansas St,53,Illinois,92
2021-11-12,SMU,63,Oregon,86
2021-11-12,S Dakota St,88,Alabama,104
2021-11-12,Rice,46,Houston,79
2021-11-12,Niagara,74,Ohio State,84
2021-11-12,Brown,87,North Carolina,94
2021-11-12,UL Monroe,65,Auburn,93
2021-11-12,Radford,52,Virginia,73
2021-11-13,Texas,74,Gonzaga,86
2021-11-13,NC Central,51,Memphis,90
2021-11-13,Gardner-Webb,69,Arkansas,86
2021-11-13,Coppin St,54,UConn,89
2021-11-14,ETSU,62,Tennessee,94
2021-11-14,Florida St,55,Florida,71
2021-11-14,Canisius,60,St Bonaventure,69
2021-11-15,Alcorn St,57,Gonzaga,84
2021-11-15,Long Beach St,79,UCLA,100
2021-11-15,Nicholls,60,Baylor,89
2021-11-15,Bowling Green,58,Ohio State,89
2021-11-16,Howard,81,Villanova,100
2021-11-16,Wright St,52,Purdue,96
2021-11-16,Gardner-Webb,52,Duke,92
2021-11-16,Saint Louis,74,Memphis,90
2021-11-16,South Alabama,68,Alabama,73
2021-11-16,Virginia,47,Houston,67
2021-11-16,North Carolina,94,Charleston,83
2021-11-17,North Florida,63,UCLA,98
2021-11-17,C Arkansas,47,Baylor,92
2021-11-17,Northern Iowa,80,Arkansas,93
2021-11-17,George Mason,71,Maryland,66
2021-11-17,Long Island,40,UConn,93
2021-11-18,Stony Brook,59,Kansas,88
2021-11-18,Milwaukee,45,Florida,81
2021-11-19,Lafayette,55,Duke,88
2021-11-19,Western KY,62,Memphis,74
2021-11-19,Oakland,59,Alabama,86
2021-11-19,Hofstra,67,Maryland,69
2021-11-19,Auburn,58,South Florida,52
2021-11-20,Stanford,48,Baylor,86
2021-11-20,Binghamton,63,UConn,87
2021-11-21,Temple,75,Elon,58
2021-11-21,Green Bay,58,Weber St,68
2021-11-21,Bryant,78,Holy Cross,62
2021-11-21,Norfolk St,48,Xavier,88
2021-11-21,Boston U,76,N Illinois,58
2021-11-21,Penn,71,Old Dominion,63
2021-11-21,Villanova,74,Purdue,80
2021-11-21,Boise St,60,Ole Miss,50
2021-11-21,St Thomas (MN),86,SIUE,73
2021-11-21,Georgia St,74,High Point,66
2021-11-21,UT Martin,77,North Dakota,72
2021-11-21,Ball State,89,UMass,86
2021-11-21,Air Force,73,Bethune,65
2021-11-21,Little Rock,59,Sam Houston,77
2021-11-21,Utah State,73,Oklahoma,70
2021-11-21,Tennessee St,66,South Dakota,83
2021-11-21,Princeton,81,Oregon St,80
2021-11-21,Navy,77,Furman,66
2021-11-21,Alabama A&M,41,UAB,86
2021-11-21,Morehead St,46,Mississippi St,66
2021-11-21,Lamar,75,Southern Miss,82
2021-11-21,Tennessee,89,North Carolina,72
2021-11-21,Niagara,58,Youngstown St,53
2021-11-21,Texas A&M-CC,77,UTSA,58
2021-11-21,W Carolina,64,Longwood,53
2021-11-21,Jackson St,66,Marshall,80
2021-11-21,Southern,59,Nebraska,82
2021-11-21,Merrimack,43,Virginia Tech,72
2021-11-21,Hou Christian,61,Denver,74
2021-11-21,Howard,82,William & Mary,76
2021-11-21,Clemson,59,West Virginia,66
2021-11-21,Boston College,65,Rhode Island,71
2021-11-21,GA Southern,52,Wofford,70
2021-11-21,UNC Greensboro,71,FIU,74
2021-11-21,Florida St,73,LMU,45
2021-11-21,Colorado St,95,Creighton,81
2021-11-21,Eckerd,59,FGCU,99
2021-11-21,Davidson,76,East Carolina,67
2021-11-21,Grambling,47,Iowa State,82
2021-11-21,Texas Southern,57,NC State,65
2021-11-21,St Bonaventure,70,Marquette,54
2021-11-21,Utah,72,Tulsa,58
2021-11-21,Louisiana,44,Indiana,76
2021-11-21,Northeastern,59,S Illinois,47
2021-11-21,Missouri,80,SMU,75
2021-11-21,Florida A&M,59,Miami,86
2021-11-21,New Mexico St,80,Indiana St,66
2021-11-21,Michigan,62,Arizona,80
2021-11-21,N Colorado,70,CA Baptist,74
2021-11-21,Wichita St,74,UNLV,73
2021-11-22,The Citadel,81,Duke,107
2021-11-22,UAlbany,61,Kentucky,86
2021-11-22,Utah Tech,71,USC,98
2021-11-23,Vermont,58,Evansville,49
2021-11-23,Covenant,39,Chattanooga,100
2021-11-23,Wright St,76,James Madison,78
2021-11-23,Southern Utah,88,Yale,85
2021-11-23,MTSU,60,Rider,54
2021-11-23,App State,57,Akron,45
2021-11-23,Penn,61,Towson,76
2021-11-23,Texas A&M,57,Butler,50
2021-11-23,Drexel,67,Charlotte,55
2021-11-23,Long Beach St,43,Murray St,80
2021-11-23,Milwaukee,68,Bowling Green,82
2021-11-23,Bucknell,68,Mercer,78
2021-11-23,Quinnipiac,69,New Hampshire,84
2021-11-23,Georgia,62,Northwestern,78
2021-11-23,Oakland,76,Rice,73
2021-11-23,Wisconsin,65,Houston,63
2021-11-23,Bethune,51,Liberty,59
2021-11-23,Tulane,67,Toledo,68
2021-11-23,G Washington,69,Kent State,77
2021-11-23,SF Austin,79,Buffalo,78
2021-11-23,Defiance,47,Miami OH,99
2021-11-23,Nevada,88,George Mason,69
2021-11-23,Regent,20,Norfolk St,95
2021-11-23,Hartford,60,Merrimack,75
2021-11-23,Warren Wilson,32,NC Central,110
2021-11-23,Illinois,72,Kansas St,64
2021-11-23,Lipscomb,77,Tennessee Tech,88
2021-11-23,Spalding,41,IU Indy,61
2021-11-23,SC Upstate,82,SC State,78
2021-11-23,American,67,UMBC,98
2021-11-23,Louisiana,79,Marshall,93
2021-11-23,C Connecticut,64,Maine,56
2021-11-23,Jackson St,35,Indiana,70
2021-11-23,St Francis BK,70,St John's,76
2021-11-23,Wofford,74,South Carolina,85
2021-11-23,Columbia,72,Lehigh,79
2021-11-23,UNC Asheville,53,North Carolina,72
2021-11-23,Rhode Island,66,FGCU,67
2021-11-23,Long Island,62,Saint Peter's,64
2021-11-23,C Michigan,69,Bellarmine,76
2021-11-23,Virginia,58,Providence,40
2021-11-23,Delaware,81,Fordham,71
2021-11-23,Ecclesia,53,Southern,109
2021-11-23,Oregon,50,Saint Mary's,62
2021-11-23,Coastal,64,Valparaiso,61
2021-11-23,Missouri St,76,ETSU,77
2021-11-23,Presentation,58,South Dakota,99
2021-11-23,Rogers State,31,Oral Roberts,91
2021-11-23,Fullerton,67,UT Rio Grande,72
2021-11-23,Kennesaw St,61,Wake Forest,92
2021-11-23,Omaha,40,Texas Tech,96
2021-11-23,Illinois St,76,Saint Louis,82
2021-11-23,Oakwood,50,North Alabama,105
2021-11-23,Tennessee St,73,Nebraska,79
2021-11-23,Cincinnati,67,Arkansas,73
2021-11-23,Washington,87,S Dakota St,76
2021-11-23,Pacif. Lutheran,40,Seattle U,89
2021-11-23,NC A&T,65,Stanford,79
2021-11-23,N Colorado,74,San José St,75
2021-11-23,Gonzaga,83,UCLA,63
2021-11-23,Portland,69,Portland St,54
2021-11-23,Notre Dame,90,Chaminade,64
2021-11-23,UC Davis,63,Sacramento St,75
2021-11-24,Texas Southern,64,BYU,81
2021-11-24,Tarleton St,54,Michigan,65
2021-11-25,UConn,60,Michigan St,64
2021-11-25,Dayton,76,Miami,60
2021-11-25,South Alabama,68,San Diego,67
2021-11-25,Presbyterian,68,New Orleans,66
2021-11-25,Auburn,62,Loyola Chicago,53
2021-11-25,North Texas,59,Kansas,71
2021-11-25,UIC,80,Hawai’i,88
2021-11-25,VMI,73,C Arkansas,67
2021-11-25,Baylor,69,VCU,61
2021-11-25,Alabama,68,Iona,72
2021-11-25,UC San Diego,55,Southern Miss,56
2021-11-25,UAB,86,New Mexico,73
2021-11-25,Richmond,80,Maryland,86
2021-11-25,Arizona St,84,Syracuse,92
2021-11-25,Belmont,74,Drake,69
2021-11-25,USC,70,Saint Joseph's,55
2021-11-25,San Francisco,71,Towson,61
2021-11-25,Mississippi St,58,Louisville,72
2021-11-25,Georgetown,56,San Diego St,73
2021-11-26,Omaha,40,Purdue,97
2021-11-26,North Florida,52,Kentucky,86
2021-11-26,UT Rio Grande,85,Illinois,94
2021-11-26,Tennessee Tech,69,Tennessee,80
2021-11-27,UCLA,73,UNLV,51
2021-11-27,Northern Iowa,90,St Bonaventure,80
2021-11-27,Sacramento St,59,Arizona,105
2021-11-27,BYU,75,Utah,64
2021-11-28,Villanova,72,La Salle,46
2021-11-28,Penn,60,Arkansas,76
2021-11-28,Bethune,70,Seton Hall,84
2021-11-28,Troy,45,Florida,84
2021-11-29,Tarleton St,55,Gonzaga,64
2021-11-29,C Michigan,57,Kentucky,85
2021-11-30,Presbyterian,44,Tennessee,86
2021-11-30,N'Western St,58,Houston,99
2021-11-30,MD Eastern,63,UConn,72
2021-12-01,Colorado,61,UCLA,73
2021-12-01,Villanova,71,Penn,56
2021-12-01,C Arkansas,60,Arkansas,97
2021-12-01,Florida,67,Oklahoma,74
2021-12-01,Memphis,79,Georgia,82
2021-12-01,AR-Pine Bluff,64,Iowa State,83
2021-12-01,Utah,73,USC,93
2021-12-01,UCF,68,Auburn,85
2021-12-01,Wagner,63,Seton Hall,85
2021-12-03,Iowa,70,Purdue,77
2021-12-03,UT Rio Grande,58,Texas,88
2021-12-03,Bryant,44,Houston,111
2021-12-04,AR-Pine Bluff,54,Baylor,99
2021-12-04,Saint Joseph's,52,Villanova,81
2021-12-04,Little Rock,78,Arkansas,93
2021-12-04,BYU,74,Missouri St,68
2021-12-04,Tennessee,69,Colorado,54
2021-12-04,Grambling,59,UConn,88
2021-12-04,Memphis,63,Ole Miss,67
2021-12-04,USC,63,Washington St,61
2021-12-04,Yale,64,Auburn,86
2021-12-04,Toledo,68,Michigan St,81
2021-12-04,Marquette,76,Wisconsin,89
2021-12-04,San Diego St,58,Michigan,72
2021-12-04,Alliance U,67,Seton Hall,113
2021-12-05,Arizona,90,Oregon St,65
2021-12-06,Alcorn St,45,Houston,77
2021-12-06,Texas Southern,69,Florida,54
2021-12-07,UTEP,52,Kansas,78
2021-12-07,Southern,64,Kentucky,76
2021-12-07,Charlotte,66,Arkansas,86
2021-12-07,E Kentucky,68,USC,80
2021-12-08,Wyoming,65,Arizona,94
2021-12-08,Michigan St,75,Minnesota,67
2021-12-08,North Florida,55,Florida,85
2021-12-08,Towson,74,Ohio State,85
2021-12-08,Indiana,59,Wisconsin,64
2021-12-08,Utah State,71,BYU,82
2021-12-09,Purdue,68,Rutgers,70
