Date,Visitor,PTS,Home,PTS_2
2023-11-06,NC Central,56,Kansas,99
2023-11-06,Dartmouth,54,Duke,92
2023-11-06,Samford,45,Purdue,98
2023-11-06,James Madison,79,Michigan St,76
2023-11-06,N Illinois,70,Marquette,92
2023-11-06,N Arizona,52,UConn,95
2023-11-06,UL Monroe,31,Houston,84
2023-11-06,Tennessee Tech,42,Tennessee,80
2023-11-06,Morgan St,59,Arizona,122
2023-11-06,NJIT,60,Miami,101
2023-11-06,Alcorn St,59,Arkansas,93
2023-11-06,E Texas A&M,46,Texas A&M,78
2023-11-06,New Mexico St,46,Kentucky,86
2023-11-06,Fullerton,57,San Diego St,83
2023-11-06,Incarnate Word,56,Texas,88
2023-11-06,Radford,70,North Carolina,86
2023-11-06,Kansas St,69,USC,82
2023-11-06,American,63,Villanova,90
2023-11-06,Stanislaus St,28,Saint Mary's,107
2023-11-06,Morehead St,73,Alabama,105
2023-11-06,E Illinois,52,Illinois,80
2023-11-07,Florida A&M,54,Creighton,105
2023-11-07,Auburn,82,Baylor,88
2023-11-08,FAU,75,Loyola Chicago,62
2023-11-09,So Indiana,51,Michigan St,74
2023-11-09,John Brown,70,Baylor,96
2023-11-09,Bakersfield,59,USC,85
2023-11-09,New Mexico,58,Saint Mary's,72
2023-11-10,Manhattan,61,Kansas,99
2023-11-10,Arizona,78,Duke,73
2023-11-10,Morehead St,57,Purdue,87
2023-11-10,Rider,65,Marquette,95
2023-11-10,Tennessee,80,Wisconsin,70
2023-11-10,Yale,71,Gonzaga,86
2023-11-10,UCF,72,Miami,88
2023-11-10,Gardner-Webb,68,Arkansas,86
2023-11-10,Texas A&M,73,Ohio State,66
2023-11-10,E Texas A&M,61,Kentucky,81
2023-11-10,San Diego St,65,BYU,74
2023-11-10,Delaware St,59,Texas,86
2023-11-10,Le Moyne,57,Villanova,83
2023-11-10,Indiana St,80,Alabama,102
2023-11-10,Oakland,53,Illinois,64
2023-11-11,Stonehill,67,UConn,107
2023-11-11,Texas A&M-CC,50,Houston,82
2023-11-11,N Dakota St,60,Creighton,89
2023-11-12,Lehigh,68,North Carolina,90
2023-11-12,Gardner-Webb,62,Baylor,77
2023-11-12,Weber St,61,Saint Mary's,57
2023-11-13,Xavier,71,Purdue,83
2023-11-13,Southern,59,Arizona,97
2023-11-13,Stetson,48,Houston,79
2023-11-13,FIU,80,Miami,86
2023-11-13,Old Dominion,77,Arkansas,86
2023-11-13,Villanova,72,Penn,76
2023-11-14,Kentucky,84,Kansas,89
2023-11-14,Marquette,71,Illinois,64
2023-11-14,Miss Valley St,53,UConn,87
2023-11-14,Wofford,61,Tennessee,82
2023-11-14,Iowa,84,Creighton,92
2023-11-14,Duke,74,Michigan St,65
2023-11-14,E Michigan,57,FAU,100
2023-11-14,Eastern Oregon,57,Gonzaga,123
2023-11-14,Texas A&M,79,SMU,66
2023-11-14,Kansas City,61,Baylor,99
2023-11-14,UC Irvine,70,USC,60
2023-11-14,South Alabama,46,Alabama,102
2023-11-14,Milwaukee,79,Colorado,106
2023-11-15,Rice,64,Texas,80
2023-11-16,Houston,65,Towson,49
2023-11-17,Belmont,68,Arizona,100
2023-11-17,Houston,76,Utah,66
2023-11-17,Bucknell,60,Duke,90
2023-11-17,Georgia,68,Miami,79
2023-11-17,Oral Roberts,66,Texas A&M,74
2023-11-17,UNC Greensboro,78,Arkansas,72
2023-11-17,Stonehill,67,Kentucky,101
2023-11-17,Butler,54,Michigan St,74
2023-11-17,UC Riverside,52,North Carolina,77
2023-11-17,Maryland,40,Villanova,57
2023-11-17,Mercer,67,Alabama,98
2023-11-17,Valparaiso,64,Illinois,87
2023-11-17,Radford,73,James Madison,76
2023-11-18,Texas Southern,50,Creighton,82
2023-11-18,Bryant,61,FAU,52
2023-11-19,UT Arlington,56,Arizona,101
2023-11-19,UConn,77,Indiana,57
2023-11-19,Dayton,55,Houston,69
2023-11-19,Kansas St,83,Miami,91
2023-11-19,Brown,70,USC,81
2023-11-19,Alcorn St,49,Michigan St,81
2023-11-19,Texas,81,Louisville,80
2023-11-19,Southern,60,Illinois,88
2023-11-20,Kansas,83,Chaminade,56
2023-11-20,Purdue,73,Gonzaga,63
2023-11-20,UCLA,69,Marquette,71
2023-11-20,UConn,81,Texas,71
2023-11-20,Tennessee,73,Syracuse,56
2023-11-20,Saint Joseph's,88,Kentucky,96
2023-11-20,Colorado,64,Richmond,59
2023-11-20,Wisconsin,65,Virginia,41
2023-11-21,Kansas,59,Marquette,73
2023-11-21,Tennessee,67,Purdue,71
2023-11-21,La Salle,66,Duke,95
2023-11-21,Syracuse,57,Gonzaga,76
2023-11-21,Florida St,77,Colorado,71
2023-11-21,James Madison,82,S Illinois,76
2023-11-22,Tennessee,60,Kansas,69
2023-11-22,Purdue,78,Marquette,75
2023-11-22,Loyola Chicago,65,Creighton,88
2023-11-22,Gonzaga,69,UCLA,65
2023-11-22,Baylor,88,Oregon St,72
2023-11-22,Northern Iowa,69,North Carolina,91
2023-11-22,Stanford,74,Arkansas,77
2023-11-22,James Madison,95,Fresno St,64
2023-11-22,West Virginia,54,Virginia,56
2023-11-23,Michigan St,68,Arizona,74
2023-11-23,Colorado St,69,Creighton,48
2023-11-23,Penn State,77,Texas A&M,89
2023-11-23,Villanova,83,North Carolina,81
2023-11-23,FAU,91,Butler,86
2023-11-23,Arkansas,79,Memphis,84
2023-11-23,Seton Hall,63,USC,71
2023-11-24,Manhattan,60,UConn,90
2023-11-24,Montana,44,Houston,79
2023-11-24,So Indiana,62,Duke,80
2023-11-24,Texas A&M,89,FAU,96
2023-11-24,Baylor,95,Florida,91
2023-11-24,Arkansas,72,North Carolina,87
2023-11-24,Marshall,82,Kentucky,118
2023-11-24,Alabama,81,Ohio State,92
2023-11-24,Oklahoma,72,USC,70
2023-11-24,Nicholls,61,Mississippi St,74
2023-11-25,Alabama,99,Oregon,91
2023-11-26,Texas A&M,73,Iowa State,69
2023-11-26,Wyoming,63,Texas,86
2023-11-26,Iona,68,Colorado,85
2023-11-26,FAU,84,Virginia Tech,50
2023-11-27,New Hampshire,64,UConn,84
2023-11-28,Texas Southern,67,Purdue,99
2023-11-28,Southern,56,Marquette,93
2023-11-28,E Illinois,63,Kansas,71
2023-11-28,Miami,73,Kentucky,95
2023-11-28,Nicholls,70,Baylor,108
2023-11-28,Bakersfield,65,Gonzaga,81
2023-11-28,Mississippi St,59,Georgia Tech,67
2023-11-28,Clemson,85,Alabama,77
2023-11-29,Duke,75,Arkansas,80
2023-11-29,Tennessee,92,North Carolina,100
2023-11-29,Texas A&M,47,Virginia,59
2023-11-29,Saint Joseph's,78,Villanova,65
2023-11-29,Colorado,83,Colorado St,88
2023-11-29,Buffalo,66,James Madison,81
2023-11-30,Liberty,58,FAU,83
2023-11-30,Creighton,79,Oklahoma St,65
2023-11-30,Texas St,58,Texas,77
2023-11-30,AR-Pine Bluff,86,Oklahoma,107
2023-12-01,Purdue,88,Northwestern,92
2023-12-01,UConn,65,Kansas,69
2023-12-01,Houston,66,Xavier,60
2023-12-01,Fresno St,56,BYU,85
2023-12-02,Colgate,55,Arizona,82
2023-12-02,Marquette,64,Wisconsin,75
2023-12-02,Duke,68,Georgia Tech,72
2023-12-02,Notre Dame,49,Miami,62
2023-12-02,N'Western St,40,Baylor,91
2023-12-02,Gonzaga,89,USC,76
2023-12-02,UNC Wilmington,80,Kentucky,73
2023-12-02,Charleston,74,FAU,90
2023-12-02,Florida St,70,North Carolina,78
2023-12-02,Drexel,57,Villanova,55
2023-12-02,Washington,81,Colorado St,86
2023-12-02,Illinois,76,Rutgers,58
2023-12-03,Creighton,89,Nebraska,60
2023-12-03,Southern,60,Mississippi St,59
2023-12-03,Keystone,59,James Madison,130
2023-12-04,Iowa,68,Purdue,87
2023-12-05,Kansas City,69,Kansas,88
