season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,MIA-QB1-MalikWillis,Malik Willis,MIA,QB,17,4575.364,127.599,0.0,0.0,25.21,1.629,0.0,0.8039
2026,CIN-QB1-JoeBurrow,Joe Burrow,CIN,QB,17,4543.439,130.38,0.0,0.0,25.176,1.527,0.0,0.7828
2026,MIN-QB1-KylerMurray,Kyler Murray,MIN,QB,17,4491.564,131.103,0.0,0.0,24.006,1.733,0.0,0.8232
2026,NYJ-QB1-GenoSmith,Geno Smith,NYJ,QB,17,4486.914,141.64,0.0,0.0,25.73,1.524,0.0,0.7822
2026,DAL-QB1-DakPrescott,Dak Prescott,DAL,QB,17,4471.28,135.153,0.0,0.0,24.227,1.629,0.0,0.8039
2026,WAS-QB1-JaydenDaniels,Jayden Daniels,WAS,QB,17,4440.322,142.276,0.0,0.0,24.519,1.595,0.0,0.7971
2026,LV-QB1-KirkCousins,Kirk Cousins,LV,QB,17,4392.475,140.973,0.0,0.0,25.544,1.571,0.0,0.7922
2026,KC-QB1-PatrickMahomes,Patrick Mahomes,KC,QB,17,4383.931,127.119,0.0,0.0,23.68,1.654,0.0,0.8087
2026,ARI-QB1-JacobyBrissett,Jacoby Brissett,ARI,QB,17,4368.124,140.318,0.0,0.0,24.507,1.66,0.0,0.8099
2026,LAC-QB1-JustinHerbert,Justin Herbert,LAC,QB,17,4325.259,130.978,0.0,0.0,23.385,1.658,0.0,0.8095
2026,NYG-QB1-JaxsonDart,Jaxson Dart,NYG,QB,17,4313.92,139.298,0.0,0.0,23.575,1.736,0.0,0.8238
2026,TEN-QB1-CamWard,Cam Ward,TEN,QB,17,4305.335,150.78,0.0,0.0,24.391,1.657,0.0,0.8093
2026,NO-QB1-TylerShough,Tyler Shough,NO,QB,17,4287.754,139.191,0.0,0.0,22.051,1.883,0.0,0.8479
2026,CAR-QB1-BryceYoung,Bryce Young,CAR,QB,17,4287.126,137.896,0.0,0.0,24.699,1.668,0.0,0.8114
2026,ATL-QB1-TuaTagovailoa,Tua Tagovailoa,ATL,QB,17,4269.17,139.82,0.0,0.0,22.449,1.827,0.0,0.8391
2026,DET-QB1-JaredGoff,Jared Goff,DET,QB,17,4259.064,134.314,0.0,0.0,22.068,1.841,0.0,0.8413
2026,LA-QB1-MatthewStafford,Matthew Stafford,LA,QB,17,4258.261,130.169,0.0,0.0,21.491,1.955,0.0,0.8584
2026,TB-QB1-BakerMayfield,Baker Mayfield,TB,QB,17,4245.56,137.963,0.0,0.0,22.705,1.707,0.0,0.8186
2026,BUF-QB1-JoshAllen,Josh Allen,BUF,QB,17,4235.911,128.32,0.0,0.0,22.627,1.799,0.0,0.8345
2026,GB-QB1-JordanLove,Jordan Love,GB,QB,17,4234.363,132.541,0.0,0.0,22.893,1.754,0.0,0.8269
2026,IND-QB1-DanielJones,Daniel Jones,IND,QB,17,4206.557,135.305,0.0,0.0,21.952,1.773,0.0,0.8302
2026,HOU-QB1-C.J.Stroud,C.J. Stroud,HOU,QB,17,4198.551,136.731,0.0,0.0,21.188,1.952,0.0,0.858
2026,CLE-QB1-DeshaunWatson,Deshaun Watson,CLE,QB,17,4188.439,152.49,0.0,0.0,21.94,1.866,0.0,0.8453
2026,JAX-QB1-TrevorLawrence,Trevor Lawrence,JAX,QB,17,4170.699,135.192,0.0,0.0,21.826,1.86,0.0,0.8443
2026,DEN-QB1-BoNix,Bo Nix,DEN,QB,17,4148.358,137.228,0.0,0.0,21.325,1.869,0.0,0.8457
2026,SEA-QB1-SamDarnold,Sam Darnold,SEA,QB,17,4141.877,136.257,0.0,0.0,21.185,1.995,0.0,0.864
