season,team,super_bowl_win_prob
2026,SEA,0.08578
2026,LA,0.07458
2026,MIN,0.06864
2026,CLE,0.06128
2026,NYG,0.0533
2026,BAL,0.05152
2026,LV,0.0493
2026,DET,0.047
2026,BUF,0.042
2026,CIN,0.04154
2026,WAS,0.03664
2026,HOU,0.03188
2026,GB,0.03088
2026,JAX,0.03086
2026,IND,0.03082
2026,TB,0.03046
2026,NO,0.02936
2026,KC,0.02824
2026,PHI,0.02236
2026,DEN,0.02156
2026,CHI,0.02108
2026,LAC,0.01904
2026,ATL,0.01336
2026,DAL,0.01216
2026,CAR,0.01146
2026,NE,0.01108
2026,MIA,0.00984
2026,ARI,0.0097
2026,NYJ,0.00918
2026,PIT,0.00888
2026,TEN,0.00354
2026,SF,0.00268
