season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,SEA,NFC,NFC West,10.445,8,17,0.7391,0.4773,0.0858
2026,LA,NFC,NFC West,10.239,8,17,0.7021,0.4251,0.0746
2026,MIN,NFC,NFC North,10.098,8,17,0.6667,0.393,0.0686
2026,CLE,AFC,AFC North,9.454,7,17,0.6519,0.3535,0.0613
2026,BUF,AFC,AFC East,9.001,6,16,0.6182,0.4931,0.042
2026,LV,AFC,AFC West,9.222,7,17,0.6151,0.3806,0.0493
2026,NYG,NFC,NFC East,9.719,7,16,0.6115,0.3992,0.0533
2026,BAL,AFC,AFC North,9.232,7,17,0.6096,0.3115,0.0515
2026,CIN,AFC,AFC North,9.006,6,17,0.5663,0.2678,0.0415
2026,DET,NFC,NFC North,9.549,7,17,0.5619,0.2787,0.047
2026,JAX,AFC,AFC South,8.613,6,16,0.5114,0.3195,0.0309
2026,HOU,AFC,AFC South,8.597,6,16,0.5074,0.3148,0.0319
2026,IND,AFC,AFC South,8.584,6,16,0.5048,0.3143,0.0308
2026,WAS,NFC,NFC East,9.181,7,17,0.4996,0.2908,0.0366
2026,TB,NFC,NFC South,8.938,6,16,0.4836,0.3398,0.0305
2026,KC,AFC,AFC West,8.531,6,16,0.4776,0.2487,0.0282
2026,NO,NFC,NFC South,8.886,6,17,0.469,0.3273,0.0294
2026,GB,NFC,NFC North,8.958,6,17,0.4429,0.1917,0.0309
2026,DEN,AFC,AFC West,8.161,6,17,0.4052,0.1956,0.0216
2026,PHI,NFC,NFC East,8.532,6,16,0.3732,0.1898,0.0224
2026,LAC,AFC,AFC West,7.978,5,16,0.3723,0.1751,0.019
2026,CHI,NFC,NFC North,8.479,6,16,0.3497,0.1366,0.0211
2026,ATL,NFC,NFC South,7.985,5,15,0.299,0.1847,0.0134
2026,NE,AFC,AFC East,7.393,5,15,0.2974,0.1835,0.0111
2026,MIA,AFC,AFC East,7.236,5,16,0.2701,0.1666,0.0098
2026,DAL,NFC,NFC East,7.911,5,16,0.2607,0.1201,0.0122
2026,NYJ,AFC,AFC East,7.147,5,15,0.2585,0.1568,0.0092
2026,CAR,NFC,NFC South,7.682,5,16,0.2489,0.1482,0.0115
2026,PIT,AFC,AFC North,7.099,5,16,0.2193,0.0672,0.0089
2026,ARI,NFC,NFC West,7.602,5,16,0.2108,0.0723,0.0097
2026,TEN,AFC,AFC South,6.16,4,14,0.115,0.0514,0.0035
2026,SF,NFC,NFC West,6.382,4,14,0.0815,0.0253,0.0027
