season,week,game_id,team,player_id,player_uid,player_name,position,model_version,pass_yards_mean,rush_yards_mean,receiving_yards_mean,receptions_mean,pass_tds_mean,rush_tds_mean,rec_tds_mean,anytime_td_prob
2026,1,2026_01_ARI_LAC,ARI,00-0035876,41013c19-aa50-416f-aa97-1357e9ebdbd8,A.Baccellia,WR,nfl-player-v1,0,0,8.044,0.94,0,0,0.011,0.0109
2026,1,2026_01_ARI_LAC,ARI,00-0040556,2ad579e3-eb45-46a7-b5d5-c0449a7bd381,C.Kiner,RB,nfl-player-v1,0,19.137,4.073,0.662,0,0.061,0.004,0.0635
2026,1,2026_01_ARI_LAC,ARI,00-0035628,f608ee90-c986-469d-b0d7-f7af91010dc5,D.Johnson,,nfl-player-v1,0,0.213,4.711,0.558,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0038705,de81a074-52e4-452a-a923-496eddc6a5d0,E.Demercado,RB,nfl-player-v1,0,17.592,3.059,0.506,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0039041,1b207068-6c7e-480f-9923-06f2128115d6,E.Higgins,TE,nfl-player-v1,0,0,8.419,0.979,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0035500,8d89d9ff-87bf-47c7-bdb7-6387fd2063b9,G.Dortch,WR,nfl-player-v1,0,0,6.991,0.819,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0033119,237a8679-0c0a-480b-870d-514d0c50523f,J.Brissett,QB,nfl-player-v1,170.457,5.007,0,0,1.067,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0038640,254587e7-6a8c-4ef6-ad58-e4f4cbd49ec5,J.Brooks,WR,nfl-player-v1,0,0,8.044,0.94,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0033553,00f22708-bdef-40e6-814d-886022e9be2c,J.Conner,RB,nfl-player-v1,0,30.153,4.646,0.749,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0036332,d68e6bf1-9c1c-492b-a5f1-0fb28d095b89,J.Deguara,TE,nfl-player-v1,0,0,7.147,0.837,0,0,0.01,0.0097
2026,1,2026_01_ARI_LAC,ARI,00-0035228,35cc13e2-07c8-47ec-a3f1-171f1c79da4c,K.Murray,QB,nfl-player-v1,175.871,5.776,0,0,1.183,0.027,0,0.0268
2026,1,2026_01_ARI_LAC,ARI,00-0039577,d744f827-583d-4523-b6b0-a4357ca13013,K.Slovis,QB,nfl-player-v1,149.855,4.235,0,0,0.938,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0036924,324eed4d-0d36-4dcf-818b-f956af29d709,M.Carter,RB,nfl-player-v1,0,26.409,4.092,0.665,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0033400,41831466-e991-4075-8bbf-5725add7dd5d,M.Haack,P,nfl-player-v1,0,0,4.802,0.569,0,0,0,0.005
2026,1,2026_01_ARI_LAC,ARI,00-0039849,4c27a10c-963d-444e-b235-b46f4b652866,M.Harrison,WR,nfl-player-v1,0,0,5.748,0.681,0,0,0,0.005
