season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2026,6b486380-fb82-43db-ac70-9e09a0e5f224,N.Brown,WAS,WR,4,0.0,0.0,24.052,2.828,0.0,0.0,0.0,0.02
2026,4abf543b-e1f6-4494-846e-6301c3f079f6,T.Martin,WAS,WR,4,0.0,0.0,24.052,2.828,0.0,0.0,0.0,0.02
2026,f3337878-a66f-4fc4-a338-fe31450161ff,B.Willis,SF,TE,4,0.0,0.0,23.98,2.832,0.0,0.0,0.0,0.02
2026,90512c81-b774-4f19-89bb-556666504a86,M.Turner,SF,WR,4,0.0,0.0,23.98,2.832,0.0,0.0,0.0,0.02
2026,c96a014c-7133-478e-a6dd-12e7f16c195b,A.Gould,IND,WR,4,0.0,0.0,23.92,2.82,0.0,0.0,0.0,0.02
2026,87520ab1-0a67-4521-b031-0a45fa108796,A.Mitchell,IND,,4,0.0,0.0,23.92,2.82,0.0,0.0,0.0,0.02
2026,43cc4877-ed92-4575-8383-41835f239ca0,G.Bolles,DEN,OL,4,0.0,0.0,23.872,2.824,0.0,0.0,0.032,0.0304
2026,128fd135-fb3e-451e-8135-52d9465c4154,T.Franklin,DEN,WR,4,0.0,0.0,23.872,2.824,0.0,0.0,0.032,0.0304
2026,fd1c9066-b003-40c0-ac6f-6c8cab52d183,B.Whiteheart,CLE,TE,4,0.0,0.0,23.868,2.82,0.0,0.0,0.0,0.02
2026,41a0c66a-cf0b-4519-a28d-a12b879a5031,J.Thrash,CLE,WR,4,0.0,0.0,23.868,2.82,0.0,0.0,0.0,0.02
2026,1c6fef89-c24b-47e0-abb8-a2e86f461dfa,L.Wypler,CLE,OL,4,0.0,0.0,23.868,2.82,0.0,0.0,0.036,0.0356
2026,0d23c95e-455b-49ac-b529-bfb3b3e50033,S.Cannella,CLE,TE,4,0.0,0.0,23.868,2.82,0.0,0.0,0.0,0.02
2026,577995aa-5a21-4ce7-a655-476aa3b7d151,D.Allen,LA,TE,4,0.0,0.0,23.864,2.82,0.0,0.0,0.0,0.02
2026,4338c37a-86fe-4f3d-9b1e-af899ef9146b,T.Ferguson,LA,TE,4,0.0,0.0,23.864,2.82,0.0,0.0,0.04,0.0392
2026,0d5bf47b-72d7-40a0-99f0-811112986e77,C.Grandy,CIN,TE,4,0.0,0.0,23.824,2.808,0.0,0.0,0.0,0.02
2026,332e37c2-22e4-4511-931e-c30035cb108d,N.Fant,CIN,TE,4,0.0,0.0,23.824,2.808,0.0,0.0,0.0,0.02
2026,5aff7be5-7bfe-4ff3-b286-81c0f9f0cd16,T.Conklin,LAC,TE,4,0.0,0.0,23.8,2.808,0.0,0.0,0.0,0.02
2026,38a24d2f-310f-47b9-b65c-ed661537f295,D.Pierce,HOU,,4,0.0,4.68,19.108,2.232,0.0,0.0,0.0,0.02
2026,f78e2b4f-796b-41c8-9af0-75caf042eb26,A.Thielen,MIN,,4,0.0,0.0,23.668,2.796,0.0,0.0,0.0,0.02
2026,8d970914-b1a3-4c6d-b937-7eee8bdff2e9,J.Wiley,KC,TE,4,0.0,0.0,23.636,2.792,0.0,0.0,0.0,0.02
2026,a56be6f4-3ccb-4bcd-ac27-e4b3f1e64dc8,B.Raimann,IND,OL,4,0.0,0.0,23.564,2.784,0.0,0.0,0.024,0.026
2026,a96a3236-df45-415d-930b-b8bbed7352e7,C.Owen,IND,WR,4,0.0,0.0,23.564,2.784,0.0,0.0,0.0,0.02
2026,4743942f-ce55-45d2-94a2-2a80877bbf90,C.Jones,CIN,WR,4,0.0,0.0,23.508,2.78,0.0,0.0,0.0,0.02
2026,8fa39fd1-f924-44b5-b327-9191f3569c02,M.Tinsley,CIN,WR,4,0.0,0.0,23.508,2.78,0.0,0.0,0.0,0.02
2026,e71f068d-ac9d-4f78-8099-e1eea965dc74,B.Melton,GB,DB,4,0.0,0.0,23.504,2.78,0.0,0.0,0.0,0.02
2026,5bedb1f9-714b-416c-9803-57d032ed5651,J.FitzPatrick,GB,TE,4,0.0,0.0,23.504,2.78,0.0,0.0,0.0,0.02
2026,44b551ee-73bc-4992-b195-a15879dfb8fc,M.Heath,GB,,4,0.0,0.0,23.504,2.78,0.0,0.0,0.0,0.02
2026,25947c7c-202f-4109-b28b-481e2d6166b1,D.Eskridge,MIA,WR,4,0.0,0.0,23.476,2.776,0.0,0.0,0.0,0.02
2026,723099fe-7e45-4cc2-9e19-be47b28fa150,N.Westbrook-Ikhine,MIA,WR,4,0.0,0.0,23.476,2.776,0.0,0.0,0.0,0.02
2026,ec44d32f-0e18-4e07-8eef-dd06b0ff518d,T.Conner,MIA,,4,0.0,0.0,23.476,2.776,0.0,0.0,0.0,0.02
2026,504cff6d-96bf-4947-9b02-fdeca09ae23a,S.Jackson,LV,WR,4,0.0,0.9,22.568,2.652,0.0,0.0,0.0,0.02
2026,9242a171-f0ef-4b07-a145-63e7b6f3999d,D.Smythe,CHI,TE,4,0.0,0.0,23.432,2.764,0.0,0.0,0.0,0.02
2026,4933a1b2-3cd6-4268-a60f-3b7b98622bbf,I.TeSlaa,DET,WR,4,0.0,0.0,23.38,2.76,0.0,0.0,0.0,0.02
2026,1812ee0d-0029-49bc-8676-626a59248831,D.Davis,LAC,WR,4,0.0,0.0,23.32,2.752,0.0,0.0,0.0,0.02
2026,f733b01b-0016-4033-847c-4bfee3b0d450,C.White,SEA,WR,4,0.0,0.0,23.296,2.748,0.0,0.0,0.0,0.02
2026,451354cb-0431-4f14-85ae-b71e7cd011a1,R.Tonyan,KC,TE,4,0.0,0.0,23.16,2.736,0.0,0.0,0.0,0.02
2026,5e766c57-ffa4-4526-84a6-a1a1f1c172e8,C.Yankoff,WAS,TE,4,0.0,0.0,23.14,2.732,0.0,0.0,0.0,0.02
2026,8f6e73b4-1f9c-4db2-b36b-660751127569,J.Lane,WAS,WR,4,0.0,0.0,23.14,2.732,0.0,0.0,0.0,0.02
