season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob
2025,40159058-8f61-4120-8323-ec81eaeff8ce,B.Nix,DEN,QB,17,2078.047,109.994,0.0,0.0,13.468,0.282,0.0,0.3183000000000001
2025,d0738d0d-7cc8-49b9-882e-a1fb536c47e7,T.Lawrence,JAX,QB,17,2046.136,109.78,0.0,0.0,13.35,0.332,0.0,0.3604
2025,d3372f7c-27eb-47ac-9d90-facef898a40f,C.Williams,CHI,QB,17,2047.448,106.838,0.0,0.0,13.393,0.319,0.0,0.3376
2025,c18b2fe3-1746-464c-9604-91eca99e8c5c,D.Maye,NE,QB,17,2032.516,116.222,0.0,0.0,13.333,0.372,0.0,0.38410000000000005
2025,6b202b45-4554-4645-8ff5-4ee830907717,D.Prescott,DAL,QB,17,2019.39,92.148,0.0,0.0,12.848,0.098,0.0,0.14700000000000002
2025,f16bf5f1-4c50-449b-b1d4-ad4d66db60cb,C.Ward,TEN,QB,17,2015.659,93.142,0.0,0.0,13.022,0.22,0.0,0.27
2025,56c2266e-4dc1-4c37-8f44-6323a36613de,B.Mayfield,TB,QB,17,1994.132,96.409,0.0,0.0,12.576,0.049,0.0,0.12330000000000002
2025,7fc98b95-d8a9-461b-895c-675c835c87a6,M.Stafford,LA,QB,17,1972.721,79.881,0.0,0.0,12.435,0.04,0.0,0.11020000000000003
2025,a631bebf-08bd-40de-b474-1e57605a1574,J.Goff,DET,QB,17,1970.662,77.653,0.0,0.0,12.358,0.009,0.0,0.08860000000000001
2025,32369b37-6bce-4910-acfa-f658676697d3,J.Allen,BUF,QB,16,1929.747,114.435,0.0,0.0,12.844,0.467,0.0,0.4696000000000001
2025,c415d118-a039-407a-a350-3e89d8042e25,J.Hurts,PHI,QB,16,1912.213,116.739,0.0,0.0,12.844,0.586,0.0,0.5879
2025,3a4bd5d6-8b01-4324-8449-d0f7c2059e36,S.Darnold,SEA,QB,17,1943.984,84.831,0.0,0.0,12.22,0.023,0.0,0.09790000000000001
2025,86721778-e183-4522-8ddc-55e00f17fbe7,J.Herbert,LAC,QB,16,1912.444,105.638,0.0,0.0,12.443,0.282,0.0,0.32350000000000007
2025,c28c1088-1b0f-497f-bfdb-1a7a9cde1e89,B.Young,CAR,QB,16,1871.339,92.221,0.0,0.0,12.173,0.251,0.0,0.28900000000000003
