season,team,super_bowl_win_prob
2025,PHI,0.08342
2025,DET,0.06358
2025,BUF,0.06262
2025,ARI,0.0559
2025,IND,0.05232
2025,GB,0.04894
2025,DAL,0.04628
2025,HOU,0.04498
2025,DEN,0.04162
2025,NYJ,0.04124
2025,KC,0.03654
2025,LAC,0.03374
2025,MIN,0.03184
2025,WAS,0.0317
2025,LV,0.03166
2025,BAL,0.0313
2025,LA,0.02958
2025,PIT,0.02752
2025,CAR,0.0257
2025,MIA,0.02496
2025,NYG,0.02442
2025,SEA,0.02138
2025,NE,0.0196
2025,JAX,0.01596
2025,NO,0.014
2025,TB,0.01218
2025,TEN,0.01182
2025,CLE,0.01056
2025,CHI,0.00946
2025,SF,0.0089
2025,CIN,0.00488
2025,ATL,0.0014
