team,dratings_rating
Duke Blue Devils,4.1943
Florida Gators,4.1058
Houston Cougars,4.0582
Auburn Tigers,4.0243
Alabama Crimson Tide,3.5744
Tennessee Volunteers,3.5502
Michigan State Spartans,3.2111
Maryland Terrapins,3.0815
St. John's Red Storm,2.988
Texas Tech Red Raiders,2.929
Gonzaga Bulldogs,2.9156
Wisconsin Badgers,2.8681
Illinois Fighting Illini,2.7997
Missouri Tigers,2.7871
Purdue Boilermakers,2.7719
Ole Miss Rebels,2.7428
Arizona Wildcats,2.7384
Iowa State Cyclones,2.7363
Kentucky Wildcats,2.7298
Michigan Wolverines,2.7233
Texas A&M Aggies,2.7081
Louisville Cardinals,2.6404
UCLA Bruins,2.6268
Saint Mary's College Gaels,2.5906
Clemson Tigers,2.5851
Kansas Jayhawks,2.5155
Brigham Young Cougars,2.5134
Mississippi State Bulldogs,2.5084
Marquette Golden Eagles,2.4642
Oregon Ducks,2.4247
UNC Tar Heels,2.4241
Connecticut Huskies,2.3497
New Mexico Lobos,2.3038
Georgia Bulldogs,2.2706
Baylor Bears,2.2657
Arkansas Razorbacks,2.1988
Oklahoma Sooners,2.1935
Creighton Bluejays,2.1643
Ohio State Buckeyes,2.1432
Memphis Tigers,2.1038
Xavier Musketeers,2.0578
Texas Longhorns,2.0178
VCU Rams,1.9577
Boise State Broncos,1.9524
Vanderbilt Commodores,1.9227
SMU Mustangs,1.902
Nebraska Cornhuskers,1.9013
San Diego State Aztecs,1.8986
Indiana Hoosiers,1.8944
Colorado State Rams,1.8827
Northwestern Wildcats,1.8798
Drake Bulldogs,1.8204
Utah State Aggies,1.81
Cincinnati Bearcats,1.8006
Villanova Wildcats,1.7662
West Virginia Mountaineers,1.7565
Wake Forest Demon Deacons,1.7189
USC Trojans,1.7113
Iowa Hawkeyes,1.707
Pitt Panthers,1.6141
UC San Diego Tritons,1.6027
Penn State Nittany Lions,1.5831
Kansas State Wildcats,1.5192
Rutgers Scarlet Knights,1.4832
Santa Clara Broncos,1.4471
Utah Utes,1.4263
San Francisco Dons,1.4157
McNeese State Cowboys,1.4064
UCF Knights,1.3918
South Carolina Gamecocks,1.3703
Stanford Cardinal,1.3527
Minnesota Golden Gophers,1.3191
North Texas Mean Green,1.2717
Dayton Flyers,1.2447
TCU Horned Frogs,1.2155
Butler Bulldogs,1.1867
George Mason Patriots,1.1788
Liberty Flames,1.176
LSU Tigers,1.1729
Nevada Wolf Pack,1.1704
Florida State Seminoles,1.1648
UC Irvine Anteaters,1.1648
Saint Joseph's Hawks,1.1578
Grand Canyon Antelopes,1.1172
Georgetown Hoyas,1.114
Arizona State Sun Devils,1.1113
Colorado Buffaloes,1.0949
Oklahoma State Cowboys,1.016
High Point Panthers,1.013
Yale Bulldogs,1.0106
Notre Dame Fighting Irish,1.0083
UNLV Rebels,1.0027
Bradley University Braves,0.9632
Providence Friars,0.9592
Washington Huskies,0.9522
UAB Blazers,0.93
Virginia Cavaliers,0.9072
Arkansas State Red Wolves,0.9001
Oregon State Beavers,0.8594
Georgia Tech Yellow Jackets,0.8044
California Golden Bears,0.7757
Akron Zips,0.7556
Chattanooga Mocs,0.7428
Syracuse Orange,0.7395
Florida Atlantic,0.7391
Loyola Chicago Ramblers,0.7274
Saint Louis Billikens,0.7225
Washington State Cougars,0.7129
Northern Iowa Panthers,0.6857
NC State Wolfpack,0.6818
Troy Trojans,0.6547
St. Bonaventure Bonnies,0.6189
DePaul Blue Demons,0.5799
Lipscomb Bisons,0.5599
Kent State Golden Flashes,0.5251
MTSU Blue Raiders,0.5183
Belmont Bruins,0.4871
Utah Valley Wolverines,0.4666
George Washington Colonials,0.4659
UNC Wilmington Seahawks,0.4601
Wichita State Shockers,0.4496
Jacksonville State Gamecocks,0.4213
Virginia Tech Hokies,0.4038
Cal State Northridge Matadors,0.3822
Illinois State Redbirds,0.3582
Samford Bulldogs,0.3305
Rhode Island Rams,0.3125
Davidson Wildcats,0.3068
Louisiana Tech Bulldogs,0.3042
Tulane Green Wave,0.3034
South Alabama Jaguars,0.303
Duquesne Dukes,0.2868
Northern Colorado Bears,0.2551
Wisconsin Milwaukee Panthers,0.224
Murray State Racers,0.2154
Furman Paladins,0.2103
James Madison Dukes,0.1912
New Mexico State Aggies,0.1892
Robert Morris Colonials,0.1849
Boston College Eagles,0.1707
Western Kentucky Hilltoppers,0.1618
Loyola Marymount Lions,0.1598
East Carolina Pirates,0.1584
Charleston Cougars,0.1453
Kennesaw State Owls,0.1238
St. Thomas Tommies,0.1173
Miami RedHawks,0.1164
Wofford Terriers,0.1155
Seattle Redhawks,0.0939
UC Santa Barbara Gauchos,0.0922
UIC Flames,0.092
Temple Owls,0.0853
Winthrop Eagles,0.0851
Cornell Big Red,0.0821
Cleveland State Vikings,0.0694
Bryant Bulldogs,0.0535
Towson Tigers,0.0521
North Alabama Lions,0.0476
South Dakota State Jackrabbits,0.0475
Miami Hurricanes,0.0409
North Dakota State Bison,0.0407
UC Riverside Highlanders,0.0315
UTEP Miners,0.0271
San Jose State Spartans,0.0164
ETSU Buccaneers,0.0124
Princeton Tigers,0.008
UNC Greensboro Spartans,0.0049
Ohio Bobcats,0.0026
Marshall Thundering Herd,-0.0216
IPFW Mastodons,-0.0231
California Baptist Lancers,-0.0258
Appalachian State Mountaineers,-0.0707
Montana Grizzlies,-0.0749
Seton Hall Pirates,-0.0835
South Florida Bulls,-0.0961
Radford Highlanders,-0.0988
Southern Illinois Salukis,-0.1242
Oakland Golden Grizzlies,-0.1349
Sam Houston State Bearkats,-0.1398
UMass Minutemen,-0.1677
Wyoming Cowboys,-0.1742
Nicholls State Colonels,-0.1787
Lamar Cardinals,-0.2021
Youngstown State Penguins,-0.2152
Texas A&M CC Islanders,-0.2568
Texas State Bobcats,-0.299
Omaha Mavericks,-0.3004
Indiana State Sycamores,-0.3088
Florida Gulf Coast Eagles,-0.3167
