team,dratings_rating
Kansas Jayhawks,3.3825
Gonzaga Bulldogs,3.0793
Baylor Bears,2.907
Dayton Flyers,2.8838
San Diego State Aztecs,2.7359
Michigan State Spartans,2.6209
Duke Blue Devils,2.5955
Florida State Seminoles,2.4557
Creighton Bluejays,2.3935
Houston Cougars,2.3869
Maryland Terrapins,2.3712
Louisville Cardinals,2.3522
Ohio State Buckeyes,2.3207
West Virginia Mountaineers,2.3122
Villanova Wildcats,2.2718
Oregon Ducks,2.2639
Brigham Young Cougars,2.2614
Seton Hall Pirates,2.1904
Michigan Wolverines,2.1794
Texas Tech Red Raiders,2.1735
Arizona Wildcats,2.1658
Kentucky Wildcats,2.1296
Wisconsin Badgers,2.0875
Purdue Boilermakers,2.0039
Rutgers Scarlet Knights,2.0022
Florida Gators,1.9963
Penn State Nittany Lions,1.9825
Illinois Fighting Illini,1.9788
Butler Bulldogs,1.964
Marquette Golden Eagles,1.9602
Iowa Hawkeyes,1.92
Minnesota Golden Gophers,1.8682
Auburn Tigers,1.839
Oklahoma Sooners,1.8258
LSU Tigers,1.8227
Providence Friars,1.811
Saint Mary's College Gaels,1.7976
Wichita State Shockers,1.7903
Indiana Hoosiers,1.7634
Cincinnati Bearcats,1.7166
Colorado Buffaloes,1.699
Virginia Cavaliers,1.6905
Xavier Musketeers,1.6527
Utah State Aggies,1.6269
NC State Wolfpack,1.6014
Arkansas Razorbacks,1.5584
Stanford Cardinal,1.5364
Oklahoma State Cowboys,1.5225
Mississippi State Bulldogs,1.5066
Syracuse Orange,1.476
Richmond Spiders,1.4377
Washington Huskies,1.4332
USC Trojans,1.424
Notre Dame Fighting Irish,1.4078
Arizona State Sun Devils,1.3973
ETSU Buccaneers,1.3964
Connecticut Huskies,1.3957
Alabama Crimson Tide,1.3525
Saint Louis Billikens,1.3238
Tennessee Volunteers,1.3218
Northern Iowa Panthers,1.3213
St. John's Red Storm,1.319
Texas Longhorns,1.3157
South Carolina Gamecocks,1.3133
Rhode Island Rams,1.2822
Memphis Tigers,1.2504
UCLA Bruins,1.2444
Georgia Tech Yellow Jackets,1.2272
Yale Bulldogs,1.1996
Georgetown Hoyas,1.1896
Clemson Tigers,1.1816
Tulsa Golden Hurricane,1.1611
Nevada Wolf Pack,1.147
UNC Tar Heels,1.1372
TCU Horned Frogs,1.1201
Oregon State Beavers,1.1
VCU Rams,1.093
Vermont Catamounts,1.0829
Boise State Broncos,1.0778
San Francisco Dons,1.0734
Stephen F. Austin Lumberjacks,1.0482
SMU Mustangs,1.0292
Iowa State Cyclones,1.0186
Davidson Wildcats,1.0143
Kansas State Wildcats,0.9972
North Texas Mean Green,0.987
Georgia Bulldogs,0.9607
UNLV Rebels,0.9574
Louisiana Tech Bulldogs,0.953
Missouri Tigers,0.9471
Akron Zips,0.9471
Furman Paladins,0.9329
Ole Miss Rebels,0.9197
DePaul Blue Demons,0.9156
Colorado State Rams,0.9022
UNC Greensboro Spartans,0.9001
New Mexico State Aggies,0.8902
Liberty Flames,0.8737
Texas State Bobcats,0.8284
Harvard Crimson,0.7764
Miami Hurricanes,0.774
Duquesne Dukes,0.7677
Northern Colorado Bears,0.7648
Wake Forest Demon Deacons,0.7542
Utah Utes,0.7327
Loyola Chicago Ramblers,0.7275
Texas A&M Aggies,0.7221
Pitt Panthers,0.6965
Virginia Tech Hokies,0.6963
North Dakota State Bison,0.6768
Belmont Bruins,0.6744
Bradley University Braves,0.6727
UC Irvine Anteaters,0.6619
Western Kentucky Hilltoppers,0.6544
Pacific Tigers,0.6369
Washington State Cougars,0.6228
Temple Owls,0.6061
UCF Knights,0.5995
Missouri State Bears,0.5981
Colgate Raiders,0.5861
Hofstra Pride,0.5418
Ball State Cardinals,0.5401
South Dakota State Jackrabbits,0.5214
St. Bonaventure Bonnies,0.515
South Florida Bulls,0.509
Indiana State Sycamores,0.4814
Northwestern Wildcats,0.459
Eastern Washington Eagles,0.4585
Kent State Golden Flashes,0.4367
Wright State Raiders,0.415
Murray State Racers,0.3969
Montana Grizzlies,0.3906
Georgia Southern Eagles,0.3906
Georgia State Panthers,0.3875
Little Rock Trojans,0.3872
Pepperdine Waves,0.3471
New Mexico Lobos,0.3287
California Golden Bears,0.3176
Buffalo Bulls,0.3061
Valparaiso Beacons,0.2951
Winthrop Eagles,0.275
Marshall Thundering Herd,0.2514
Chattanooga Mocs,0.2443
UT Arlington Mavericks,0.2364
Siena Saints,0.2349
Oral Roberts Golden Eagles,0.2262
Penn Quakers,0.2183
Drake Bulldogs,0.2113
Northeastern Huskies,0.1845
Princeton Tigers,0.1795
Western Carolina Catamounts,0.1707
Toledo Rockets,0.1637
Northern Kentucky Norse,0.1411
South Alabama Jaguars,0.1368
Bowling Green Falcons,0.1274
FIU Golden Panthers,0.1265
Wofford Terriers,0.1249
Santa Clara Broncos,0.1217
Boston University Terriers,0.1147
Ohio Bobcats,0.1066
Vanderbilt Commodores,0.0969
Fresno State Bulldogs,0.0834
Towson Tigers,0.0487
UC Santa Barbara Gauchos,0.0352
Northern Illinois Huskies,0.0317
Abilene Christian Wildcats,0.0255
Charlotte 49ers,0.0196
Boston College Eagles,0.0077
George Mason Patriots,0.0051
Old Dominion Monarchs,-0.0077
South Dakota Coyotes,-0.0156
St. Francis Red Flash,-0.0195
Charleston Cougars,-0.0303
UMass Minutemen,-0.0375
Delaware Fightin' Blue Hens,-0.0398
Southern Illinois Salukis,-0.0463
North Florida Ospreys,-0.0506
Nebraska Cornhuskers,-0.0609
Austin Peay Governors,-0.0747
Appalachian State Mountaineers,-0.0914
Southern Utah Thunderbirds,-0.1025
UAB Blazers,-0.1086
Florida Atlantic,-0.1131
Radford Highlanders,-0.1169
La Salle Explorers,-0.1207
Portland State Vikings,-0.123
Coastal Carolina Chanticleers,-0.1235
Tulane Green Wave,-0.1488
Air Force Falcons,-0.1634
Rider Broncs,-0.186
Mercer Bears,-0.1972
William & Mary Tribe,-0.1992
UTEP Miners,-0.2072
Stony Brook Seawolves,-0.2183
Eastern Michigan Eagles,-0.2653
Monmouth Hawks,-0.2756
Saint Peter's Peacocks,-0.2929
Loyola Marymount Lions,-0.2936
Sacramento State Hornets,-0.2957
Nicholls State Colonels,-0.2965
Hawaii Rainbow Warriors,-0.2972
Sacred Heart Pioneers,-0.3027
UIC Flames,-0.3261
California Baptist Lancers,-0.3336
American University Eagles,-0.3511
Robert Morris Colonials,-0.3527
Rice Owls,-0.3589
East Carolina Pirates,-0.3861
Brown Bears,-0.3892
UTSA Roadrunners,-0.4039
Dartmouth Big Green,-0.4391
Miami RedHawks,-0.4489
Arkansas State Red Wolves,-0.4547
Seattle Redhawks,-0.4633
Central Michigan Chippewas,-0.4808
Merrimack Warriors,-0.4812
Prairie View A&M Panthers,-0.4992
Wisconsin Green Bay Phoenix,-0.5012
Northern Arizona Lumberjacks,-0.5335
Iona Gaels,-0.5537
Cal State Northridge Matadors,-0.5551
UC Riverside Highlanders,-0.5573
Louisiana Lafayette,-0.5581
Omaha Mavericks,-0.5598
UC Davis Aggies,-0.5608
Lafayette Leopards,-0.5733
Illinois State Redbirds,-0.5758
Sam Houston State Bearkats,-0.5788
Youngstown State Penguins,-0.5844
George Washington Colonials,-0.5904
North Dakota Fighting Hawks,-0.6113
UMKC Kangarros,-0.6299
Gardner Webb Runnin' Bulldogs,-0.6384
Wyoming Cowboys,-0.6403
San Diego Toreros,-0.6642
Lamar Cardinals,-0.6755
Montana State Bobcats,-0.6817
New Hampshire Wildcats,-0.6897
Western Michigan Broncos,-0.7098
Bucknell Bison,-0.715
Oakland Golden Grizzlies,-0.7175
Fordham Rams,-0.7331
Drexel Dragons,-0.7496
Lipscomb Bisons,-0.7673
Bryant Bulldogs,-0.7778
Jacksonville Dolphins,-0.7969
Navy Midshipmen,-0.814
Army Black Knights,-0.8202
UMBC Retrievers,-0.821
Eastern Illinois Panthers,-0.8268
Quinnipiac Bobcats,-0.8347
UTRGV Vaqueros,-0.8439
Norfolk State Spartans,-0.844
North Carolina Central Eagles,-0.8481
Canisius Golden Griffins,-0.8798
Grand Canyon Antelopes,-0.8862
Loyola Maryland Greyhounds,-0.9062
Louisiana Monroe Warhawks,-0.9066
Southern University Jaguars,-0.9329
Utah Valley Wolverines,-0.9342
IPFW Mastodons,-0.9424
Northwestern State Demons,-0.9466
Weber State Wildcats,-0.9482
Elon Phoenix,-0.9503
Cal State Fullerton Titans,-0.9602
Manhattan Jaspers,-0.9662
Wisconsin Milwaukee Panthers,-0.9688
North Carolina A&T Aggies,-0.981
UMass Lowell River Hawks,-0.985
LIU Sharks,-1.0091
CSU Bakersfield Roadrunners,-1.0109
Cornell Big Red,-1.0174
VMI Keydets,-1.0176
Albany Great Danes,-1.0185
Saint Joseph's Hawks,-1.0227
Southern Miss Golden Eagles,-1.0251
Campbell Fighting Camels,-1.0313
Eastern Kentucky Colonels,-1.0451
Jackson State Tigers,-1.0509
Tennessee State Tigers,-1.0613
Stetson Hatters,-1.0628
Central Arkansas Bears,-1.0922
Jacksonville State Gamecocks,-1.0997
Fairleigh Dickinson Knights,-1.1026
North Alabama Lions,-1.1243
Evansville Purple Aces,-1.1302
San Jose State Spartans,-1.1414
Bethune Cookman Wildcats,-1.164
McNeese State Cowboys,-1.1837
Troy Trojans,-1.1854
MTSU Blue Raiders,-1.1961
Portland Pilots,-1.2325
Texas Southern Tigers,-1.238
Long Beach State 49ers,-1.2521
Hampton Pirates,-1.2643
NJIT Highlanders,-1.2693
Lehigh Mountain Hawks,-1.2771
Fairfield Stags,-1.2792
UNC Asheville Bulldogs,-1.2833
Detroit Titans,-1.2859
Mount St. Mary's Mountaineers,-1.2888
Idaho State Bengals,-1.2995
Florida Gulf Coast Eagles,-1.3264
Maine Black Bears,-1.3362
Florida A&M Rattlers,-1.3375
Niagara Purple Eagles,-1.3405
Columbia Lions,-1.345
James Madison Dukes,-1.3463
UNC Wilmington Seahawks,-1.3567
Cleveland State Vikings,-1.3798
Texas A&M CC Islanders,-1.3911
Charleston Southern Buccaneers,-1.4037
Idaho Vandals,-1.4832
Denver Pioneers,-1.4944
Morgan State Bears,-1.4959
Marist Red Foxes,-1.5039
Grambling State Tigers,-1.5148
Cal Poly Mustangs,-1.517
USC Upstate Spartans,-1.5462
Morehead State Eagles,-1.5566
Longwood Lancers,-1.5567
IUPUI Jaguars,-1.6796
Alcorn State Braves,-1.7004
Coppin State Eagles,-1.7456
Samford Bulldogs,-1.7708
Wagner Seahawks,-1.8663
Presbyterian Blue Hose,-1.885
Binghamton Bearcats,-1.8867
New Orleans Privateers,-1.8868
SIU Edwardsville Cougars,-1.9024
Western Illinois Leathernecks,-1.9139
Tennessee Tech Golden Eagles,-1.9145
South Carolina State Bulldogs,-1.9168
Alabama State Hornets,-1.9211
High Point Panthers,-2.002
Tennessee-Martin Skyhawks,-2.0215
SE Missouri State Redhawks,-2.2008
The Citadel Bulldogs,-2.205
Southeastern Louisiana Lions,-2.2679
Holy Cross Crusaders,-2.2874
Alabama A&M Bulldogs,-2.362
Houston Christian Huskies,-2.4454
Incarnate Word Cardinals,-2.5248
Central Connecticut Blue Devils,-2.5945
Delaware State Hornets,-2.6467
MD E Shore Fighting Hawks,-2.9084
Kennesaw State Owls,-2.9732
Ark Pine Bluff Golden Lions,-3.022
Howard Bison,-3.0249
MS Valley State Delta Devils,-3.2749
Chicago State Cougars,-3.4547
