team,dratings_rating
Gonzaga Bulldogs,2.7225
Kansas Jayhawks,2.6952
Arizona Wildcats,2.544
Baylor Bears,2.415
Villanova Wildcats,2.41
Duke Blue Devils,2.3368
Houston Cougars,2.2965
Kentucky Wildcats,2.2601
Tennessee Volunteers,2.2568
Texas Tech Red Raiders,2.2221
Auburn Tigers,2.2047
Purdue Boilermakers,2.1849
UCLA Bruins,2.1537
UNC Tar Heels,1.9642
Texas Longhorns,1.9525
Arkansas Razorbacks,1.945
Connecticut Huskies,1.9312
Providence Friars,1.912
Iowa Hawkeyes,1.899
Illinois Fighting Illini,1.897
Wisconsin Badgers,1.8018
Saint Mary's College Gaels,1.7535
USC Trojans,1.6818
Alabama Crimson Tide,1.6766
Virginia Tech Hokies,1.6592
Michigan Wolverines,1.651
Seton Hall Pirates,1.6453
LSU Tigers,1.6409
Memphis Tigers,1.6383
Miami Hurricanes,1.6122
Creighton Bluejays,1.6107
TCU Horned Frogs,1.6009
San Diego State Aztecs,1.5945
Ohio State Buckeyes,1.5936
Michigan State Spartans,1.5934
Xavier Musketeers,1.5908
Colorado State Rams,1.5482
Notre Dame Fighting Irish,1.5447
Texas A&M Aggies,1.5401
Iowa State Cyclones,1.5291
Oklahoma Sooners,1.5285
Boise State Broncos,1.4911
Wake Forest Demon Deacons,1.4892
Marquette Golden Eagles,1.4818
Oklahoma State Cowboys,1.4322
Murray State Racers,1.4253
San Francisco Dons,1.4103
Indiana Hoosiers,1.4068
Virginia Cavaliers,1.3516
Florida Gators,1.3333
Davidson Wildcats,1.3286
St. John's Red Storm,1.326
Washington State Cougars,1.2977
SMU Mustangs,1.2927
Loyola Chicago Ramblers,1.2869
St. Bonaventure Bonnies,1.2746
West Virginia Mountaineers,1.2505
Mississippi State Bulldogs,1.2379
Colorado Buffaloes,1.2371
Brigham Young Cougars,1.23
Oregon Ducks,1.2275
VCU Rams,1.2095
Rutgers Scarlet Knights,1.2077
UAB Blazers,1.1681
North Texas Mean Green,1.157
Wyoming Cowboys,1.1424
Kansas State Wildcats,1.1329
Syracuse Orange,1.1195
Vanderbilt Commodores,1.119
Dayton Flyers,1.0851
South Dakota State Jackrabbits,1.0691
Clemson Tigers,1.0675
Florida State Seminoles,1.0658
Richmond Spiders,1.0607
Saint Louis Billikens,1.0517
Maryland Terrapins,1.0452
New Mexico State Aggies,0.9852
Santa Clara Broncos,0.9766
South Carolina Gamecocks,0.9477
Northwestern Wildcats,0.9341
Utah State Aggies,0.9217
Arizona State Sun Devils,0.9163
Penn State Nittany Lions,0.8944
DePaul Blue Demons,0.8718
Stanford Cardinal,0.8671
UCF Knights,0.8528
Vermont Catamounts,0.8471
Fresno State Bulldogs,0.844
Butler Bulldogs,0.8422
Iona Gaels,0.8356
Wichita State Shockers,0.8284
Belmont Bruins,0.8072
Drake Bulldogs,0.803
Chattanooga Mocs,0.8009
Missouri State Bears,0.7759
UNLV Rebels,0.775
Washington Huskies,0.763
Northern Iowa Panthers,0.7561
Louisiana Tech Bulldogs,0.7432
Cincinnati Bearcats,0.7289
Towson Tigers,0.719
Louisville Cardinals,0.6678
Ole Miss Rebels,0.6607
Toledo Rockets,0.6545
Furman Paladins,0.6256
Grand Canyon Antelopes,0.6229
Tulane Green Wave,0.6133
Temple Owls,0.5974
Minnesota Golden Gophers,0.5715
MTSU Blue Raiders,0.5132
Saint Peter's Peacocks,0.5132
NC State Wolfpack,0.4903
Montana State Bobcats,0.4895
Nevada Wolf Pack,0.4756
Hofstra Pride,0.471
Princeton Tigers,0.4645
Utah Utes,0.46
Boston College Eagles,0.4512
Missouri Tigers,0.4498
Western Kentucky Hilltoppers,0.4491
Nebraska Cornhuskers,0.4196
Abilene Christian Wildcats,0.4182
Delaware Fightin' Blue Hens,0.4042
Stephen F. Austin Lumberjacks,0.3897
Georgia Tech Yellow Jackets,0.3819
California Golden Bears,0.3795
Ohio Bobcats,0.3604
George Mason Patriots,0.3544
UNC Wilmington Seahawks,0.3469
Liberty Flames,0.3309
Pitt Panthers,0.3292
Bradley University Braves,0.3225
Akron Zips,0.321
Texas State Bobcats,0.3174
Wofford Terriers,0.3122
Buffalo Bulls,0.3075
Kent State Golden Flashes,0.3031
Seattle Redhawks,0.2789
Rhode Island Rams,0.2714
Yale Bulldogs,0.2694
Winthrop Eagles,0.2579
Colgate Raiders,0.2519
Georgia State Panthers,0.2403
Longwood Lancers,0.2372
UC Irvine Anteaters,0.2113
Utah Valley Wolverines,0.1999
Southern Utah Thunderbirds,0.1906
East Carolina Pirates,0.1886
UTEP Miners,0.1803
Monmouth Hawks,0.1736
Cal State Fullerton Titans,0.158
Morehead State Eagles,0.1469
Long Beach State 49ers,0.1464
UC Santa Barbara Gauchos,0.1385
Weber State Wildcats,0.1333
North Dakota State Bison,0.1314
Charleston Cougars,0.1285
Florida Atlantic,0.1266
Southern Illinois Salukis,0.1109
Tulsa Golden Hurricane,0.0974
Jacksonville State Gamecocks,0.0828
UMass Minutemen,0.0745
New Mexico Lobos,0.0643
Sam Houston State Bearkats,0.0619
South Alabama Jaguars,0.039
Drexel Dragons,0.0281
Charlotte 49ers,0.0225
Coastal Carolina Chanticleers,0.0136
Wagner Seahawks,0.0014
Wright State Raiders,-0.0057
Samford Bulldogs,-0.0088
Appalachian State Mountaineers,-0.0149
Georgetown Hoyas,-0.0323
Loyola Marymount Lions,-0.033
Fordham Rams,-0.0483
Hawaii Rainbow Warriors,-0.0561
Saint Joseph's Hawks,-0.0626
Oakland Golden Grizzlies,-0.0662
Oral Roberts Golden Eagles,-0.0667
Northern Colorado Bears,-0.0707
UC Riverside Highlanders,-0.0728
Portland Pilots,-0.0783
UNC Greensboro Spartans,-0.0939
Arkansas State Red Wolves,-0.1032
Bryant Bulldogs,-0.1105
Bellarmine Knights,-0.1268
Old Dominion Monarchs,-0.1394
Cleveland State Vikings,-0.1409
Navy Midshipmen,-0.1453
James Madison Dukes,-0.1483
Louisiana Lafayette,-0.1558
Troy Trojans,-0.1562
Jacksonville Dolphins,-0.1641
San Diego Toreros,-0.1653
ETSU Buccaneers,-0.1807
Mercer Bears,-0.1838
VMI Keydets,-0.1935
Florida Gulf Coast Eagles,-0.1968
Gardner Webb Runnin' Bulldogs,-0.206
Georgia Bulldogs,-0.2293
Norfolk State Spartans,-0.2357
Rice Owls,-0.2404
Northern Kentucky Norse,-0.2569
Niagara Purple Eagles,-0.259
George Washington Colonials,-0.2993
Penn Quakers,-0.3025
La Salle Explorers,-0.304
South Dakota Coyotes,-0.3053
UC Davis Aggies,-0.3092
Siena Saints,-0.3155
Montana Grizzlies,-0.3272
Valparaiso Beacons,-0.3277
Boston University Terriers,-0.3298
South Florida Bulls,-0.3532
Marist Red Foxes,-0.3549
Eastern Washington Eagles,-0.3651
Cornell Big Red,-0.3658
Fairfield Stags,-0.3672
Marshall Thundering Herd,-0.3744
Texas Southern Tigers,-0.402
UMKC Kangarros,-0.4086
Illinois State Redbirds,-0.4095
IPFW Mastodons,-0.4106
Tarleton State Texans,-0.4171
Rider Broncs,-0.4345
Elon Phoenix,-0.4348
Oregon State Beavers,-0.4367
Stony Brook Seawolves,-0.4463
Brown Bears,-0.4472
California Baptist Lancers,-0.4565
Quinnipiac Bobcats,-0.4876
Air Force Falcons,-0.4884
Campbell Fighting Camels,-0.4944
Harvard Crimson,-0.5026
Manhattan Jaspers,-0.5041
UT Arlington Mavericks,-0.5054
