team,dratings_rating
Connecticut Huskies,3.5675
Purdue Boilermakers,3.1937
Houston Cougars,2.9785
Auburn Tigers,2.7925
Arizona Wildcats,2.7902
Tennessee Volunteers,2.779
UNC Tar Heels,2.7588
Iowa State Cyclones,2.671
Duke Blue Devils,2.6393
Illinois Fighting Illini,2.5668
Creighton Bluejays,2.5342
Marquette Golden Eagles,2.4587
Alabama Crimson Tide,2.4446
Gonzaga Bulldogs,2.4075
Kentucky Wildcats,2.2417
Michigan State Spartans,2.1998
Baylor Bears,2.195
Florida Gators,2.1367
San Diego State Aztecs,2.0948
Wisconsin Badgers,2.0871
Kansas Jayhawks,2.0603
Colorado Buffaloes,2.0386
Brigham Young Cougars,2.0162
St. John's Red Storm,2.0125
Clemson Tigers,1.974
Wake Forest Demon Deacons,1.9589
Saint Mary's College Gaels,1.9565
New Mexico Lobos,1.9463
Texas Longhorns,1.9226
Texas A&M Aggies,1.8964
Mississippi State Bulldogs,1.8948
Florida Atlantic,1.8893
Colorado State Rams,1.8869
Texas Tech Red Raiders,1.8818
Northwestern Wildcats,1.8618
Nebraska Cornhuskers,1.8295
Villanova Wildcats,1.8125
Dayton Flyers,1.7867
NC State Wolfpack,1.7817
Cincinnati Bearcats,1.7809
Washington State Cougars,1.7668
Ohio State Buckeyes,1.7629
TCU Horned Frogs,1.7541
Utah Utes,1.7453
Oregon Ducks,1.743
Oklahoma Sooners,1.7327
Indiana State Sycamores,1.7306
Utah State Aggies,1.717
Seton Hall Pirates,1.7104
Pitt Panthers,1.6914
South Carolina Gamecocks,1.6826
Grand Canyon Antelopes,1.6707
Nevada Wolf Pack,1.621
Iowa Hawkeyes,1.5852
Xavier Musketeers,1.5781
Boise State Broncos,1.5699
Virginia Tech Hokies,1.5422
Providence Friars,1.524
Ole Miss Rebels,1.4765
Maryland Terrapins,1.4614
Washington Huskies,1.4542
Virginia Cavaliers,1.4324
Kansas State Wildcats,1.4152
James Madison Dukes,1.4024
Butler Bulldogs,1.3962
Drake Bulldogs,1.3867
Memphis Tigers,1.3525
Syracuse Orange,1.3281
San Francisco Dons,1.2828
Indiana Hoosiers,1.2693
Boston College Eagles,1.2489
Florida State Seminoles,1.2138
Rutgers Scarlet Knights,1.2098
Bradley University Braves,1.2087
USC Trojans,1.1888
Georgia Bulldogs,1.1842
UCF Knights,1.1807
SMU Mustangs,1.1779
Minnesota Golden Gophers,1.1647
LSU Tigers,1.135
