team,dratings_rating
Gonzaga Bulldogs,3.3952
Baylor Bears,3.1399
Michigan Wolverines,2.3701
Illinois Fighting Illini,2.3351
Houston Cougars,2.2867
USC Trojans,2.2539
Alabama Crimson Tide,2.1619
Iowa Hawkeyes,2.125
Oregon Ducks,2.07
Kansas Jayhawks,2.0385
Arkansas Razorbacks,2.0379
Colorado Buffaloes,2.0362
Texas Longhorns,1.9957
UCLA Bruins,1.9588
Villanova Wildcats,1.9525
Oklahoma State Cowboys,1.9416
West Virginia Mountaineers,1.9267
Ohio State Buckeyes,1.9107
Texas Tech Red Raiders,1.8984
Florida State Seminoles,1.859
Creighton Bluejays,1.8344
Tennessee Volunteers,1.8095
Arizona Wildcats,1.8072
Brigham Young Cougars,1.8071
Wisconsin Badgers,1.8056
Virginia Cavaliers,1.7888
San Diego State Aztecs,1.75
Loyola Chicago Ramblers,1.7375
LSU Tigers,1.6908
Oklahoma Sooners,1.6805
Purdue Boilermakers,1.6755
UNC Tar Heels,1.6335
Memphis Tigers,1.6322
Connecticut Huskies,1.5961
Rutgers Scarlet Knights,1.5568
Missouri Tigers,1.5325
Clemson Tigers,1.499
Maryland Terrapins,1.4565
Georgia Tech Yellow Jackets,1.4552
Florida Gators,1.4448
Syracuse Orange,1.4375
Oregon State Beavers,1.4362
Wichita State Shockers,1.4294
Michigan State Spartans,1.4048
Duke Blue Devils,1.3939
St. Bonaventure Bonnies,1.3694
Louisville Cardinals,1.3677
Utah Utes,1.3504
Stanford Cardinal,1.3484
Indiana Hoosiers,1.3334
Virginia Tech Hokies,1.3322
Ole Miss Rebels,1.2918
Seton Hall Pirates,1.2878
VCU Rams,1.2787
SMU Mustangs,1.275
Penn State Nittany Lions,1.2738
Xavier Musketeers,1.2607
Utah State Aggies,1.2301
Minnesota Golden Gophers,1.2063
Kentucky Wildcats,1.1813
Georgetown Hoyas,1.1793
Drake Bulldogs,1.1667
St. John's Red Storm,1.1612
Saint Louis Billikens,1.1378
Saint Mary's College Gaels,1.1354
Auburn Tigers,1.1322
Boise State Broncos,1.1304
Western Kentucky Hilltoppers,1.127
Marquette Golden Eagles,1.1148
Mississippi State Bulldogs,1.1081
Arizona State Sun Devils,1.1033
Colgate Raiders,1.1032
Providence Friars,1.0875
UC Santa Barbara Gauchos,1.0386
Colorado State Rams,1.0291
Louisiana Tech Bulldogs,1.0149
North Texas Mean Green,1.005
Washington State Cougars,0.992
NC State Wolfpack,0.9816
Cincinnati Bearcats,0.9567
Richmond Spiders,0.9055
Georgia Bulldogs,0.9054
Northwestern Wildcats,0.8925
Davidson Wildcats,0.877
UCF Knights,0.8507
Marshall Thundering Herd,0.8366
Butler Bulldogs,0.8218
Notre Dame Fighting Irish,0.8157
Loyola Marymount Lions,0.7954
Pepperdine Waves,0.7918
Dayton Flyers,0.788
TCU Horned Frogs,0.7718
Winthrop Eagles,0.7519
UAB Blazers,0.7392
Abilene Christian Wildcats,0.6841
Nevada Wolf Pack,0.6836
Pitt Panthers,0.6672
Tulsa Golden Hurricane,0.6332
Ohio Bobcats,0.6305
South Carolina Gamecocks,0.6293
UC Irvine Anteaters,0.6043
Liberty Flames,0.6041
San Francisco Dons,0.5939
Missouri State Bears,0.5845
Pacific Tigers,0.5822
UNC Greensboro Spartans,0.5742
Belmont Bruins,0.5721
California Golden Bears,0.5568
Toledo Rockets,0.5513
