team,dratings_rating
Michigan Wolverines,4.6109
Duke Blue Devils,4.2379
Arizona Wildcats,4.1206
Houston Cougars,3.7893
Florida Gators,3.6939
Illinois Fighting Illini,3.658
Purdue Boilermakers,3.6342
Iowa State Cyclones,3.6166
Connecticut Huskies,3.5921
Gonzaga Bulldogs,3.3922
Nebraska Cornhuskers,3.3375
Michigan State Spartans,3.2379
Tennessee Volunteers,3.1585
Alabama Crimson Tide,3.1347
Louisville Cardinals,3.1321
Vanderbilt Commodores,3.1134
Brigham Young Cougars,3.1124
Kansas Jayhawks,3.1113
Texas Tech Red Raiders,3.1036
Virginia Cavaliers,3.0176
Arkansas Razorbacks,2.9696
St. John's Red Storm,2.9692
Villanova Wildcats,2.6749
Iowa Hawkeyes,2.6454
Kentucky Wildcats,2.6136
Auburn Tigers,2.6024
Wisconsin Badgers,2.597
NC State Wolfpack,2.5931
Texas Longhorns,2.5879
Utah State Aggies,2.5356
Saint Louis Billikens,2.5112
UNC Tar Heels,2.5014
Ohio State Buckeyes,2.4434
Clemson Tigers,2.3821
SMU Mustangs,2.3693
Miami Hurricanes,2.3599
Indiana Hoosiers,2.3578
Georgia Bulldogs,2.3211
Texas A&M Aggies,2.2976
UCLA Bruins,2.2324
Saint Mary's College Gaels,2.2293
VCU Rams,2.0932
Miami RedHawks,2.0909
Missouri Tigers,2.0648
UCF Knights,2.055
New Mexico Lobos,2.0163
Cincinnati Bearcats,2.0133
USC Trojans,2.0107
San Diego State Aztecs,2.0045
Santa Clara Broncos,1.9775
