season,team,super_bowl_win_prob
2026,LA,0.1056
2026,SEA,0.0984
2026,BUF,0.09782
2026,BAL,0.0767
2026,PHI,0.07122
2026,NE,0.06394
2026,DET,0.05215
2026,HOU,0.05165
2026,DEN,0.04923
2026,KC,0.04762
2026,GB,0.03695
2026,LAC,0.0367
2026,JAX,0.0327
2026,SF,0.03202
2026,CHI,0.02108
2026,TB,0.01982
2026,IND,0.0166
2026,DAL,0.01625
2026,CIN,0.01473
2026,NO,0.01198
2026,MIN,0.0095
2026,PIT,0.00827
2026,ATL,0.00763
2026,NYG,0.00741
2026,CAR,0.00469
2026,WAS,0.00378
2026,CLE,0.00243
2026,MIA,0.00086
2026,TEN,0.00079
2026,LV,0.00079
2026,NYJ,0.00041
2026,ARI,0.00028
