season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,LA,NFC,NFC West,11.192,9,14,0.8443,0.4409,0.1128
2026,BAL,AFC,AFC North,11.126,9,14,0.8734,0.7262,0.0747
2026,SEA,NFC,NFC West,11.122,9,14,0.8342,0.4219,0.10122
2026,BUF,AFC,AFC East,11.048,9,13,0.8614,0.5897,0.10138
2026,PHI,NFC,NFC East,10.655,8,13,0.7948,0.6621,0.0754
2026,DET,NFC,NFC North,10.393,8,13,0.7265,0.4527,0.05182
2026,NE,AFC,AFC East,10.328,8,13,0.7636,0.3942,0.06512
2026,KC,AFC,AFC West,9.891,7,12,0.6833,0.3849,0.04986
2026,DEN,AFC,AFC West,9.752,7,12,0.6556,0.3526,0.04984
2026,HOU,AFC,AFC South,9.705,7,12,0.6646,0.4461,0.04978
2026,GB,NFC,NFC North,9.691,7,12,0.5966,0.298,0.03688
2026,SF,NFC,NFC West,9.413,7,12,0.5354,0.136,0.03162
2026,LAC,AFC,AFC West,9.243,7,12,0.5579,0.2521,0.035
2026,JAX,AFC,AFC South,9.234,7,12,0.5672,0.3355,0.03144
2026,CHI,NFC,NFC North,8.864,6,11,0.4273,0.175,0.01994
2026,TB,NFC,NFC South,8.502,6,11,0.4529,0.374,0.018
2026,CIN,AFC,AFC North,8.497,6,11,0.4105,0.1553,0.01294
2026,DAL,NFC,NFC East,8.434,6,11,0.3609,0.1777,0.0144
2026,IND,AFC,AFC South,8.428,6,11,0.4045,0.2005,0.01622
2026,NO,NFC,NFC South,8.075,6,11,0.3655,0.288,0.00998
2026,MIN,NFC,NFC North,7.752,5,10,0.2324,0.0743,0.0084
2026,NYG,NFC,NFC East,7.713,5,10,0.2309,0.1043,0.00644
2026,PIT,AFC,AFC North,7.649,5,10,0.26,0.0847,0.0086
2026,ATL,NFC,NFC South,7.407,5,10,0.2506,0.19,0.00676
2026,CAR,NFC,NFC South,7.044,5,10,0.1976,0.148,0.00418
2026,WAS,NFC,NFC East,6.925,4,9,0.1342,0.056,0.00296
2026,CLE,AFC,AFC North,6.607,4,9,0.1199,0.0338,0.0021
2026,MIA,AFC,AFC East,5.702,3,8,0.0483,0.0084,0.00054
2026,TEN,AFC,AFC South,5.569,3,8,0.0478,0.018,0.00044
2026,LV,AFC,AFC West,5.529,3,8,0.0429,0.0104,0.00068
2026,NYJ,AFC,AFC East,5.501,3,8,0.0392,0.0076,0.00032
2026,ARI,NFC,NFC West,5.008,3,7,0.0158,0.0011,0.00024
