season,team,super_bowl_win_prob
2026,LA,0.1128
2026,BUF,0.10138
2026,SEA,0.10122
2026,PHI,0.0754
2026,BAL,0.0747
2026,NE,0.06512
2026,DET,0.05182
2026,KC,0.04986
2026,DEN,0.04984
2026,HOU,0.04978
2026,GB,0.03688
2026,LAC,0.035
2026,SF,0.03162
2026,JAX,0.03144
2026,CHI,0.01994
2026,TB,0.018
2026,IND,0.01622
2026,DAL,0.0144
2026,CIN,0.01294
2026,NO,0.00998
2026,PIT,0.0086
2026,MIN,0.0084
2026,ATL,0.00676
2026,NYG,0.00644
2026,CAR,0.00418
2026,WAS,0.00296
2026,CLE,0.0021
2026,LV,0.00068
2026,MIA,0.00054
2026,TEN,0.00044
2026,NYJ,0.00032
2026,ARI,0.00024
