season,player_key,player_name,team,position,games_projected,pass_yards_total,rush_yards_total,receiving_yards_total,receptions_total,pass_tds_total,rush_tds_total,rec_tds_total,anytime_td_prob,ints_total,is_rookie,draft_round,snap_share,target_share,carry_share
2026,CIN-QB1-JoeBurrow,Joe Burrow,CIN,QB,17,4857.316,33.41314313593845,0.0,0.0,39.35056645923089,0.5402300000000001,0.0,0.716,12.514,False,1,0.55,0.0,0.025
2026,DAL-QB1-DakPrescott,Dak Prescott,DAL,QB,17,4645.037,40.49372231481092,0.0,0.0,39.40137843952229,0.6547100000000001,0.0,0.6681,11.282,False,4,0.55,0.0,0.025
2026,ARI-QB1-JacobyBrissett,Jacoby Brissett,ARI,QB,17,4611.726,32.02883654566218,0.0,0.0,39.32111098913163,0.5023099999999999,0.0,0.5356,12.655,False,3,0.55,0.0,0.025
2026,LA-QB1-MatthewStafford,Matthew Stafford,LAR,QB,17,4451.625,40.0690939525208,0.0,0.0,39.033034050482804,0.6478450000000001,0.0,0.7637,10.427,False,1,0.55,0.0,0.025
2026,KC-QB1-PatrickMahomes,Patrick Mahomes,KC,QB,17,4394.499,34.01780313384643,0.0,0.0,39.11878239770597,0.55001,0.0,0.6841,10.919,False,1,0.55,0.0,0.025
2026,DET-QB1-JaredGoff,Jared Goff,DET,QB,17,4218.205,38.55261033357727,0.0,0.0,34.27647514502013,0.6233200000000001,0.0,0.7011,9.685,False,1,0.55,0.0,0.025
2026,DEN-QB1-BoNix,Bo Nix,DEN,QB,17,4017.697,259.6616136838639,0.0,0.0,32.38733290434909,6.397343999999999,0.0,0.8709,9.912,False,1,0.55,0.0,0.105
2026,IND-QB1-DanielJones,Daniel Jones,IND,QB,17,3965.704,43.759539015394004,0.0,0.0,32.74149347378924,0.7075149999999999,0.0,0.7729,9.004,False,1,0.55,0.0,0.025
2026,LAC-QB1-JustinHerbert,Justin Herbert,LAC,QB,17,4007.065,35.422394820754995,0.0,0.0,33.27917740596091,0.5727099999999999,0.0,0.6703,10.232,False,1,0.55,0.0,0.025
2026,SF-QB1-BrockPurdy,Brock Purdy,SF,QB,17,3881.634,66.16324222785202,0.0,0.0,32.432388776850594,1.0697299999999998,0.0,0.7991,8.992,False,7,0.55,0.0,0.025
2026,HOU-QB1-C.J.Stroud,C.J. Stroud,HOU,QB,17,3845.303,46.0767026695363,0.0,0.0,32.29485197902882,0.7449800000000001,0.0,0.7963,9.296,False,1,0.55,0.0,0.025
2026,JAX-QB1-TrevorLawrence,Trevor Lawrence,JAX,QB,17,3720.649,66.01962714978661,0.0,0.0,31.26820760986608,1.0674150000000002,0.0,0.9212,8.992,False,1,0.55,0.0,0.025
2026,TB-QB1-BakerMayfield,Baker Mayfield,TB,QB,17,3683.569,64.3889465107796,0.0,0.0,31.128457574704065,1.041045,0.0,0.9161,9.114,False,1,0.55,0.0,0.025
2026,NO-QB1-TylerShough,Tyler Shough,NO,QB,17,3848.413,35.269607727865704,0.0,0.0,32.23121092579737,0.5702449999999999,0.0,0.5668,9.832,False,2,0.55,0.0,0.025
