season,team,conference,division,expected_wins,wins_p10,wins_p90,playoff_prob,division_title_prob,super_bowl_win_prob
2026,NE,AFC,AFC East,6.988,5,14,0.7677,0.5792,0.112
2026,SEA,NFC,NFC West,6.751,4,13,0.7337,0.4196,0.1023
2026,PIT,AFC,AFC North,6.195,4,12,0.6384,0.4636,0.0598
2026,HOU,AFC,AFC South,6.184,4,12,0.6349,0.4387,0.0583
2026,SF,NFC,NFC West,6.108,4,12,0.6131,0.2778,0.0603
2026,CHI,NFC,NFC North,5.832,4,11,0.5935,0.4447,0.0456
2026,DEN,AFC,AFC West,5.974,4,12,0.5845,0.3958,0.0491
2026,LA,NFC,NFC West,5.903,4,12,0.5624,0.2209,0.0516
2026,PHI,NFC,NFC East,5.516,3,11,0.5012,0.3117,0.0344
2026,JAX,AFC,AFC South,5.592,3,11,0.4994,0.2687,0.0334
2026,BUF,AFC,AFC East,5.588,3,11,0.4895,0.2192,0.0348
2026,CLE,AFC,AFC North,5.484,3,11,0.4718,0.2756,0.0299
2026,LAC,AFC,AFC West,5.447,3,11,0.4641,0.2764,0.029
2026,NYG,NFC,NFC East,5.324,3,10,0.4548,0.262,0.0261
2026,CAR,NFC,NFC South,5.158,3,11,0.4373,0.3032,0.0245
2026,NO,NFC,NFC South,5.007,3,10,0.3975,0.2559,0.0181
2026,TB,NFC,NFC South,5.011,3,10,0.3972,0.254,0.0191
2026,MIN,NFC,NFC North,4.989,3,10,0.389,0.2441,0.019
2026,WAS,NFC,NFC East,5.021,3,10,0.3853,0.2285,0.0192
2026,LV,AFC,AFC West,5.118,3,10,0.3823,0.1965,0.0187
2026,DAL,NFC,NFC East,4.918,3,10,0.3554,0.1978,0.0165
2026,CIN,AFC,AFC North,4.963,3,10,0.3465,0.1753,0.0162
2026,IND,AFC,AFC South,4.846,3,10,0.3207,0.155,0.0151
2026,NYJ,AFC,AFC East,4.9,3,10,0.32,0.1084,0.015
2026,ARI,NFC,NFC West,4.787,3,10,0.3086,0.0817,0.016
2026,GB,NFC,NFC North,4.659,3,10,0.3075,0.1779,0.0133
2026,TEN,AFC,AFC South,4.772,3,10,0.3018,0.1376,0.0125
2026,ATL,NFC,NFC South,4.585,3,9,0.2952,0.1869,0.0104
2026,MIA,AFC,AFC East,4.716,3,10,0.2851,0.0932,0.0121
2026,KC,AFC,AFC West,4.692,3,9,0.2792,0.1313,0.0112
2026,DET,NFC,NFC North,4.55,3,9,0.2681,0.1332,0.0099
2026,BAL,AFC,AFC North,4.423,3,9,0.2141,0.0855,0.0066
